"","baseMean","lgFC_PMoDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Mtmr10",25.7658891165047,-1.13505587275588,0.236734131181429,-4.7946439623697,1.62963999977152e-06,1.86571821969472e-05
"Edem1",279.080891384356,0.562931192799861,0.117492912641053,4.79119276342775,1.65792745937837e-06,1.89672210582013e-05
"Ubr1",54.2399660095223,0.911606058672804,0.190296539465812,4.79045000624711,1.66407682448737e-06,1.90237262575397e-05
"Bex6",4.68349354641383,-3.44024271001427,0.718277859066332,-4.78957086953249,1.67138362181236e-06,1.90933714762125e-05
"Cdkn2aipnl",174.013824712401,-0.58642926773226,0.122474556796248,-4.78817219733125,1.68307204721342e-06,1.92129335585677e-05
"Itgad",21.5751293199196,-5.32218035832893,1.11168445042005,-4.78749195090201,1.68878508842016e-06,1.92641602357594e-05
"Ctdp1",103.176147821717,-0.608598455870684,0.127142860552632,-4.78672929982371,1.69521236572356e-06,1.93234540803544e-05
"Kidins220",112.665570449134,0.660801632614938,0.138083363113812,4.78552678406512,1.70539440727226e-06,1.94254309332701e-05
"Redrum",1.82970314878772,-6.16053674649027,1.28798567946814,-4.78307860459611,1.72630578104969e-06,1.9649384918407e-05
"Glul",46.601273953288,-1.15314637078036,0.241225562664672,-4.78036555513543,1.74976740706831e-06,1.98903845210875e-05
"Senp2",162.460352257743,-0.563781610318428,0.117937610852299,-4.78033772470167,1.75000965663618e-06,1.98903845210875e-05
"Mrpl12",244.741988042207,-1.00216719288548,0.209756717686989,-4.77775970150794,1.77259034069848e-06,2.01324765646239e-05
"Psmb8",2163.73667617027,0.412446533543285,0.0863653915395453,4.77559964924645,1.79172538631177e-06,2.03351128862345e-05
"Pmepa1",24.1101149810554,1.954480272382,0.409486796606645,4.77299949248299,1.81502248621946e-06,2.05846597841874e-05
"Mycbp2",411.031103598314,0.545903363048782,0.114377422398491,4.7728244928169,1.81660087343367e-06,2.05877066542926e-05
"Lama5",23.5358189957497,2.77127257851006,0.581005420255536,4.76978782279038,1.84420065535667e-06,2.08854395544319e-05
"Rpl18",4949.2973486461,-0.69229494843585,0.145155972972345,-4.76931768124863,1.84850954911047e-06,2.09191660204949e-05
"Dll1",17.2159640346542,2.43947523700201,0.51151250250746,4.76914097904466,1.85013154205369e-06,2.09224587838431e-05
"Ppp4r1l-ps",38.5619453791729,0.948340536630534,0.198869935186436,4.76864708454543,1.85467237713685e-06,2.09587311978534e-05
"Rtca",189.314768754193,0.590463902871235,0.123839574406327,4.76797425784006,1.86087553694427e-06,2.10137231072033e-05
"P2ry13",9.74694201407354,-2.08489161921437,0.437514636571595,-4.76530713475502,1.88566191610199e-06,2.12783342851452e-05
"Atp6v0e",516.016116527734,-0.496332365330734,0.104163908911375,-4.7649168557319,1.88931539496822e-06,2.13042673554559e-05
"Manbal",88.8241993185605,-0.788175848968519,0.165508823472595,-4.76213794788425,1.91552661385275e-06,2.15843461241229e-05
"Trim25",262.768873377241,0.528933389043143,0.111087816856251,4.76139872050588,1.92255776994151e-06,2.16480555771566e-05
"Zfp710",200.589831156267,-0.649760994637289,0.136473785464788,-4.76106815989901,1.92570991159164e-06,2.16680272729484e-05
"Zfand2a",91.9320486788358,-0.775260149681817,0.162852756972069,-4.76049754450752,1.9311628408887e-06,2.17138402689052e-05
"Cd74",8139.28203988403,-0.938784812072392,0.197356434558327,-4.75679860235285,1.96687219505701e-06,2.20995454139393e-05
"Rab6a",49.2006757308339,1.12794269372239,0.237151243537425,4.75621665270498,1.9725477352919e-06,2.21474841793239e-05
"Slamf7",395.752332002537,0.97153765361424,0.204395415541973,4.75322624550124,2.0019610894336e-06,2.2461689054109e-05
"Pccb",49.9180518538865,-0.85736576742605,0.180559383336038,-4.74838666141439,2.05045741632916e-06,2.29894009467033e-05
"Bsg",465.013141380532,-0.894944771520933,0.188482337980522,-4.74816251278364,2.05273068231135e-06,2.29984843872075e-05
"Jpt1",842.36537205044,-0.408168508854143,0.0859936645700725,-4.74649511559708,2.06971720259235e-06,2.31722825552345e-05
"Zfas1",726.322034277946,0.706339351028629,0.148881907185626,4.74429273765258,2.09236085250099e-06,2.34091247263082e-05
"Tpcn1",91.5271060066716,-0.661612699964368,0.139547334713303,-4.74113462162239,2.12524653138137e-06,2.37601352964323e-05
"Ctbp1",457.451414297884,-0.993226270704223,0.209595562417719,-4.73877528344204,2.15013784410441e-06,2.40207967129411e-05
"Rere",397.684756137267,0.516760543698718,0.109052597203785,4.73863582297864,2.15161790010949e-06,2.40207967129411e-05
"Kat14",87.8144572473382,-0.704595528894262,0.148699838281174,-4.73837454726718,2.15439338233807e-06,2.40347122618681e-05
"Dnajb4",6.83236745972473,-2.35467658999105,0.496963765021066,-4.73812530354448,2.15704425535953e-06,2.40472189007067e-05
"Ksr1",85.8999919007768,0.97484469381644,0.205756685250187,4.73785185949652,2.15995611845977e-06,2.40626153267676e-05
"Atp6v0b",302.927202151159,-1.15694674124408,0.244220572603228,-4.7373025495428,2.16581704774714e-06,2.41108202362162e-05
"Myh9",1088.73748391321,0.512624772485536,0.108226297812392,4.73660083406122,2.17332630624758e-06,2.41772938484825e-05
"Nadk2",14.6667702075434,-1.51364851400124,0.319612611958266,-4.73588480982374,2.18101445767129e-06,2.42456621358805e-05
"Slc24a3",29.0174929851356,2.02792643320338,0.428308482420887,4.73473329722803,2.19343337438359e-06,2.43664870755729e-05
"Sirpa",447.602612889416,-1.11129622476751,0.234778375188536,-4.73338408563012,2.20807085497103e-06,2.45117696110803e-05
"Arhgap11a",81.3884759185465,0.925103196470262,0.195468352305696,4.73275180129149,2.21496269012559e-06,2.45709234481892e-05
"Dusp16",103.390061540639,1.05905513011029,0.223847192819119,4.73115216131418,2.23249096526148e-06,2.47305085188436e-05
"Zwilch",35.2534735745077,1.32022450251313,0.279049281061072,4.73115177897267,2.23249517070037e-06,2.47305085188436e-05
"Rai14",7.56716086951559,3.27339789017794,0.691948495882877,4.73069586776299,2.23751523165105e-06,2.47686633283964e-05
"Fubp3",38.8960090578944,0.993766612981756,0.21024500524548,4.72670735659782,2.28189758375025e-06,2.52421872758411e-05
"Arhgef2",276.149078259214,-0.470460949971532,0.0995427082351553,-4.72622212427791,2.28735435599377e-06,2.52847560631969e-05
"Gas2l1",45.4984164916447,1.03379352050644,0.218807128337144,4.72467934825934,2.30478731121886e-06,2.54595584996833e-05
"Ralgds",179.496147765256,-0.927646578058315,0.196374633938645,-4.72386152657652,2.31408014236764e-06,2.55442596614305e-05
"Paox",37.905125569504,-1.01108775598171,0.21406471452854,-4.72328079949352,2.32070072164014e-06,2.55993646620781e-05
"Atosb",66.2580856335241,-0.858422782140949,0.18181617709661,-4.72137735953395,2.34252862686646e-06,2.58220248847924e-05
"Borcs5",56.5945982435454,-0.976659347196917,0.206992874784467,-4.71832350854527,2.37796138725036e-06,2.61942361921433e-05
"Ccnh",126.205057548828,0.666161403509492,0.141195464105968,4.71800852617713,2.38164515249587e-06,2.62164426835312e-05
"Ear1",38.9890211137696,-2.50414342365612,0.530824278378354,-4.71746211628861,2.38804849625218e-06,2.6268533458774e-05
"Mgat2",143.144840716232,0.985150307109403,0.208866469808543,4.71665130364122,2.39758082949482e-06,2.63549461949854e-05
