"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Thap4",90.2102156486998,0.912503016422884,0.148610959213002,6.14021348933633,8.24106482509662e-10,1.34554858422896e-08
"Ifit2",498.291229525901,-3.29737363163961,0.537236001778197,-6.13766318847887,8.37441771079903e-10,1.36596242759942e-08
"Pax5",514.514839934737,-1.45765285798045,0.237541982167743,-6.13640100448058,8.44119239881527e-10,1.37548685275233e-08
"Tifab",19.0041394771624,-3.10741611187391,0.506429245260517,-6.1359333825111,8.46606311192728e-10,1.37817092860729e-08
"Adamtsl4",10.6293480490446,-3.0353457023163,0.494703706714515,-6.13568417037949,8.47934676504707e-10,1.37896532277163e-08
"Tapbp",1527.079466929,-0.857752240226569,0.13980943590395,-6.13515271469839,8.50774266613228e-10,1.38221336048084e-08
"Safb2",299.353773957546,0.639113800375833,0.104178688607816,6.13478446423718,8.52747281797848e-10,1.38404848140662e-08
"Zfp831",19.1417257627343,-2.12461012833633,0.346400285476553,-6.13339600864775,8.602265724483e-10,1.39480808570199e-08
"Pcca",38.5005659551009,-1.40459057829696,0.229089289768873,-6.13119268785566,8.72226859554834e-10,1.41286974713083e-08
"Hbb-bs",22293.6124264779,-2.02091742146999,0.329832633940835,-6.12709966665244,8.94954162066053e-10,1.44825471847553e-08
"Tmem179b",259.406517249967,-0.783111361990157,0.127823438096917,-6.12650835910387,8.98284894734375e-10,1.45221249632477e-08
"Pkmyt1",100.531271985495,1.02616891477513,0.16752373189689,6.12551369979468,9.03914928391701e-10,1.45987599015545e-08
"Izumo4",29.909480448876,-1.57938385546326,0.257917789214262,-6.12359411219676,9.14877755393086e-10,1.47612872057474e-08
"Lonp1",244.12880041674,0.697704132901464,0.113995515091571,6.12045247868748,9.33100085330367e-10,1.50405101180609e-08
"Tubb6",104.078480482277,-0.803868252712087,0.131368954897136,-6.11916455711723,9.40672247036552e-10,1.51328342172772e-08
"Wdr5",122.945136654371,1.01804242982589,0.166368584314294,6.11919872986752,9.40470561235846e-10,1.51328342172772e-08
"Treml4",31.1766773470051,2.00987034641842,0.328691493771182,6.11476227558715,9.67010071769883e-10,1.55413009477689e-08
"Nmral1",73.7834928571533,-1.4838860425233,0.242694787636697,-6.114206477086,9.70385985086359e-10,1.5580297093231e-08
"Nol9",128.898407770651,1.06491144116771,0.174263880977611,6.11091314616439,9.90626710471066e-10,1.58757093068081e-08
"Zfp318",26.2418303946453,-2.01897144789466,0.330388662086733,-6.11089810147493,9.90720112753461e-10,1.58757093068081e-08
"Tnip1",419.585921578393,0.703473219828719,0.115214482037453,6.10577079711246,1.02305735066682e-09,1.63779005532603e-08
"Gm8369",69.9452427928882,-1.69435864278606,0.277542515895711,-6.10486158244212,1.02889809821516e-09,1.64553497988426e-08
"Usp18",559.184001713474,-1.32492845526987,0.217086903362299,-6.10321689032837,1.03954622803736e-09,1.66094586717284e-08
"Mtbp",56.4595355672037,0.951453394863561,0.155953590625558,6.10087520939471,1.05489244182861e-09,1.68382588307058e-08
"Hirip3",75.0176846137866,0.994037626375519,0.163136811223351,6.09327606026688,1.10623049006727e-09,1.76405598751349e-08
"Copg2",59.2781323504084,-1.1051992314916,0.181426402633912,-6.09172212779696,1.11702453199175e-09,1.77953937334492e-08
"Wbp2",537.935282392624,0.545687599380608,0.0896005933704965,6.09022305381619,1.12753479159139e-09,1.79454106646199e-08
"Pgap6",43.0570501198102,-1.29440620285206,0.212700738474102,-6.08557455953387,1.16074290978175e-09,1.84560372157062e-08
"Fcgr2b",342.977366424195,0.757916196726525,0.124565981361428,6.08445571128633,1.16887706239877e-09,1.85673801712502e-08
"Lmo4",358.414212367695,0.914835532163349,0.150609954962394,6.07420361019148,1.24604546353215e-09,1.97549372087913e-08
