"","baseMean","lgFC_PMoDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Oaf",45.232674004516,-0.969901006533955,0.25432414320849,-3.8136411050006,0.000136934283461408,0.000711962819175615
"Niban1",205.027557970917,0.558849619225626,0.146561654342001,3.81306844368414,0.000137252083147096,0.000713389113829806
"Zfp1",84.4769389492646,-0.628538526203042,0.16485344851231,-3.81271081603189,0.000137450901717308,0.00071419627811251
"Eif2b4",154.136173768389,-0.452156462911612,0.118665796682602,-3.81033520653811,0.000138778494425101,0.000720866196587999
"Zftraf1",77.2247895279307,0.60033697124651,0.157594293728209,3.80938266890466,0.000139314198275795,0.000723419835287192
"Ldhc",9.83340501794661,2.81863592383044,0.740289532337499,3.80747775121237,0.000140391365265735,0.000728782636078913
"Gm5281",53.3869180668599,1.6603137086685,0.436211142490845,3.80621572201895,0.000141109315287582,0.000732277910991125
"Slc16a5",7.30412722301663,3.94921614955458,1.03760899505453,3.80607354829941,0.000141190412219761,0.000732467111638968
"Ackr2",4.03557735184738,3.56116731639999,0.935793795335873,3.80550430463351,0.000141515552919125,0.000733689955086865
"Ppm1k",27.5709041376311,-1.19193872069007,0.313210677535513,-3.80554944700097,0.000141489742771246,0.000733689955086865
"Eapp",158.351736559372,-0.521833379210087,0.13715432189029,-3.80471699336974,0.000141966411817131,0.000735794962573372
"Gzma",93.3924572419199,-1.12637229681619,0.296113107257102,-3.8038582866182,0.000142459698048469,0.000738118467091043
"Mir142hg",272.681665398687,-0.738414738969661,0.194203824950956,-3.80226671208016,0.00014337825346914,0.000742643232694166
"Rufy3",35.4448401420998,-0.923931877414325,0.243024812806079,-3.80180059289492,0.000143648321924323,0.000743807293927488
"Ms4a3",32.5300347368983,1.93988857285829,0.510324781294857,3.80128232835602,0.000143949165709289,0.000745129924329252
"Rchy1",134.70155211656,0.59491850069591,0.15663031165775,3.79823352452912,0.000145730991042454,0.000754115368027632
"Abcc3",5.70663080306776,2.59852928871412,0.684165333172727,3.7981013692462,0.000145808694796885,0.000754279594237731
"Adrb2",33.2230643264795,1.31010832514193,0.34494893478878,3.79797759324619,0.000145881507138233,0.000754418421251579
"Ttll3",30.6228262839115,0.960883571709255,0.253017018034491,3.79770332910282,0.000146042967480381,0.000755015454752858
"Odr4",85.3605368302632,0.699064474962551,0.184111235374516,3.79696803153011,0.000146476670655689,0.000757019114579276
"Fbxo33",54.510205945625,0.803650109766942,0.211700067954491,3.7961731308452,0.000146946893807325,0.000759210195366624
"Baz2a",208.759945153785,0.451608096856302,0.118967532317949,3.7960617326192,0.000147012904818117,0.000759312167189323
"Nemp1",32.4805765857569,-0.869777989106327,0.229206441368649,-3.79473623826915,0.000147800495835397,0.000763139816287927
"Got2",254.929943706438,-0.437811657779452,0.115436095645093,-3.79267555206906,0.000149032821441091,0.000769260637630345
