"","baseMean","lgFC_LcDC_vs_LMoDC","lfcSE","stat","pvalue","padj"
"Ifit2",498.291229525901,-2.93650442435733,0.540427525852141,-5.43366924126798,5.5206872333545e-08,3.17970849665695e-06
"Abhd17a",384.368377275659,-0.768284157083793,0.141645189518072,-5.42400458284375,5.82783865657982e-08,3.34093105789352e-06
"Atf4",1540.11972601877,0.727897725693038,0.134250622009305,5.42193186741875,5.89583553770786e-08,3.36419118030698e-06
"Flcn",149.820103969013,0.685298196832433,0.126420614343447,5.42077888476862,5.93399203683925e-08,3.37028769944185e-06
"H2-T10",96.5118242399891,-1.04968446248277,0.194181832547425,-5.40567801174914,6.45636913482374e-08,3.6500800251621e-06
"Ahctf1",214.739974724683,0.623125359439197,0.11536092960037,5.4015285902932,6.60754052389951e-08,3.71840858473391e-06
"Jaml",177.565562848575,-1.21446446045247,0.225511287705728,-5.38538213677903,7.22908939894589e-08,4.04961044503508e-06
"Sfxn2",47.6357209674535,-1.26583641121319,0.23614825867122,-5.36034615853578,8.30626360846613e-08,4.63187463403011e-06
"Sp140l1",56.1723879564766,-1.35344981936464,0.252772761416485,-5.35441323574657,8.58344950370371e-08,4.76478545300621e-06
"Gbp7",247.033062055137,-1.55707202658106,0.290979976424751,-5.35113118680086,8.74061266904196e-08,4.83017280287418e-06
"Gbp2",1182.21138319245,-1.19615607897582,0.224023456675122,-5.33942336543123,9.32426728195235e-08,5.12960139080679e-06
"Yeats4",311.969837661794,0.629534984096204,0.117992774243731,5.33536895060885,9.5350474455338e-08,5.2221411634736e-06
"Raf1",397.977997716665,0.575092573964273,0.107812431711192,5.33419536909095,9.59691530552453e-08,5.23266475414111e-06
"Mid1ip1",133.142179946537,0.885232135349463,0.166258588677736,5.32442950700933,1.01270364685057e-07,5.49727802635523e-06
"Anxa5",533.116331830759,0.52448539564751,0.0986579222217245,5.31620151566519,1.05955803515303e-07,5.72628104636888e-06
"Pttg1",214.83424942159,-1.00572591627763,0.189319337927326,-5.31232534028668,1.0823514666343e-07,5.82381043538142e-06
"Irag2",405.156686211297,-0.816610016568993,0.15417560564472,-5.29662272545748,1.17964066315874e-07,6.31957714219715e-06
"Parp11",108.1631093731,-0.983428835418516,0.185866851587103,-5.29103940278265,1.21623157111673e-07,6.48727344106961e-06
"Alas2",328.991788054958,-2.64625958929142,0.500411754954959,-5.28816432285769,1.23549965670954e-07,6.53323697780716e-06
"Zup1",154.731777184652,-1.15275800750304,0.217969248288223,-5.28862679738535,1.23238045552136e-07,6.53323697780716e-06
"Nos2",124.541759522884,-2.95826521963557,0.560250030813503,-5.28025891464934,1.29001462417937e-07,6.79223150619419e-06
"Nrg1",43.2105325419654,1.55090934839169,0.293918560895886,5.27666352088959,1.31557123102014e-07,6.89719139408335e-06
"Gmppb",68.868744626889,-1.06074164984634,0.201695778479687,-5.25911676407825,1.44748959870326e-07,7.55651165825174e-06
"Bcl11a",180.863273570921,-0.939719120824703,0.17939450087132,-5.23828275816975,1.62077610925209e-07,8.4252886899596e-06
"Stard4",85.728823936238,1.37559143695414,0.262689680404924,5.2365644315899,1.63593148785778e-07,8.46818881562839e-06
"Ablim1",443.729687230963,-0.634566410590846,0.121314650724311,-5.23074836223127,1.68825189662914e-07,8.69054437909771e-06
"Phlda1",108.253904166272,1.31998776205332,0.252376947662208,5.23022318116013,1.69305518960251e-07,8.69054437909771e-06
"Gm13822",15.0506190886329,-2.41355032627497,0.461699388587539,-5.22753632760628,1.71783653839047e-07,8.78100777207262e-06
"Asns",216.923549933901,1.16016870797164,0.222228291363771,5.22061660489724,1.78328382186845e-07,9.07772860028304e-06
"Ssbp4",93.3326861190082,-1.17955363403768,0.225979033858234,-5.21974810626749,1.79166647057682e-07,9.08271250456052e-06
"Plaat3",160.342760793698,-1.10115190574179,0.21172026943606,-5.20097536563141,1.98245380182818e-07,1.0008536313098e-05
"Dph3",234.151782952221,0.567619887793417,0.109305038216501,5.19298924418406,2.06944144624131e-07,1.04048801895444e-05
