"","baseMean","lgFC_LMoDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Ddx19a",145.446755556746,-0.36025217835951,0.14327897527041,-2.51434083528031,0.0119255118994349,0.0339227509133581
"Naa40",88.4199098984098,0.429516647401826,0.170825230121195,2.51436305455053,0.0119247604972693,0.0339227509133581
"Batf2",28.647315138972,1.31473185994332,0.522982736008646,2.51391063111801,0.0119400686447143,0.0339542123078423
"Gm11979",2.41715251955971,2.49408685918741,0.99212396971641,2.513886303846,0.0119408922729024,0.0339542123078423
"Acbd4",50.9067483462632,-0.552148474346073,0.21978751004089,-2.51219222713497,0.0119983712500521,0.0341067563257482
"Banp",114.344114955359,0.43598070985083,0.173546948885008,2.5121773252246,0.0119988779490672,0.0341067563257482
"Sap30bp",60.1225907170077,0.504896171796269,0.201002015813546,2.5118960611053,0.0120084451305406,0.0341277796071176
"Hddc3",7.50397724855691,-1.53408355543387,0.61079999872794,-2.51159718177598,0.0120186189025091,0.0341505188952531
"Dpp7",60.1731971343324,0.499438617675989,0.19889050549925,2.51112347682113,0.0120347593439784,0.0341902009990957
"Efhd2",621.565909562607,-0.296469333335238,0.118087812246686,-2.51058367239383,0.0120531753978545,0.0342301470783876
"Mycbp",78.5207750785433,0.572306523578602,0.227953780893649,2.51062527383834,0.0120517552285005,0.0342301470783876
"Psmb9",603.856498188777,0.339750711153307,0.135336736054621,2.51041011522685,0.0120591018062635,0.034240791418471
"Hbs1l",150.828731489136,0.357415190152305,0.142388381282126,2.51014294097584,0.0120682299796772,0.0342605214106098
"Zfp607b",3.34466097328453,2.09434535037733,0.834433209151468,2.50990172419799,0.0120764765601602,0.0342777419734846
"Capza2",168.831171720036,0.439246803606143,0.175040560780567,2.50940011644951,0.0120936412313124,0.0343140697680505
"Siglece",69.1996164391145,0.785091436329369,0.312857679477908,2.50942037810777,0.012092947472494,0.0343140697680505
"Mxd3",25.6425826958761,-0.751668076207899,0.299562579834157,-2.50921886379813,0.0120998488882372,0.0343254872178669
"Tnfrsf17",2.52024365614262,-2.76459149287651,1.1021269617971,-2.5084147187259,0.0121274238350117,0.0343975054605828
"Arl4d",2.6301619605533,-2.95465681953489,1.17798988248128,-2.50821918207929,0.0121341373959837,0.0344103383957186
"Pdk2",6.30664433211706,-1.70157352731956,0.678670194634053,-2.50721711484186,0.0121685941177561,0.0345018273695901
"Ctdspl",24.6365946462381,0.877175896975704,0.349891293746719,2.50699549446543,0.0121762263743076,0.0345172411862472
"Gpr137b-ps",42.0211942087952,-0.637840183923034,0.254469415023263,-2.50654949579982,0.0121915987249067,0.0345545871541306
"Gsg1",0.986213640505744,-3.93427803234922,1.56969691733512,-2.50639342468001,0.0121969821287663,0.034563613139008
"Ackr2",4.03557735184738,-2.16957499166449,0.865918912113798,-2.50551750436809,0.0122272345898627,0.0346400795859882
"B3gnt9",6.77592288776367,-2.13001825717575,0.850142237413256,-2.50548456886085,0.0122283734094184,0.0346400795859882
"Acad11",30.9300408066645,-0.813979557943741,0.325001106108663,-2.5045439619876,0.012260936709297,0.0347260656096287
"Ddx17",305.562361864388,0.385240627263087,0.153834003622962,2.5042618549231,0.012270718067609,0.034747508071473
"Gm15428",1.31824918338551,-3.24992208866668,1.29806127337437,-2.50367386758128,0.0122911272847274,0.0347983210408835
"Zfas1",726.322034277946,0.380134565393038,0.151834129662024,2.50361737666756,0.0122930896838238,0.0347983210408835
"Ankrd12",101.740745449548,0.800337544575484,0.319732044017148,2.50315087133575,0.012309305905975,0.0348379509427479
"B9d1",4.93300587490569,1.88299873536142,0.752355958223879,2.50280298145934,0.0123214112608877,0.0348659340431851
"Pgm2l1",18.7739205626658,-0.963123364666133,0.384828895205255,-2.50273141301522,0.012323902900765,0.0348667080088418
"Gm42890",2.44782430432964,3.06368359791154,1.22422368848177,2.50255212894222,0.0123301465965815,0.0348780950785793
"Rps18-ps6",9.89229970611224,1.54339746808469,0.616881476185102,2.50193518150249,0.0123516536491806,0.0349326455040429
"Stra6l",4.49761582784614,-1.72985962508841,0.691737818466753,-2.50074461581798,0.0123932512358066,0.0350439856405187
"Prorsd1",109.641133892696,-0.511262332183926,0.204536236919415,-2.49961737775277,0.0124327505040693,0.0351493534484651
"Copb2",227.479487400163,-0.416750824876886,0.166806237308466,-2.49841271886142,0.0124750858605195,0.0352626999894814
"Enoph1",80.6383072275449,-0.448006245996725,0.179335529317178,-2.49814550246966,0.0124844939339075,0.0352825070619984
"Igsf23",3.02202431702476,-2.54464729743271,1.01863870248856,-2.4980862117413,0.012486582275329,0.0352825070619984
"Bcl9l",165.197491368213,-0.492668687982466,0.197239558412489,-2.49781885514134,0.0124960029676529,0.0353027804903911
"Gm9755",10.2645148503755,3.05000734997816,1.22119947371276,2.49755049492886,0.0125054653525029,0.0353231643982018
"Gpx4-ps2",111.642491670546,0.856062397740278,0.342780448042814,2.49740731313051,0.01251051653995,0.0353310832719142
"1700023H06Rik",1.69636578098607,-3.02983148538652,1.21363194489088,-2.49649945203028,0.0125425862548367,0.0354152889060137
"Aldh16a1",140.842705993612,-0.426741057373153,0.170947660035831,-2.49632581857926,0.0125487280502069,0.0354262672811067
"Hic1",33.2976681442744,0.955133139234587,0.382790909343064,2.49518239833272,0.0125892398754678,0.0355342541932982
"Phf11c",106.327753337396,0.659327538573739,0.264299895889083,2.49461898710106,0.0126092443059661,0.0355843287693862
"Adam30",6.39256666380698,-2.5883196183329,1.03768867373804,-2.49431229600788,0.01262014547767,0.0356086998318964
"Bag1",391.005623795219,0.263104868052657,0.105492159443705,2.49407035973191,0.0126287508598218,0.0356265855645261
"Snhg12",216.947170485568,0.504198937867632,0.20218591598142,2.49373916783584,0.0126405393793867,0.0356534431194293
"Galnt1",111.734514790025,-0.379527306956188,0.152202619591606,-2.49356619468538,0.0126467000965244,0.0356644203116734
"Sphk2",210.489407622568,0.308444388185063,0.123711492277234,2.49325573968381,0.0126577641177309,0.0356892186845941
"Pih1d1",121.614849576384,-0.415561770065141,0.166688269476564,-2.49304747940627,0.0126651909157623,0.0357037546637136
"Cntrl",209.127487071585,-0.359142606934234,0.144062686922857,-2.492960631274,0.0126682891582961,0.0357060852213118
"Lipa",132.881048554841,-0.644311979556776,0.258598362868677,-2.49155475080859,0.0127185363133011,0.0358412822353497
"Rab5a",13.3903157038182,0.924506223147489,0.371075987385427,2.49142023352545,0.0127233532894656,0.0358484298901434
"Ocel1",79.5110331151525,-0.482315958276162,0.193622727348579,-2.49100900953559,0.0127380889669397,0.0358835162134992
"Rusc2",12.860187076899,1.30331106715632,0.523349868130912,2.49032463084582,0.0127626462764274,0.0359462527896726
"Hspg2",2.45870895381958,-2.2546683155368,0.905749246872329,-2.48928533291357,0.012800019150776,0.0360385995040387
"Rad21",386.662572962975,0.376919510101382,0.151415806309101,2.4893009474317,0.0127994569410893,0.0360385995040387
"Pias1",34.3977597053645,-0.766759170166072,0.308036022230696,-2.48918670165084,0.0128035709310102,0.0360421438869179
"Neurl1b",8.36205792997078,-1.44056089262458,0.578944963435663,-2.48825187816781,0.0128372779032636,0.0361305588829724
"Mcrip1",151.931313864682,-0.641627136454223,0.257874102973693,-2.48814103105064,0.0128412799254532,0.0361353525148943
"Map3k2",4.97235570357006,-2.16814706925028,0.871463770900323,-2.48793712561376,0.0128486446067063,0.0361496052573504
"Tenm4",2.13906508669152,-2.85598488654516,1.14804896661239,-2.4876856036659,0.0128577342550518,0.0361687052174586
"Trappc6b",143.376589451912,0.37948099396429,0.152590508141482,2.4869239809624,0.0128852929337176,0.0362397422839696
"Gm42571",4.59984044020352,1.87230705924047,0.752958977008917,2.48659902652079,0.0128970670345522,0.0362663679277505
"Gm9920",1.27200260574396,-3.48480721539667,1.40154533154624,-2.48640349831004,0.0129041562101791,0.0362798124607057
"Zcchc18",39.6893360942693,-0.768282667190527,0.309082977201053,-2.4856841814707,0.0129302658268019,0.036346718263859
"Cyld",120.203043935372,-0.42493369034506,0.170976315879691,-2.48533656932969,0.012942900123562,0.0363757280604811
"Chchd7",134.608515147974,-0.367517153053722,0.147884003354781,-2.48517178813472,0.0129488930688347,0.0363860654538813
"Mat2b",231.220395954544,-0.374844916557211,0.150865729224976,-2.48462602131614,0.0129687596551435,0.0364353767684006
"Adk",84.9937898349177,-0.524107203430881,0.2109591704804,-2.48440113903261,0.0129769534887667,0.0364518820389428
"Etfa",208.51095064054,0.376689925870141,0.15167007155535,2.48361408422408,0.0130056667695798,0.0365259684283757
"Gm37352",3.99580516605775,-1.7589206690568,0.708228165557428,-2.48355085916754,0.0130079757784877,0.0365259684283757
"Itpr2",152.742156804218,-0.35109707905093,0.141375892833133,-2.48342961459017,0.0130124047021026,0.036531878819852
"Rps19-ps9",1.67696895435114,3.2909625692814,1.32521567547358,2.48334111208377,0.0130156384379894,0.0365344322512064
"Gm26244",2.69363667578638,-2.71597979062227,1.09374015361839,-2.48320387766425,0.0130206541634271,0.0365419858587593
"Phyhip",2.1469327268275,-3.51764585773322,1.41666951610846,-2.4830391405584,0.0130266773312904,0.0365458399019373
"Tex10",83.4825723247162,-0.47056628708997,0.189511831411053,-2.48304437557413,0.0130264858891565,0.0365458399019373
"Rock2",58.9322154950688,-0.692263772601167,0.278816674527144,-2.4828636012362,0.0130330981650269,0.0365573287037935
"Klra13-ps",1.36961152292224,-4.46341716698973,1.79880393420277,-2.48132499719483,0.0130894967415358,0.0367089740018201
"Gm42647",1.50831790377229,3.40486961251241,1.37262482655436,2.48055371478272,0.0131178497553202,0.0367819265615193
"Antxr1",2.31736948644193,2.23059728818787,0.899341723536779,2.48025553558858,0.0131288256309796,0.0368061369882946
"Acot13",70.8229137147808,-0.656144210129029,0.264626557839458,-2.47951005177301,0.0131563021793929,0.0368765895074675
"Fem1b",15.5089638631042,1.14182899729559,0.46054159143384,2.47931786951238,0.0131633937444458,0.0368898887981713
"Slc25a38",92.6288615196287,-0.473699742786621,0.191066871243856,-2.47923535724854,0.0131664395009778,0.036891847150779
"Gm16283",6.3638959995201,-1.41152333879204,0.569498502890831,-2.47853740023373,0.0131922279693558,0.0369575176350568
"Mcu",59.4787128969963,0.722409086400838,0.291516655350959,2.47810570387865,0.0132082008494333,0.0369956716237068
"Myo1h",3.76399174913111,-1.97489789488321,0.797105913245134,-2.47758530211263,0.0132274785820076,0.0370430671353248
"Aff1",179.120013512533,-0.368789070801908,0.148892854598662,-2.47687554782915,0.0132538107759935,0.0371101980028219
"Gm50335",2.57272043727888,-2.90002878270528,1.17092826679012,-2.47669209545617,0.0132606244719036,0.03712266359285
"Acoxl",5.29887677535516,-1.57219079228616,0.634913439162293,-2.47622856173987,0.0132778546078212,0.037164280017867
"Nipsnap1",47.52390525351,-0.576535761254339,0.232841717652117,-2.47608447089249,0.0132832146781196,0.0371726636149834
"Xpo7",56.8544608488708,-0.534726697267222,0.21597984550392,-2.47581757464271,0.0132931480693587,0.0371938402460395
"Dctn5",166.1247395131,-0.325071320983377,0.131304280594086,-2.47571000360835,0.0132971535232054,0.037198426095616
"Klc3",6.27066159612239,-1.47674081313192,0.596626473264404,-2.47515133723789,0.0133179728696966,0.0372500383520927
"Eif2s1",8.37870782074272,-1.54184298596109,0.623190641983124,-2.47411126241341,0.01335680922419,0.0373453725000077
"Pdcl3",268.015181048493,0.350702090315191,0.141748599845482,2.4741132589492,0.01335673457783,0.0373453725000077
"C430042M11Rik",4.64419634929754,-2.60138879492195,1.05155195442429,-2.47385664966615,0.0133663316926432,0.0373653508583779
"Arc",28.2150448359257,0.904663458626823,0.365711772042279,2.47370614726134,0.0133719632752851,0.037374447141573
"Gm17949",5.54572473430045,1.50376745938108,0.60823520073758,2.4723453321306,0.01342297829265,0.0375103636946071
"Atpaf1",9.02089697772497,1.32250691886542,0.535042835750786,2.47177764189599,0.0134443109824062,0.0375632997391473
"Spryd4",29.2900782012359,0.703936500902007,0.284802155703881,2.47166844352791,0.0134484178778179,0.0375680967871724
"Gm9083",4.97782070502435,2.22688486023034,0.901240472466182,2.47091084817421,0.0134769411956295,0.0376410871808991
"Ganab",430.132935210863,-0.257335881619003,0.104151352388669,-2.47078771150935,0.0134815823141783,0.0376473605252388
"Bach2it1",11.5830637424621,-1.15750187629331,0.468558967738758,-2.47034408898276,0.0134983145105693,0.037687390016277
"Trappc6a",167.903905102888,-0.362794333305765,0.14688788480784,-2.46987240493235,0.0135161252336385,0.0377304160091572
"Asb6",130.573072468771,0.368712683756381,0.149307715498066,2.46948178482549,0.0135308907088145,0.0377649273884685
"Zfp384",137.058559342011,-0.38853741410808,0.157343193808962,-2.46936270138142,0.0135353949074911,0.0377707922156671
"Card19",266.544979200899,0.447277144690137,0.181171581422647,2.46880410922011,0.0135565407201556,0.0378230854774805
"D430020J02Rik",4.59030752632011,1.70005682634429,0.688699738892094,2.46850220834867,0.0135679814888896,0.0378482876706042
"Gm6204",14.3500806983865,1.11824359705426,0.453039708237753,2.46831254903469,0.0135751731382349,0.037861629978693
"Rnf2",79.3776872244801,0.651938499984971,0.264225820605517,2.46735348759991,0.0136115911715755,0.037956466493879
"Atp7b",1.55195544164376,-3.08486256361376,1.25048107127953,-2.46694063146212,0.0136272949378619,0.0379869360411277
"Rnf14",137.270206546622,0.318961976074829,0.129294626267266,2.46693915503882,0.01362735112513,0.0379869360411277
"Tmem38b",26.3875731127274,0.874989124973748,0.354726858306384,2.4666559762385,0.0136381316585952,0.0380102467272089
"Pgghg",28.3940524209925,-0.753546159357172,0.305658565324749,-2.46531995122258,0.0136890954182452,0.0381455222264486
"Cand2",8.45301509736013,1.34205313859428,0.544470588867696,2.46487719637027,0.013706021731961,0.0381859191075318
"Kdm5a",93.7656144020604,-0.762455991298709,0.309400594804982,-2.46430034104909,0.01372810237425,0.0382406594401622
"Pik3r5",239.297077764204,-0.326601257788973,0.132541144671854,-2.4641499709209,0.0137338633428396,0.0382499287537378
"Cdv3-ps",12.7382142793099,2.65264818056209,1.07668877255412,2.46370933567877,0.01375075722304,0.0382901953567699
