"","baseMean","lgFC_PcDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Ubac1",127.413280143654,-0.923938348927423,0.134095113546028,-6.8901716438033,5.57251095231751e-12,1.6858157427124e-10
"Tfg",267.718702344994,0.778081837310756,0.113146078705217,6.87679013019898,6.12161909768088e-12,1.84845280423206e-10
"Dlgap4",236.904747117688,-0.707176192068279,0.102862934877856,-6.87493695282962,6.20172810730036e-12,1.86912871136347e-10
"Stxbp5",74.9210713788479,1.42434237046261,0.20731979550316,6.87026710115052,6.40818048557922e-12,1.92773429438848e-10
"Cox6a2",23.6433806591091,-2.97645398026614,0.433272943225735,-6.86969732775447,6.43382644487139e-12,1.93183155159652e-10
"Klf11",25.6406157724915,-2.24006846564724,0.326224223942351,-6.8666527536689,6.57257931236908e-12,1.96981182973688e-10
"Gm35853",7.79336411534742,-4.40165798637199,0.641194911407351,-6.86477373426256,6.65967239177645e-12,1.99219697023272e-10
"Atp2a2",232.856471294528,0.783123127725118,0.114089827944481,6.86409245972574,6.69152820446459e-12,1.99800574491671e-10
"Dll4",43.8496768101994,2.69049484671572,0.392188681388772,6.86020523893871,6.87616854311004e-12,2.04932785670723e-10
"Ctnnb1",530.35774226411,0.777330984935105,0.113325628591176,6.85926912207423,6.921374071869e-12,2.0589806127871e-10
"Cpa1",83.3913161862508,-8.21579359707434,1.19920463293838,-6.85103557092122,7.33172808633678e-12,2.17677994524124e-10
"Ttc7",188.131338529445,-1.24577487138124,0.18184404421776,-6.85078731470258,7.34446420767402e-12,2.17677994524124e-10
"Dcaf12",128.889230175281,-1.01523249520634,0.148256630264672,-6.84780500807226,7.49916840093623e-12,2.21853851183498e-10
"Mtf2",82.4843440546523,1.23640753182465,0.180607797636315,6.8458147876559,7.60418094822298e-12,2.24546990353408e-10
"Ces2g",11.9127881176432,-5.46270061488042,0.798876845816561,-6.83797589514163,8.03199074019982e-12,2.36744769267101e-10
"Frat2",49.9455069498103,-1.55841293607613,0.228151260673591,-6.83061286391796,8.45526268876338e-12,2.48764358667207e-10
