"","baseMean","lgFC_MoDC_Tumor_vs_MoDC_LN","lfcSE","stat","pvalue","padj"
"Myh15",109.53225810336,-2.57998006171326,0.37395041462716,-6.899257122861,5.2275179840455e-12,1.53622539302283e-09
"Dennd3",1607.40611162847,-1.49735992315925,0.217325905574136,-6.88992837371825,5.58204865191956e-12,1.59934997291915e-09
"Cd19",1122.48781627174,-2.14457812037256,0.312432154858585,-6.86414022059688,6.68929008803615e-12,1.88517353940048e-09
"Cpa3",96.6524744585651,-2.7015397472436,0.393724480035535,-6.86149803791672,6.81421405903446e-12,1.88940570788486e-09
"Plxdc1",1260.75662939487,-1.18047746587661,0.173246605999835,-6.81385623149084,9.50166642941088e-12,2.55288126808335e-09
"Rubcnl",1064.11579802633,-0.934169673306704,0.137099260615035,-6.81381992226627,9.50406614841105e-12,2.55288126808335e-09
"Pla2g2d",1184.69310762867,-2.15275138958471,0.318075749379779,-6.7680462713124,1.30533014473408e-11,3.45229700278823e-09
"Frmd5",69.6115197721655,-2.35253341105905,0.348139781762815,-6.75743920774275,1.40451941497911e-11,3.65834746407664e-09
"Cox6a2",158.752344661751,-2.15339967715603,0.31960200107924,-6.73775404998836,1.60853539887996e-11,4.12721373763364e-09
"Cd79a",923.574048992468,-2.15691602078449,0.320503780062146,-6.72976780606537,1.69934045283347e-11,4.29608260656767e-09
"Rasal1",106.320874764972,-1.94075590819212,0.289570568400842,-6.70218634065601,2.05323967781824e-11,5.11554250744543e-09
"Pacsin1",554.73316696588,-1.6843155841785,0.25166599464164,-6.69266257674933,2.19146060878758e-11,5.38191418938103e-09
"Ap1s3",788.573103677298,-1.52125673925279,0.227548803352823,-6.68540865448553,2.30281125142577e-11,5.57572228496626e-09
"Nup210",6928.98722480244,-1.0807420267199,0.162319958334665,-6.65809699440453,2.77395699137568e-11,6.6232075887138e-09
"Tubb2b",800.005412517557,-1.75839487112865,0.264324318237545,-6.65241428731654,2.8832373653693e-11,6.78982651343338e-09
"Cabp4",227.769984127,-1.79650176225315,0.271141491016059,-6.62569847027487,3.45610022530401e-11,8.02889445583801e-09
"Septin3",1667.1250757996,-1.41362912915187,0.21346623805346,-6.62226093476127,3.53745886448185e-11,8.10832737857433e-09
"Vangl2",345.299419110966,-1.28458723596185,0.194050894027511,-6.61984703754952,3.59570744182202e-11,8.13339560952137e-09
"Acap1",2463.56535527946,-1.28908667970324,0.19536986774993,-6.59818576195816,4.16219558612133e-11,9.29250705467684e-09
"Gm30211",110.306456848704,-2.54690128321822,0.386318002526367,-6.59275846986805,4.31728641377356e-11,9.5151885563053e-09
"Gpr141b",1186.04111405157,-2.12644244786191,0.322770690435337,-6.58809027856238,4.45519736274923e-11,9.69484783076229e-09
"Ltb",1480.57561808067,-1.61019830942403,0.245095762111631,-6.56967013852589,5.04268463550793e-11,1.08360989461271e-08
"Adgrg5",1306.13395320682,-1.46125399521331,0.222869003749853,-6.55655999994247,5.50631709629309e-11,1.16863082965894e-08
"Arsb",4177.87899544905,-1.3963041914482,0.213111442078884,-6.55199072291648,5.67750698601224e-11,1.19026856825044e-08
"Cd209d",2318.01637613177,-1.99896139273646,0.305538419291586,-6.54242238135291,6.05302537722157e-11,1.2537055332508e-08
"Havcr1",202.930350222351,-2.06550092937003,0.316738761915662,-6.521149848783,6.97704367331424e-11,1.42788521176125e-08
"H2-DMb2",4542.64954497794,-1.429755803049,0.219850743392648,-6.5033021084468,7.85757677061225e-11,1.58917179133642e-08
"H2-Ob",3040.74054459466,-1.69270832111073,0.260939628506689,-6.48697298604202,8.75780335635524e-11,1.75064415696631e-08
"Gm13919",133.43544091007,-2.38516797717844,0.368075548823991,-6.48010438291568,9.16591842059831e-11,1.8111644088334e-08
"Adam11",13124.7303686565,-2.1573773974017,0.333122124779689,-6.4762357013317,9.40391122584615e-11,1.83707543049456e-08
"Atp1b1",903.936726685517,-2.03661623921889,0.314645911950876,-6.47272429694512,9.62514858094752e-11,1.85916774443898e-08
"Ncr1",221.404073417273,-1.58321021297137,0.244728811363006,-6.4692432580935,9.84949257299771e-11,1.88136252024893e-08
"Ighm",12520.2005285747,-1.41323234311836,0.218979592320322,-6.45371711648406,1.09139452141728e-10,2.06177617776753e-08
"Adamdec1",118.449687728921,-1.70152244359939,0.263947026652587,-6.44645429493309,1.14497122867955e-10,2.13947830350328e-08
"Myzap",261.089560700867,-1.6579330907059,0.257386254040175,-6.44142049033868,1.18360450095131e-10,2.17380267990195e-08
"Siglecg",1976.13299529718,-1.49233052829811,0.231700370860071,-6.44077746944722,1.18863039910874e-10,2.17380267990195e-08
