"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Lap3",548.752411001805,2.47056190106702,0.204108689352284,12.1041485735226,1.00405760210185e-33,7.4627935101042e-32
"Tmem86a",111.290695579294,-3.6126295205613,0.298468675703901,-12.1038816285875,1.00732898724829e-33,7.4627935101042e-32
"Tlr2",952.722832152464,4.06741983477524,0.33620153979409,12.0981594470578,1.08005624261051e-33,7.94963474674685e-32
"Eif2ak2",256.365436300943,3.5343730415831,0.292744730342833,12.0732251523162,1.46286541798335e-33,1.06977932340912e-31
"Atp10a",109.910325788484,4.61556234096323,0.382453468827298,12.0682977595046,1.55313784293962e-33,1.12851393908465e-31
"Il15",523.633523091264,5.2055202303348,0.431525874436444,12.0630547058922,1.6552748293177e-33,1.19506625416026e-31
"Trim21",157.633551414516,3.97628178132353,0.32969294839866,12.0605605932326,1.70617596812459e-33,1.22401927839824e-31
"Nfkbiz",215.39477638366,5.23733849867374,0.434444913165,12.055241849925,1.81997488773771e-33,1.29744750644698e-31
"Aoah",212.002641547358,3.75990607757551,0.31266874166719,12.0252061575686,2.6193350676846e-33,1.85563518701281e-31
"Nmi",287.114080905028,3.39781804050307,0.28312230604512,12.0012375145093,3.50023311945164e-33,2.46429455956425e-31
"Mitd1",151.237548106988,3.71297398931247,0.309687736113359,11.9894124188159,4.03759007104131e-33,2.8250668799539e-31
"Calcrl",156.994578513469,3.53392920886635,0.295973917449936,11.9400021438177,7.32213073713441e-33,5.09180073039378e-31
"Ifit1bl1",144.423048903568,5.9680347776942,0.500637301047247,11.9208751829121,9.213555619953e-33,6.36802761903459e-31
"Casp7",243.239198665514,3.41381234904877,0.286995664190476,11.8949962490829,1.25658666784651e-32,8.63236962426676e-31
"Nfkbia",2032.76070650207,3.92918902191725,0.331009026557851,11.8703379867816,1.68784356351289e-32,1.15251245737462e-30
"Icam1",824.123703347119,4.0788756276557,0.344791591010469,11.8299742047127,2.73225738597086e-32,1.85449924969938e-30
"Marchf5",986.621760563933,3.40138737295858,0.287722796580285,11.8217513988659,3.01335971513111e-32,2.03312097446495e-30
"Usp25",435.132653335223,2.55566109772103,0.216574741806629,11.8003654369025,3.88620104354235e-32,2.60651413186702e-30
"Oas2",103.289547582498,4.79140365594045,0.40633007783214,11.7919000274448,4.29735131124468e-32,2.8653221831152e-30
"Ets2",351.023299651501,3.04306657981341,0.259710149052626,11.7171646580388,1.04097964692917e-31,6.90029491107728e-30
"Themis2",424.567223230194,2.88869554756169,0.247461891805061,11.6732945282633,1.74530905570916e-31,1.15017896200368e-29
"Car13",113.607870932307,4.8423128299351,0.414902233395265,11.6709731598913,1.79359688201649e-31,1.17516882414202e-29
