"","T_PimedMoDC_1","T_PimedMoDC_4","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_1","T_PimedCD11c_4","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_2","T_PCD11_LMoDC_1","T_PCD11_LMoDC_4"
"Nrg2",1.71,0.28,1.95,1.43,1.09,-0.84,-0.23,-0.65,-0.43,-0.51,-0.96,0.23,-0.72,-0.78,-0.73,-0.85
"Hebp1",2.2,0.31,1.42,1.19,0.43,-0.49,-0.01,-0.51,-0.37,-1.36,-1.34,-0.18,0.5,-1.01,-0.9,0.12
"Trf",1.86,0.81,0.56,1.81,0.96,0.01,-0.58,-1.05,-0.1,-1.56,-1.03,0.36,-0.48,-0.84,-0.58,-0.16
"Ccl2",1.78,-0.36,0.67,0.23,-0.04,-0.76,-1.18,-1.69,0.27,0.23,0.57,0.96,-2.01,0.81,0,0.53
"Osm",-0.37,0.22,0.47,0.31,0.04,-0.07,-1.14,-1.03,1.36,-0.25,1.06,1.98,-1.23,-0.77,-1.5,0.92
"Thbs1",0.12,0.16,0.61,0.79,1.13,-0.1,-0.78,-1.71,0.87,0.12,0.33,1.85,-1.49,0.13,-1.52,-0.5
"C3",-0.56,-0.1,0.31,0.17,0.37,-0.59,-1.01,-1.85,1.28,0.08,0.77,2.2,-1.06,0.97,-0.46,-0.52
"Rtn4",1.01,0.65,0.61,0.42,0.06,-0.01,-0.5,-1.44,1.4,1.16,0.82,0.16,0.09,-1.7,-1.58,-1.15
"Col4a1",0.42,1.55,1.03,1.51,-0.61,-0.34,-0.98,-1.55,1.03,-0.01,-0.29,0.47,-1.26,-1.36,0.61,-0.21
"App",1.57,0.66,1.07,1.5,-0.47,-1.23,-1.04,-1.66,0.37,-0.38,-0.17,0.8,0.7,0.11,-0.93,-0.88
"Il6",1.36,0.25,0.48,1.62,-0.67,-1.2,-1.07,-1.11,1.48,0.14,-0.75,0.88,-0.33,0.76,-0.96,-0.9
"Pf4",0.81,0.27,0.81,1.11,-0.38,-0.9,-1.54,-1.88,0.88,0.49,-0.53,1.48,-0.7,1.03,-0.59,-0.35
"Npnt",0.12,1.56,1.2,0.48,-1.5,-1.46,-0.17,-1.29,-1.41,-0.09,0.07,0.48,0.61,-0.22,0.14,1.47
"Tnfsf11",-0.52,1.94,1.51,1,-1.66,-1.6,-0.02,-0.35,-0.36,0.44,-0.06,0.39,-1.15,-0.35,0.53,0.26
"Cd274",1.58,1.01,0.52,1.35,-1.8,-1.45,-0.98,-1.13,-0.03,0.36,-0.81,0,0.08,0.94,0.37,0
"Csf2",0.59,0.92,0.49,0.84,-1.49,-1.55,-1.3,-1.08,1.13,1.26,-1.38,0.38,0.38,0.02,0.35,0.44
"Cd70",0.87,1.63,0.93,1.39,-1.29,-1.51,-0.99,-1.19,0,0.59,0.85,-0.34,0.04,-0.13,0.25,-1.11
"Lta",-0.34,0.77,0.17,1.46,-1.73,-1.18,-0.93,-1.84,0.13,0.2,0.96,1.36,0.75,-0.11,0.04,0.3
"Icam1",0.86,0.76,0.55,1.14,-1.68,-1.84,-1.18,-1.66,0.23,0.25,0.26,0.86,0.24,0.24,0.83,0.15
"Ifng",0.04,0.56,0.45,0.97,-1.69,-1.84,-1.23,-1.68,0.54,1.04,0.86,0.51,0.26,0.41,0.34,0.48
"Cd80",0.55,1.51,1.32,1.91,-1.83,-0.58,-0.83,-0.31,0.05,0.22,-1.35,0.03,-0.53,-0.22,-0.39,0.46
"Tnfsf4",1.83,1.12,1.52,1.23,-1.24,-1.29,-0.58,-1.14,-0.08,0.18,0.13,-0.38,-0.81,0.21,-0.87,0.17
"Sema7a",1.34,1.36,1.14,1.76,-1.59,-0.83,-0.39,-1.27,-0.61,-0.56,-0.38,-0.17,-0.51,-0.43,0.5,0.66
"Ccl22",1.52,1.49,1.44,1.69,-1.59,-0.92,-0.8,-0.71,-0.33,-0.47,0.08,-0.37,-0.07,-0.59,0.08,-0.44
"Serpine1",1.18,1.66,1.38,1.63,-1.37,-1.21,-0.9,-0.68,-0.45,-0.7,-0.92,-0.2,0.09,0.22,0.17,0.1
"Pdgfb",1.58,1.64,1.41,1.62,-1.27,-1.1,-0.51,-0.98,-0.76,-0.48,-0.41,-0.3,-0.03,0.01,-0.22,-0.19
"Plat",1.25,1.61,1.38,1.61,-1.01,-1.3,-0.83,-1.32,-0.74,-0.47,-0.26,-0.16,0.25,0.19,0.25,-0.45
"Efna2",1.25,1.76,1.28,1.48,-1.15,-0.11,0.19,-1.2,-0.81,-0.91,-0.23,-1.24,0.3,-0.65,0.28,-0.26
"Penk",1.73,1.97,0.96,1.35,-1.63,-0.27,-0.41,-0.08,-0.53,-0.66,-0.55,-0.61,-0.81,-0.55,-0.2,0.3
"Tgfb2",1.52,1.52,1.16,2.18,-0.81,-0.78,-0.67,-0.35,-0.6,-0.79,-0.7,-0.55,-0.01,-0.07,-0.72,-0.33
"Tnfsf8",1.79,1.25,1.69,1.79,-0.58,-0.97,-0.69,-0.51,-0.33,-0.32,-0.98,-0.71,-0.42,-0.24,-0.33,-0.44
