"","baseMean","lgFC_Treatment_6H_vs_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Ist1",250.952222851053,1.05465246700621,0.193213804151691,5.45847369258466,4.80245002322769e-08,5.065336431227e-07
"Cfap298",43.7501368218108,-1.48867828153852,0.272769716321115,-5.45763767919893,4.82510985066334e-08,5.08534877767391e-07
"Phospho1",43.6424073736203,-2.27201983644301,0.416413389188816,-5.45616422389532,4.86529984977395e-08,5.12379211660163e-07
"Alox12",7.93980150464499,4.24084681067168,0.777311483611467,5.4557881879839,4.87560847298415e-08,5.12682122662266e-07
"Coro2a",346.682542430391,1.35195844817097,0.247798053405284,5.45588808948302,4.8728677166464e-08,5.12682122662266e-07
"Pycr2",136.681459932286,-0.801434292479837,0.146923795448849,-5.45476170167993,4.90385639525746e-08,5.15259732132307e-07
"Mfsd13a",66.2701585538273,-1.7450992908966,0.319950468294579,-5.45427953332415,4.91717990529026e-08,5.16266468595011e-07
"Scarf1",191.233427322672,1.02712768525055,0.188434479541504,5.45084789020426,5.01302345420808e-08,5.25929061401176e-07
"Atm",12.6462420926188,2.31343225936942,0.424633470574157,5.44806855719917,5.09197324843985e-08,5.33805949357722e-07
"Clec5a",357.239652463739,1.20656729563525,0.221637484618899,5.44387740959032,5.21331052619557e-08,5.46111101134351e-07
"Usp47",220.460647232313,1.21974495503223,0.224069883435043,5.44359168815217,5.22168366343766e-08,5.46573200461199e-07
"Psmc3",618.159938542117,0.612780977594574,0.112594494679027,5.44237068909476,5.25761243758707e-08,5.49916764131548e-07
"Dnmt1",133.836447860757,-1.13111231744247,0.207928358000954,-5.43991367179112,5.33063953787154e-08,5.57132598973301e-07
"Txnrd2",120.921618635083,-1.0469061408915,0.192628873061677,-5.43483499774355,5.48471622936274e-08,5.72802006815203e-07
"Arf6",565.210761446965,0.949384459342911,0.17477138113957,5.43215057953192,5.56789066501625e-08,5.81048559868111e-07
"Vasn",42.4548920916559,1.78125980077425,0.327927043437064,5.431878329108,5.57639406433401e-08,5.81496088522691e-07
"Ccl7",47.6577847095582,4.78580004083942,0.881624953320556,5.42838541810116,5.68661350325179e-08,5.92541691018593e-07
"Rnf157",26.5325117297977,-1.8208668023022,0.335637470965013,-5.42509987656297,5.7922142874482e-08,6.03089723091588e-07
"Lrrk2",159.332054207915,0.951602114762478,0.175636319066036,5.41802583783762,6.02607092107232e-08,6.26553100529956e-07
"Stmp1",703.05100696018,-0.625192150956017,0.115391497934523,-5.41800879741392,6.02664514644282e-08,6.26553100529956e-07
"Atg16l1",153.066771686119,1.02358521149728,0.188980500184584,5.41635359466984,6.0826753041927e-08,6.31902021812067e-07
"Arid1a",201.489147270397,0.846335537427593,0.156315664018831,5.41427209320262,6.15385284983797e-08,6.38815304111096e-07
"Tox4",82.8373890553071,1.26368352294461,0.233488991417613,5.41217603139331,6.22634349007623e-08,6.45854396910464e-07
"Rmnd5a",107.895735079516,-1.32135355602138,0.244156371469482,-5.4119151102577,6.23542493907736e-08,6.45867298962054e-07
"Smim11",83.743741501697,-1.35995499318855,0.251289588785018,-5.41190345276106,6.23583098157042e-08,6.45867298962054e-07
"Snap47",48.4312142599578,-1.76772287562625,0.326667585665681,-5.4113813344045,6.25404318767731e-08,6.47267665545358e-07
"H2-T10",39.6119840935949,1.60939034027954,0.297683307721492,5.40638422959632,6.4309761686004e-08,6.65080563883142e-07
"Gnpat",104.92975021367,-1.02475408749389,0.189672393027154,-5.4027582566915,6.56238749808049e-08,6.7816253126231e-07
"Gas7",200.519180696181,1.72613932753257,0.319504626669339,5.40254876909493,6.57005864552925e-08,6.78447073905101e-07
"Psmb9",258.641166580952,1.45008448737826,0.268435454501569,5.40198570293472,6.5907204329284e-08,6.80071646168139e-07
"St3gal1",928.217919095029,1.18158085180063,0.219051546614025,5.3940767370276,6.88767799607723e-08,7.10182403840669e-07
"Bivm",20.7274801172371,-2.42777615390026,0.45009836902495,-5.39387902950986,6.89526490468936e-08,7.10377720878591e-07
"Ppp1r12c",214.412027519597,-0.995665488639915,0.184595838976228,-5.39375911267498,6.89987058551256e-08,7.10377720878591e-07
"Bmf",38.0829288440347,-2.96059524150131,0.549045665568248,-5.39225683247525,6.9578222112275e-08,7.15435618342012e-07
"Map3k5",29.0589248489279,1.41619115761641,0.262636163587116,5.39221689151222,6.95936938108858e-08,7.15435618342012e-07
"Kxd1",124.763665200715,-0.965575622603509,0.179092190934489,-5.39150041978498,6.98717960218475e-08,7.17759715500677e-07
"Sik3",156.680063555749,0.906572884462705,0.168272770638187,5.3875198050431,7.14366059446629e-08,7.33288255664114e-07
"Galt",82.3012813146965,-1.15679540644463,0.214731201152627,-5.38717894854229,7.15721659325172e-08,7.3413353249443e-07
"Mpv17",156.040552786428,-0.998622446557322,0.185753975862527,-5.37604884051785,7.61381467402564e-08,7.80387720972197e-07
"Abcb8",82.723369547955,-1.22737323222708,0.228335189837605,-5.37531351650178,7.64495401225178e-08,7.82997665575542e-07
"Itga4",100.174368551794,1.90996348603138,0.355519330915956,5.37231964605292,7.77301600858598e-08,7.9552321108644e-07
"Srpr",230.5061069075,0.802644210691808,0.149422603095923,5.37163852095754,7.80243972403058e-08,7.97942612548005e-07
"Metap1",206.379801555611,1.02956260851088,0.191699036302397,5.3707239659087,7.842117005534e-08,8.01406268209979e-07
"Ptgs1",169.494963949241,-1.4682786171803,0.273394845733209,-5.37054242278258,7.8500163275217e-08,8.01619728012504e-07
"Slx4ip",29.2301526845523,2.50750281354031,0.466943043339615,5.37003998519058,7.87191863585333e-08,8.03261756658525e-07
"Gnb5",20.762485681889,-2.62540847849191,0.489004043282747,-5.36888910133995,7.92231133969428e-08,8.07806409774001e-07
"Klk1b1",149.82205414828,2.49245856095656,0.464532045095708,5.3655255590452,8.07138490479717e-08,8.22399011422317e-07
"Rras",228.45448171051,-0.862802113789917,0.160822017583157,-5.36495019000607,8.09715610024129e-08,8.24415981984714e-07
"Etv3",251.71084590053,1.15637097209779,0.215556666562167,5.36457995264224,8.11378141400805e-08,8.25499471885362e-07
"Ell2",455.656043590609,1.2733118810306,0.237386481175247,5.36387697701537,8.14543917697183e-08,8.28109645434808e-07
"Cenpj",29.7160896990982,1.50007810684921,0.279742848264389,5.36234658421534,8.21477297888972e-08,8.34543505278075e-07
"Gfod1",83.9145614086055,-2.10983220570544,0.394035350949916,-5.35442365924576,8.5829547531367e-08,8.71305693703266e-07
"Srsf7",275.381004018478,1.25026863242909,0.233638665790044,5.35129161177727,8.73286626439947e-08,8.85872227820993e-07
