"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Gm6392",5.91983795126472,-1.98124074977865,0.745528163242793,-2.65749953852975,0.00787226982264286,0.029362941103697
"Rnf139",8.59224661010976,1.70874034072584,0.643051147008177,2.6572386172948,0.0078783657569163,0.0293770356077014
"Lrrc57",27.0415634992194,-1.06892484192804,0.402320578763007,-2.65689825068011,0.00788632413849836,0.0293980645186363
"Mink1",167.473525020922,-1.11792033771795,0.420786947567395,-2.65673720199911,0.00789009225443181,0.0294034654913835
"Rps27a-ps2",11.3334171021405,3.22802244401349,1.21527148290755,2.65621508396659,0.0079023195359511,0.0294403782182745
"Gm13341",6.08881521874179,-3.67157593797119,1.38313517244216,-2.65453153901682,0.00794186150394383,0.0295790012182726
"Mlx",172.86063056199,0.563280116942039,0.212209961330942,2.65435285605468,0.00794606867321593,0.0295859790423
"Mis12",73.6244668818219,0.851269089961264,0.320733773162442,2.6541298771493,0.00795132160951889,0.0295968453803525
"St13",157.345746676455,0.627853228868435,0.236572605338124,2.65395576115446,0.00795542559564047,0.0296034299094599
"Ttc39b",28.1980070492576,1.4770400551192,0.556581949681179,2.65376923553716,0.00795982418620725,0.02961110652369
"Ppp1r13b",24.2311568411206,-1.0937111999701,0.412207910408351,-2.65329988181601,0.0079709019801939,0.0296436184525956
"Gltp",1011.20052490801,-0.606280492284319,0.228601389004115,-2.65212952084646,0.00799858526653108,0.0297330394694326
"Map2k4",156.763194622687,0.48562498656985,0.183110632913104,2.65208512932346,0.00799963697982605,0.0297330394694326
"Ikbkg",180.847770125625,0.795661717356341,0.30005654804067,2.65170589527843,0.00800862675039051,0.029757728587764
"E130102H24Rik",21.3509319682571,1.42483316903085,0.537429423265159,2.65120052485079,0.0080206206520961,0.0297935624457294
"Seh1l",78.3717538152239,0.761778513225233,0.287523845790821,2.64944464390422,0.00806241789986139,0.0299400510059879
"S100a10",1844.07748127623,0.466105702664899,0.175950352973037,2.64907512141408,0.00807123886529487,0.0299640311373963
"2900089D17Rik",24.7381864853836,1.01591919585783,0.383525057542295,2.64889914199619,0.00807544275109279,0.0299708615920241
"Il21r",263.809954916365,0.998506962208016,0.37698920182797,2.64863544463977,0.00808174575698968,0.0299854763556088
"Zfp622",144.573494839019,0.614949019319915,0.232208468506217,2.64826267222658,0.00809066343460551,0.0300097808730043
"Ube3b",78.3586010018866,-0.865085232352309,0.326740132909843,-2.647624657088,0.0081059468447368,0.0300488871630331
"Wdr48",144.507809181211,0.613576283807188,0.231741461696147,2.64767590277691,0.00810471831988606,0.0300488871630331
"5830416I19Rik",2.30641577145079,-3.60497869801502,1.36176877965702,-2.64727665362028,0.00811429402372325,0.030062250038797
"Armt1",42.107172658504,-0.849313737510464,0.320819447998541,-2.64732622292376,0.00811310458925636,0.030062250038797
"Atg5",299.314785902403,-0.405319179437663,0.153138097364316,-2.64675600920788,0.00812679651947808,0.0300909831407544
"Kpnb1",52.9393402656782,-0.902944047587158,0.341143285987031,-2.64681758274875,0.00812531702461084,0.0300909831407544
"Jmjd6",111.38418223644,0.606491244610758,0.229187609315057,2.64626541732906,0.00813859312482893,0.0301258638354982
"Rps6ka2",123.134265123664,0.723940357602663,0.273589373637219,2.64608361055211,0.00814296867967839,0.0301332623820673
"Wdr74",106.132962111438,0.69185555232477,0.261524049014952,2.64547583646969,0.00815761130481376,0.0301786390786195
"Atp1a3",204.045742646772,-1.0082003098586,0.381223390849229,-2.64464441075532,0.00817768036322855,0.0302440582395016
"Rbmxl1",146.593367298794,0.779155762174167,0.294700854882969,2.64388701038409,0.0081960010385692,0.0303029749684982
"Fancf",12.7524340489476,-1.84119337356407,0.697035556177503,-2.64146263020075,0.00825489132649001,0.0305071372078551
"Gm9920",2.41936595789574,-3.8925235917332,1.4736504654463,-2.64141577871001,0.00825603310933513,0.0305071372078551
"Mob3a",130.779525938556,-0.706707386279365,0.26760419973129,-2.6408680692941,0.00826939141413808,0.030547594507122
"Asap2",6.95722904077535,-2.01820843108007,0.764700399863621,-2.63921456225209,0.00830983685975295,0.0306880605033346
"Arl5b",16.3280394587516,1.51748507868675,0.575197705558278,2.63819737808915,0.00833480542815839,0.0307713055382039
"Derl2",306.23056912133,0.391566100319119,0.14844723400546,2.63774601758303,0.00834590634526628,0.0308033189651488
"Btf3l4",9.67774237256093,-1.75835326546395,0.66665884511786,-2.63756084291222,0.00835046442030139,0.0308111722702506
"Sergef",26.9355383996045,-1.12136885073238,0.425241762016877,-2.63701487223138,0.0083639164550318,0.0308518279944409
"Commd4",179.076470840704,-0.520550844043973,0.197438195289552,-2.63652553793132,0.00837598950925543,0.0308694171506803
"Hexdc",10.1690310002126,-1.52817528302117,0.579604694048036,-2.63658196476669,0.00837459652881108,0.0308694171506803
"Nol10",51.8789039760774,0.758736670453834,0.287775191448185,2.6365603881127,0.00837512915616899,0.0308694171506803
"Dusp2",32.7987032466661,1.23625970658411,0.468957353412323,2.63618791258647,0.00838432862443957,0.0308911706773162
"Gpd1",4.01642450385287,-3.34711485523522,1.26984316503299,-2.63584901458934,0.00839270664079156,0.0309130548494932
"Pip4p1",287.27029521523,0.648323587136873,0.245992168120878,2.63554564395031,0.00840021272375429,0.0309317156293224
"Gmfb",111.308366275103,0.714310990075327,0.271148382737984,2.63439148285674,0.00842882421260675,0.0310084527976758
"Nmrk1",21.6902332262181,-1.59900952303122,0.606993572984734,-2.63431046752028,0.00843083584110968,0.0310084527976758
"Senp6",111.009415716701,0.591808012125678,0.224646571009145,2.63439592897941,0.0084287138268364,0.0310084527976758
"mt-Nd4",729.678999054084,-1.02179145779126,0.387849606344601,-2.63450430547404,0.00842602351754176,0.0310084527976758
"Gm20342",3.03538085218214,-3.91733846508897,1.48720624377231,-2.6340250261138,0.00843792683551355,0.0310255326045942
"Ankrd66",46.9470327256822,0.93109787244451,0.353556878288786,2.63351649938482,0.00845057297860132,0.0310540186152775
"Tmem209",47.5842887063011,0.79316901391459,0.301181992829509,2.63352070441868,0.0084504683375267,0.0310540186152775
"G3bp1",22.7590256058065,-1.04102840250983,0.395337853366023,-2.63326264774852,0.00845689215148981,0.0310592348483742
"Map3k9",2.65979528107517,-3.75813775462956,1.42714281998229,-2.63332982656648,0.00845521944644865,0.0310592348483742
"Cbx5",22.02963714663,-1.04522739985893,0.397223675492516,-2.63133207899292,0.00850508857387875,0.0312181566125173
"Rps15a",52.1606131100606,-3.06965756044838,1.1665648788307,-2.63136462973688,0.00850427391695671,0.0312181566125173
"Zkscan5",13.7642572634091,-1.30388590025662,0.495734141918397,-2.63021202294202,0.00853316308741709,0.0313121393986321
"Oxsr1",55.800379019176,0.676100925947166,0.257114221298091,2.62957421232376,0.00854918698561508,0.031361861285772
"Gm12989",9.72612244514631,-2.83457753162915,1.07809784535217,-2.6292395851169,0.00855760467568631,0.0313745841753473
"Ikbip",57.7572187001108,-0.852474926230572,0.32422822234719,-2.62924343864713,0.00855750769633007,0.0313745841753473
"Eif4ebp1",299.965796348446,-0.968029206497606,0.368726307317625,-2.62533263096884,0.00865643550699755,0.0317277506093423
