"","baseMean","lgFC_LMoDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Smpd1",75.8480013098502,1.20430758158727,0.220338421044468,5.46571758061305,4.61037882151784e-08,5.16539876660291e-07
"Smyd5",93.3199114969817,-1.01829687728903,0.186378129915199,-5.46360711824048,4.66555517643413e-08,5.2234944315077e-07
"Haghl",41.6358582419857,1.54596073108421,0.283230850326341,5.45830628726688,4.80697920559052e-08,5.37800043648949e-07
"Ankle2",83.9441218587797,-0.82235066738815,0.150747983321404,-5.45513544705171,4.89355296322621e-08,5.47080134997211e-07
"Yeats4",311.969837661794,-0.649735662660791,0.119107964577132,-5.45501440619476,4.89688752427684e-08,5.47080134997211e-07
"Cnbp",910.574859915722,-0.592382655553628,0.108626689548703,-5.45338036181276,4.94212003967659e-08,5.51741370054519e-07
"Preb",236.814174546024,0.661051190145612,0.12126764125894,5.45117546018799,5.00379702761554e-08,5.58230556970111e-07
"Isg20",601.910199861709,-1.04507329734647,0.191816424922247,-5.44829931936273,5.08537260161213e-08,5.66527086638845e-07
"Rbm22",225.850787548505,-0.73413401985462,0.134742623924186,-5.44841712647429,5.08200608317551e-08,5.66527086638845e-07
"Tmem51",57.3000052088327,-1.64946004623886,0.302998228163027,-5.44379436222766,5.21574290722137e-08,5.80639254664396e-07
"Micall2",25.8549135371214,1.93591159648073,0.355694459007684,5.44262511674076,5.25010601518182e-08,5.84051071851685e-07
"Ms4a4b",47.6535811999066,-2.12991346560451,0.391503900313371,-5.44033779459073,5.31796400784626e-08,5.91181585851028e-07
"Abcb1b",38.5006602929579,-1.48916841704926,0.273757895817885,-5.43972772949685,5.33620592328882e-08,5.92790253768035e-07
"Rpf2",26.5479553500828,-3.62060534727249,0.665687003241576,-5.43890045868686,5.36103953688745e-08,5.95128393222697e-07
"Fkbp11",43.623423878871,1.95754876006904,0.360445920913139,5.43090834572317,5.6067926893928e-08,6.219701784373e-07
"Birc5",132.724231132899,1.59576365147986,0.293855922681416,5.43042875201774,5.62188210039927e-08,6.23204264712103e-07
"Ffar2",92.7504687694466,1.35614717810446,0.249828239169207,5.42831820219473,5.68875507999294e-08,6.30172946458133e-07
"Nabp1",101.468341589695,-1.07365029834906,0.197802020761578,-5.42790358872618,5.70198243526937e-08,6.31193393661966e-07
"Pepd",133.084691471685,-0.74281733365857,0.13687914624202,-5.42681156372186,5.73696393875432e-08,6.34618832887257e-07
"Sppl2a",90.9061877050802,-1.69312981467556,0.312070350738185,-5.42547477089879,5.7800694130394e-08,6.38937490179791e-07
"Txnrd1",442.517767030881,0.830587104611034,0.153111099310792,5.42473477331038,5.80406574045207e-08,6.41139208532439e-07
"Mapk14",211.876457583037,0.862789885182346,0.159157270666895,5.42098945003968,5.92700583339335e-08,6.53800734702527e-07
"Myh9",1088.73748391321,0.61064666050739,0.112644577930686,5.42100358246396,5.92653722870614e-08,6.53800734702527e-07
"Ing1",140.151984615257,0.960773549992199,0.177287679542975,5.41929113443725,5.98358095526671e-08,6.59578604739393e-07
"Atn1",72.6947429899626,0.963701596177324,0.177911057390815,5.41676054490739,6.06885304919397e-08,6.68509467976734e-07
"Nipsnap3b",188.156633186476,-0.906459811131239,0.167429923853947,-5.4139653788648,6.1644090164069e-08,6.78559841238796e-07
"Morc3",225.773698713593,-1.21535601304633,0.224626727057594,-5.4105583470248,6.28285479874211e-08,6.91114027861632e-07
"Cebpa",97.616847395891,1.79344829427129,0.331580936827323,5.40877986361822,6.34555685135513e-08,6.97035696341379e-07
"H2-Q5",24.329036335535,1.72590137074622,0.319086836261265,5.40887675270024,6.34212538002082e-08,6.97035696341379e-07
"Gmpr",15.5915084661778,2.82134317594671,0.521681066272811,5.40817629457784,6.3669736887984e-08,6.98899856244568e-07
"Mmp2",12.1330302285718,4.75694828157174,0.880004882183429,5.40559305735783,6.4594303161453e-08,7.08553978642623e-07
"Mboat1",54.2854256821251,1.33553622235863,0.247227670619901,5.40204993644074,6.58836019877836e-08,7.22192705471388e-07
"Pou3f1",4.10001054798479,-6.10664958843919,1.13050569647196,-5.40169731784332,6.60132712435042e-08,7.23109833224141e-07
"Fryl",151.485687212914,-0.770223680028685,0.142669640321056,-5.3986515862479,6.71436233328515e-08,7.3497953702583e-07
"Arid3a",184.068450551741,0.945800570549415,0.175376970508289,5.39295762612523,6.9307301213007e-08,7.58136024890228e-07
"Ethe1",110.581450313478,1.11690081176361,0.207136860568591,5.39209104887329,6.96424625362498e-08,7.61272509462664e-07
"Chek2",37.7646778701946,1.50899362620262,0.280031099123219,5.38866444093995,7.09831971005543e-08,7.75389072427806e-07
"Cc2d1a",53.2013110926239,1.35844890359652,0.252135138762237,5.3877809743827,7.13329061710879e-08,7.7866802229398e-07
"Synpo2",10.9079090560571,3.64766826490844,0.677486552341537,5.384119068196,7.28003028534918e-08,7.94134601356029e-07
"Lin37",59.5904266193879,1.50597121347744,0.279733971587589,5.38358357024184,7.30173227623961e-08,7.95949581485509e-07
"Psma7",1019.9793973979,-0.912811880189166,0.169651043409297,-5.38052617800253,7.42684377040164e-08,8.09026730609448e-07
"Ndufaf4",35.2590385976262,-1.44532482896834,0.268712895427298,-5.37869545363662,7.50274999906867e-08,8.1672941298726e-07
"Zcrb1",398.495134290266,-0.555331356786776,0.103290863618345,-5.37638409955307,7.59965800320414e-08,8.26706049497342e-07
"Pik3r6",49.8382517174435,1.42301865811142,0.264703535160082,5.37589593297587,7.62027983574132e-08,8.28376063195145e-07
"Mafg",134.562815987541,1.0400578298704,0.193580728336083,5.37273435641131,7.75515372428818e-08,8.42455158203773e-07
"Slc12a7",58.3410937477842,1.77608904758675,0.330665257954272,5.37125992181605,7.81884132386403e-08,8.48787063327478e-07
"Clns1a",296.819057075496,-0.542093528144936,0.100943179333253,-5.37028387381454,7.86127963825643e-08,8.52805069936183e-07
"Pycard",358.533296613658,0.672965609256929,0.125376277318274,5.36756732335074,7.98057229438913e-08,8.65149075141398e-07
"Noc2l",344.418514213086,-0.602638872331896,0.112357624141521,-5.36357792305075,8.15894299115292e-08,8.83267388966479e-07
"Tkt",1236.0329720064,0.908950618167075,0.169464571534874,5.36366161926667,8.15516149642521e-08,8.83267388966479e-07
"Ppp1r12b",26.6351955677912,1.72672143467564,0.321947863422323,5.36335733469545,8.16891757242917e-08,8.83738577570641e-07
"Dnajb11",311.413109807645,-0.533222391796405,0.0995790304783805,-5.35476585014726,8.56672801268368e-08,9.26137535291435e-07
"Nsun2",309.972398893696,-0.544119855153419,0.101650405920149,-5.35285472033284,8.65773587565754e-08,9.35332991267772e-07
"Plcb2",129.658224605586,1.07093213097029,0.200074715176334,5.35266102978797,8.66701147733233e-08,9.35691987721064e-07
"Ranbp3",338.243501936526,-0.643606999593368,0.120258005972801,-5.35188484448125,8.70427866672309e-08,9.38426312498081e-07
"Ssb",200.958382700142,-1.53440721638371,0.28670389285678,-5.3518883231565,8.70411129856355e-08,9.38426312498081e-07
"Samd1",157.021388228463,0.853426382690843,0.159483560028572,5.35118718529952,8.7379079266345e-08,9.41406269354131e-07
"Capns1",706.90416951441,0.794095518272563,0.148440190565862,5.34959915670702,8.81492538437657e-08,9.4905350765079e-07
"Hdac1",253.308682233377,0.728101047063434,0.136152164513346,5.34770085856447,8.90785318505167e-08,9.58402082243855e-07
"Chchd1",234.050517487667,-0.850592431654098,0.159090181749783,-5.34660544289219,8.961908142675e-08,9.63558372740823e-07
"Ccl1",5.84189237524912,-5.9099232704177,1.10648005290009,-5.34119278059083,9.23369964895577e-08,9.9210201491412e-07
"Nhp2",571.613223772542,-0.568602708368329,0.10648504090553,-5.33974259232124,9.30786430009458e-08,9.99387424407013e-07
"Mcub",41.2713002964061,-1.69815663103699,0.318111246598133,-5.33824770169869,9.38491860289314e-08,1.00697293869541e-06
"Ctps",88.2411289854757,-0.937205049028829,0.175607386591373,-5.33693409611319,9.45313798895118e-08,1.01360079159839e-06
"Gm4929",10.3766298706704,4.51198953049325,0.845903370665806,5.33393019458226,9.61094827389864e-08,1.02981933140704e-06
