"","baseMean","lgFC_LMoDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Atf5",241.07897230472,1.67247701470841,0.203663218929732,8.21197378445367,2.17581787218172e-16,2.93269120178154e-14
"Xaf1",237.204874694651,1.51973038474919,0.185067322059442,8.21177054834708,2.1795046804722e-16,2.93269120178154e-14
"Eif2ak2",246.632502868967,1.47591021160012,0.17983851414891,8.20686391113102,2.27040657729571e-16,3.02591139454059e-14
"Slc7a1",201.88285497808,1.29915583916595,0.158595701809251,8.19162073338213,2.57731700429422e-16,3.4025447318956e-14
"Sesn2",156.50086314941,1.12336554677114,0.137234514259153,8.1857363130224,2.70643745532309e-16,3.5396154906347e-14
"Psmc5",309.994051489157,1.29005687359123,0.158359947526535,8.14635830423646,3.7504776029245e-16,4.85964662734495e-14
"Mthfr",80.8519944322072,1.72583553670287,0.212114485554755,8.13633982700049,4.07407234574545e-16,5.23051086296897e-14
"Slc6a9",100.058659935011,2.18538009172938,0.270218107425642,8.08746724099806,6.0918208028932e-16,7.74990366506249e-14
"Hvcn1",1407.98125072043,-1.06609632917903,0.132225282390102,-8.06272680918723,7.46111391443607e-16,9.40638091158724e-14
"Siglecg",256.914106657616,-1.20297586879333,0.149558521870809,-8.04351269152335,8.72991612366106e-16,1.09077184137958e-13
"Csf1",248.759661676016,1.24815500100885,0.155484721537676,8.02750899680132,9.94716768049659e-16,1.2318642877953e-13
"Gpr84",162.409848604667,1.85611915319165,0.231823124836411,8.00661778026434,1.17906222973478e-15,1.44735060025514e-13
"Aff3",93.1562599399342,-1.81716393754642,0.228016107856517,-7.9694542400044,1.59376629401462e-15,1.9394056972557e-13
"Ubr4",316.248520709785,1.07799997439813,0.135792496510205,7.93858277962445,2.04504414939481e-15,2.46709895057164e-13
"Gpt2",30.2863249091193,3.01527356566931,0.37990103251026,7.93699755366649,2.07134134039651e-15,2.47746587329135e-13
"Ninj1",392.802060956138,1.43709145156117,0.181087407402114,7.93589942104607,2.08975314438499e-15,2.47830555106132e-13
"Add3",467.981824939295,-1.174214968883,0.148242928071764,-7.92088353998625,2.35828747667075e-15,2.75015624571088e-13
"Cbfa2t3",98.7088473558939,-1.49716586130071,0.188996102160038,-7.9216758662723,2.34330519029286e-15,2.75015624571088e-13
"Acp5",286.890010368722,-1.31648800412051,0.166899343928518,-7.88791599255385,3.07274484217684e-15,3.55371829102667e-13
"Ebi3",312.54432457893,1.4130905608876,0.17948475642256,7.87303941043757,3.46127559331107e-15,3.97025333219632e-13
"Nfkbie",472.791741953959,1.12529194797004,0.142990299515324,7.86970830737677,3.55469074083744e-15,4.04425546563245e-13
"Slc25a33",108.12673016713,1.21464382497978,0.154434290070444,7.8651174193615,3.68751400593217e-15,4.16153798379151e-13
"Hhex",132.545665322588,-1.7422030983271,0.22246781018329,-7.83125925899891,4.83007494059331e-15,5.40736549749302e-13
"Marcksl1",586.557095488386,1.58081589934976,0.202745357579859,7.7970510310062,6.33706186731879e-15,7.03816220406819e-13
"Stard3",171.301460521102,1.57316953481,0.202944625257662,7.7517181487939,9.06574370842858e-15,9.98945019336611e-13
