"","baseMean","lgFC_CD3_CD28_vs_Naive","lfcSE","stat","pvalue","padj"
"Ctla2a",41.5663622930997,-2.84138619977278,0.715962464777715,-3.968624529297,7.22886780604397e-05,0.000345814569494611
"Sdc1",38.4450231374002,-1.2401588925047,0.312500915657763,-3.96849682790326,7.2327419959741e-05,0.000345896896169479
"Mettl14",50.6865776777304,0.848291721631943,0.21377938866933,3.96807066814128,7.24568499849976e-05,0.000346412749452084
"Celsr3",9.2560653081627,-2.98166296179294,0.751672914588134,-3.9667026760259,7.28738081559682e-05,0.000348302545140575
"Krit1",74.7351147267364,0.876891400324196,0.221077080747168,3.96645096524973,7.29507753164019e-05,0.000348566702761059
"Ak7",4.75633574074566,2.40018526825149,0.60550111323378,3.96396507916046,7.37150405074955e-05,0.000352113711184183
"Tgs1",51.478131669154,0.840564313859881,0.212126313130844,3.96256504652208,7.41487959925292e-05,0.000354080338532696
"Emc9",18.9498421918467,-1.51944302818095,0.383611058753788,-3.96089474875168,7.4669442300018e-05,0.000356460600626297
"Dnaaf9",28.2157925888183,1.04247312898081,0.263245441295805,3.96008046273972,7.49245140721148e-05,0.000357572012493896
"Itga6",67.658163324421,-0.755442790000667,0.190783095196583,-3.9596945904576,7.50456745396675e-05,0.000358043871638022
"Ndufb3",245.267545900451,-0.462659100917306,0.116865742295908,-3.95889412780895,7.52976037856918e-05,0.000359139164849571
"Enpp1",25.3426367461501,-1.02155272415113,0.258050494416205,-3.95873190036786,7.53487589274324e-05,0.000359276480679808
"Zfp143",43.709413472232,0.881404975162413,0.222684811138907,3.95808304416688,7.55536913845619e-05,0.000360146735430742
"Ppp1r13b",68.1121381424035,-0.823735357433872,0.208166706278069,-3.95709463901268,7.58668790222781e-05,0.000361532347853419
"Wdr89",14.7981649547146,1.48925171605748,0.376388877026556,3.95668365075625,7.59974664331915e-05,0.000362047242225026
"Zfp90",42.3233213112692,0.941792798569495,0.238035750908298,3.95651827498936,7.60500728767321e-05,0.000362190444913082
"G2e3",26.3076098410301,1.22655302711943,0.310031786450507,3.95621700975242,7.61459946102929e-05,0.000362539791766374
"Acot8",59.121498221743,-0.717316350491981,0.181324645401866,-3.95597823396929,7.62221011905738e-05,0.000362794617340853
"Exosc4",79.5803917973205,0.653906482862076,0.16532067876478,3.95538227732819,7.64123682983334e-05,0.000363592501286856
"Obi1",38.9231890888369,0.966938683901316,0.244515493661829,3.95450885103672,7.66920328700684e-05,0.000364815166131116
"Tmem119",15.8549613126974,-2.82012668501378,0.71345566753111,-3.95277073735042,7.72514456760053e-05,0.000367367443262093
