"","baseMean","lgFC_LMoDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Mthfd2",425.284682759813,1.49069044218279,0.135153604682215,11.029601805204,2.75080286450172e-28,7.32879156391568e-26
"Il12b",70.6955415233739,-6.51750085696679,0.596720884037636,-10.9221933257421,9.02886896181564e-28,2.36541318684633e-25
"Phyh",131.866221518241,-2.16420388966288,0.198230667206784,-10.9176038206303,9.49682520817471e-28,2.44722287618522e-25
"Trp53",185.526071226525,2.12492829589151,0.195071777624382,10.8930585539808,1.24391184873045e-27,3.15371779841837e-25
"Mars1",276.68221537061,1.23805040258825,0.114622698463852,10.8010927955835,3.4013103661389e-27,8.48653930878371e-25
"Gpc1",91.2361186248715,-2.41222752719756,0.223542491648498,-10.7909127674509,3.79996474241917e-27,9.33306965407608e-25
"Npepps",681.927007175513,1.31602358666764,0.122224964564413,10.7672241211745,4.915997504398e-27,1.18883945802511e-24
"Cln3",214.349399400761,1.92117166936048,0.178604522000122,10.7565679068259,5.51873976386447e-27,1.31437985376039e-24
"Pfkp",375.711237632167,0.947303319189126,0.0888456451652681,10.6623494874395,1.52690577499534e-26,3.58230326524653e-24
"Srsf5",1205.75542872147,-0.808707972513349,0.076091650601654,-10.6280776684291,2.2061284518982e-26,5.09972546108644e-24
"Batf",316.118328597824,1.45314909530192,0.139233376913525,10.4367869796366,1.68414700583918e-25,3.78187239782657e-23
"Isg20",601.910199861709,2.03800112279065,0.195250024966897,10.4379045438595,1.66444146553174e-25,3.78187239782657e-23
"Tnfrsf9",252.130163509789,-2.05300227886681,0.19714209666022,-10.4138198469362,2.1444063685145e-25,4.74759488826471e-23
"Eef1g",2781.26375933307,0.780227256757094,0.075044329779051,10.3968848686406,2.56171240316508e-25,5.59271628685444e-23
"Rasa3",427.382957860435,-1.2802095678383,0.123251229408631,-10.3869922757026,2.84173347411577e-25,6.11906965474326e-23
"Psmb5",265.614537584827,1.81990842104387,0.176056986188611,10.3370417751795,4.79098895374754e-25,1.01769669410754e-22
"Pik3r5",239.297077764204,-1.29683211372953,0.125956430182908,-10.2958785974351,7.35450835793488e-25,1.54140689171171e-22
"Castor1",38.8946748314001,-2.54421034203808,0.249440000916128,-10.199688633314,1.98909155875487e-24,4.11401713316682e-22
"Rps2",10592.6220009061,0.771860462551798,0.0757342290107483,10.1916989534845,2.15956668821189e-24,4.40860113922114e-22
"Ccl22",1666.8993755889,-2.18654923352728,0.214677133773795,-10.1852917219924,2.30667003418188e-24,4.64853157273142e-22
"Yars",123.724734074398,1.64667165802302,0.161757974842621,10.1798483791919,2.43941166168948e-24,4.85381163418948e-22
"Anxa5",533.116331830759,-0.983692204652429,0.0971955848867307,-10.1207498859007,4.46977793370164e-24,8.70996331353504e-22
"Slc3a2",1282.12138267871,1.31880581429039,0.130312319723063,10.1203463885309,4.4882437075917e-24,8.70996331353504e-22
"Cd1d1",81.8732449213661,-2.12990684635277,0.212484016327272,-10.0238450080511,1.1975148408965e-23,2.2955775346405e-21
"Mtmr1",94.1406844085331,-1.82030427182756,0.181910450500568,-10.0065953705165,1.42574852771127e-23,2.70016157916789e-21
"Atosa",97.6809211287294,-2.12940100935955,0.212887201490338,-10.0024848579551,1.48620186780021e-23,2.78114370951804e-21
"Irak3",166.484761974063,1.88470395541684,0.189047944438764,9.96944960714626,2.07374808142085e-23,3.83497012845345e-21
"Lactb",143.475617793428,-1.57057244299236,0.157957289544146,-9.94301970820672,2.7050042401467e-23,4.88735191389265e-21
"Npr1",25.875134883447,-3.82609793050671,0.384784924443463,-9.94347150175028,2.69275982321283e-23,4.88735191389265e-21
"Bmp2k",172.016518324907,-1.63352369646534,0.164990480497437,-9.90071482633638,4.13310187341516e-23,7.38275322138783e-21
"Cyp11a1",277.174950546037,2.66612850469861,0.269538107623458,9.89147148136533,4.53314998307525e-23,8.00635781842245e-21
"Uap1l1",102.200976293682,1.85812148447804,0.187951747136001,9.8861623410902,4.78001937549487e-23,8.34856939593377e-21
"Cmah",153.916883874042,-1.99312571525085,0.201649856772025,-9.88409189650046,4.87986021823148e-23,8.42928821652535e-21
"Crybg1",186.309287937886,-1.59385555433382,0.161614507784873,-9.86208216192705,6.07757830687097e-23,1.03840710223592e-20
"Ddx5",1757.51342965147,-1.20566977902783,0.122455387700261,-9.84578793690153,7.14769334388769e-23,1.20811388895237e-20
"Pcbd2",124.81723065113,-1.6480519056599,0.168195516585017,-9.79842946543025,1.1434970403733e-22,1.91219467847105e-20
"Prcp",164.434006267534,-1.68265011239326,0.171789895099394,-9.79481424922995,1.18515048900541e-22,1.96098742491327e-20
"Ttc39c",119.242999010764,-1.85077165745438,0.189080142563897,-9.78829205625829,1.26413114341302e-22,2.06988306701138e-20
"Id3",325.948071167714,-1.47757841856247,0.15112889057142,-9.77694213843381,1.41418598051766e-22,2.29171025028424e-20
"Ccl4",970.464072303588,2.55508412118749,0.262281211986,9.74177335021572,2.0003266532686e-22,3.20848312884991e-20
"Psmc5",309.994051489157,1.51285301551609,0.156649587752368,9.65756142242524,4.56603274692854e-22,7.24984532817877e-20
"Nsun2",309.972398893696,1.02622560569364,0.106332409153353,9.65110838609529,4.86272642482529e-22,7.64371966718287e-20
"Cd63",1024.93686995306,1.3848523120518,0.14405132195328,9.61360363288406,7.00533708808395e-22,1.09026627413457e-19
"Psmd7",439.247573487225,1.21025936931916,0.125928818930563,9.61066243292956,7.20837253107389e-22,1.11086674329363e-19
"Tmem176b",289.535657618823,-1.54117620992244,0.160452144620448,-9.60520791771348,7.60043785381339e-22,1.15991536528245e-19
"Vpreb3",171.329443584797,-2.24285863211192,0.233577933893491,-9.60218542362241,7.82670195288526e-22,1.18296084612888e-19
"Hnrnpf",423.900726095397,0.991825964217622,0.103395121988418,9.59257985428673,8.59095369838884e-22,1.28610667795213e-19
"Insl6",87.5413518474468,-2.23538244581399,0.233085472962983,-9.59039796602427,8.77459045613733e-22,1.30120554132097e-19
"Fgd2",168.826310841491,-2.59069599581937,0.27022083446025,-9.58732882678766,9.0394932422387e-22,1.32796069415654e-19
"Myc",366.149641374931,1.18988700683228,0.124191553829196,9.58106223929492,9.60519063449418e-22,1.3979999220705e-19
"Dnmt3l",39.7207106003214,2.89933944564846,0.304142673614994,9.53282685125159,1.5305753806942e-21,2.20725820267268e-19
"Dtx1",292.575549524804,1.59640231256836,0.168226579104172,9.48959624019825,2.31930855670049e-21,3.31429192752499e-19
"Psmg4",265.229439545721,-1.20480704552485,0.127182536726653,-9.4730540570541,2.71778936527726e-21,3.84873252547687e-19
"Csnk1e",228.252998209589,1.20769925875076,0.127688256175608,9.45818585767066,3.13331969419531e-21,4.39755823866572e-19
"Mapk6",81.4973866481512,1.62300056754764,0.172793097902839,9.392739566833,5.84595533446701e-21,8.13208600906963e-19
"Mbd2",721.443102116492,-0.772665933499101,0.0823372730741989,-9.38415743745615,6.34214708147174e-21,8.74493069944336e-19
"Ears2",34.3182516335834,-2.54016470117587,0.270770078077701,-9.38126073312625,6.51885263227322e-21,8.91042126319154e-19
"Chpt1",91.1073602132311,1.79060211266782,0.192083375550455,9.32200461146868,1.14162647759668e-20,1.53378005139676e-18
"Gucd1",209.240132002494,-1.19236250735589,0.12790676457516,-9.32212233900445,1.1403601836332e-20,1.53378005139676e-18
"Jak2",498.813128983095,-1.16847426565357,0.125493197471667,-9.3110566086053,1.26566903363705e-20,1.68602131692719e-18
"Ifi35",605.810279324651,0.98495322412547,0.105801893097852,9.30941021267479,1.28544140778174e-20,1.69797088142194e-18
"Klhdc4",76.931930919607,1.68434222756849,0.181078001262505,9.30174960969853,1.38153299290971e-20,1.80969309296232e-18
"Pdk1",106.626463194317,-1.57809620905759,0.17062938877088,-9.24867761893383,2.27287110679409e-20,2.95266619237159e-18
"Net1",208.099782393254,-1.66168324500174,0.179764548552539,-9.24366488488184,2.38195737733183e-20,3.06104345924822e-18
"Orai1",299.283754790706,1.30299574162001,0.140970018852657,9.24306992525774,2.39524362546938e-20,3.06104345924822e-18
"Vegfa",193.740303520178,-1.74711599133122,0.189149352348992,-9.23670089077382,2.5421447624089e-20,3.22257850970206e-18
"Dnajc1",131.607122679272,-1.21123252404067,0.131169515381105,-9.2341007780772,2.6046452747576e-20,3.27539352591318e-18
"F10",403.756309865174,2.20688520079377,0.239095066263235,9.2301578417518,2.70233388556411e-20,3.37126875771288e-18
"Slc25a33",108.12673016713,1.35522238769966,0.147170868246636,9.20849624552404,3.30725466268043e-20,4.09344378288769e-18
"Plbd1",286.7259262304,-1.76546462536237,0.19235474967452,-9.17817016917796,4.38478705595207e-20,5.38472404160239e-18
"Vopp1",58.6855456266194,-2.3085021846412,0.252099308577822,-9.1571143041377,5.3303601120438e-20,6.49518841869895e-18
"Kmt5a",418.774831908093,1.17539664027972,0.128405476980628,9.15378898095636,5.497088845937e-20,6.64682612071413e-18
"Dazap2",1166.94433321653,-0.796457759216836,0.0870277019285691,-9.15177284435886,5.60067549104833e-20,6.72038305677776e-18
"Chi3l1",208.863351380763,2.65712188753192,0.290964551548266,9.13211548758424,6.71736045316068e-20,7.99925673963884e-18
"C1qbp",709.358707429359,0.765218075193866,0.0839995040969061,9.10979277105103,8.25394764403397e-20,9.7551731591406e-18
"Abr",317.035914706867,1.05678071985197,0.116038349160324,9.10716782424982,8.45605277295118e-20,9.91945474164326e-18
"Mef2b",87.9682013442259,2.03391583428245,0.223804186113059,9.08792578729952,1.00946404145959e-19,1.16674744615466e-17
"Septin5",70.2778841968239,2.4946369585482,0.274495205659517,9.08808936226939,1.00794678946082e-19,1.16674744615466e-17
"Cd8a",301.091834620033,-2.06203655904191,0.22693522882672,-9.08645418211563,1.02321592271123e-19,1.17400956854729e-17
"Ier2",588.140510288434,-1.50899097300276,0.166759872947112,-9.04888536033689,1.44435119868381e-19,1.64519974580513e-17
"Gpt2",30.2863249091193,3.22509627894814,0.357209116793103,9.0285945328101,1.73890698430744e-19,1.96646610693012e-17
"Aff3",93.1562599399342,-2.02331295723469,0.224122123098418,-9.02772528326531,1.75277197842159e-19,1.96798733777207e-17
"Ero1a",71.1839324451344,2.41463611647827,0.270282142432367,8.93376119764364,4.11765605910602e-19,4.59045642504166e-17
"Usp18",559.184001713474,1.87730194560914,0.210307092043855,8.92647949893041,4.39780988783962e-19,4.86825166386979e-17
"Vars",614.225956065207,0.80326413571288,0.0903153417491761,8.89399431099653,5.89507156677017e-19,6.48004405301121e-17
"Csf1",248.759661676016,1.34946447594436,0.151908950976413,8.88337696541589,6.48607075523039e-19,7.08017681954628e-17
