"","baseMean","lgFC_LcDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Ffar4",2.42221609424624,-4.65480413585558,1.15313622756237,-4.03664721010061,5.42205086707163e-05,0.000280217342004272
"Pxn",315.547429351394,0.524783936247898,0.13006834551816,4.03467833897086,5.46771485214561e-05,0.000282490170668208
"Map3k8",95.8971024101343,0.703899148622001,0.174467321776957,4.03456155257477,5.470434891586e-05,0.000282543577708149
"Gm16181",5.55186672252184,2.6013521302068,0.644979332756134,4.03323331166391,5.50146091855677e-05,0.000283970972552121
"Jmjd6",180.656762946878,0.548853846075671,0.136081274275686,4.03327973666495,5.50037368345521e-05,0.000283970972552121
"Htt",67.3119921952793,-0.792585527104726,0.196526669691296,-4.03296676400063,5.50770718550902e-05,0.000284205832747778
"Rpain",79.7450778791863,0.63263708072594,0.156899223590573,4.03212371768518,5.52750735748435e-05,0.000285051972221146
"Trappc12",131.966768366113,-0.63240132990834,0.156838096217016,-4.03219208318678,5.52589918488296e-05,0.000285051972221146
"Nop16",149.249599161695,0.645336268808511,0.160065613857527,4.03169833455247,5.53752367924633e-05,0.000285480643833145
"Trim59",66.5935862207903,0.832514648829595,0.206565406525692,4.03027139360845,5.57124899861195e-05,0.000287130965769742
"Tnfrsf8",7.85727558051478,2.03762660897862,0.505748682616783,4.02893112530869,5.60310296524466e-05,0.00028868385665029
"Stac2",19.7919866555675,-1.32406133428801,0.328644443367739,-4.02885659869942,5.60487928237699e-05,0.00028868660429212
"Slc12a9",35.5790217876892,-1.01222813261879,0.251259846669608,-4.02861080286264,5.61074152666948e-05,0.000288899736568369
"Derl1",323.26040762075,0.374417617201112,0.0929444350983287,4.02840274197164,5.61570832898216e-05,0.00028906664532134
"Pole4",256.826829125353,0.414311923086311,0.102862155647706,4.02783628709176,5.62925177924955e-05,0.000289674795950019
"Pgls",348.38846429456,-0.711707792022881,0.176727599203074,-4.02714570464499,5.64580486678015e-05,0.000290369911241411
"Tars",27.159080635422,1.25838447237897,0.31247688740884,4.02712815918613,5.64622602700398e-05,0.000290369911241411
"Zkscan3",46.1972960022352,0.987166286080194,0.245137334813812,4.02699281539457,5.64947581221821e-05,0.000290447889640123
"Comt",81.6931546439755,-0.696712929688037,0.173031889211154,-4.02650016054455,5.66132008185308e-05,0.000290967539789719
"Amz2",42.7279890483909,-0.94531550273455,0.234788755675063,-4.02623839466496,5.66762294886978e-05,0.000291202154272656
"Sigirr",57.4101448004521,-0.894036075014701,0.22216610117253,-4.02417862264419,5.71745111144889e-05,0.000293672266622704
"Ifnar2",187.874567048219,0.544095085970873,0.135222168330943,4.02371218186099,5.72879230727369e-05,0.0002941646187814
"Atg4b",110.574317027493,0.641953578099351,0.15955370842968,4.02343251321094,5.73560247789675e-05,0.000294424079403064
"Gak",231.413131759953,0.465355879580921,0.115687466129595,4.02252633884833,5.75772130967808e-05,0.000295468975631413
"Rab2a",141.851972070971,-0.563363843988087,0.140111113750074,-4.02083624139195,5.79919096291364e-05,0.000297505954022101
"Eya3",166.362759533183,0.590194856374024,0.146850765737764,4.0190110920358,5.84429198441976e-05,0.000299727922249627
"Jmjd1c",120.303352647168,-1.06801337164665,0.265754810621027,-4.01879224368835,5.84972216597053e-05,0.000299822865986039
"Parp1",322.202723070537,-0.507541270058926,0.126290496786216,-4.01883976209302,5.84854270809539e-05,0.000299822865986039
"Snrpa",146.658990285073,0.567437179623614,0.141227144993723,4.01790448747537,5.87179868833793e-05,0.000300862345636397
"Nudt1",49.3555954835534,-0.759608699982225,0.189202920766925,-4.01478315928309,5.95004721610556e-05,0.000304778480910573
"Hs3st3b1",10.5146215699462,-1.60628409792925,0.400100810115306,-4.01469843929166,5.95218476243307e-05,0.000304794791242561
"Gm4221",6.30628238804591,-1.90790919266983,0.475263209062806,-4.01442644052362,5.95905240312211e-05,0.000305053232552126
"Ftsj1",67.1515675085848,0.747535336412979,0.186216886382412,4.01432625652355,5.9615838185446e-05,0.000305089605619166
"Trit1",42.3623038605152,-0.924235303900237,0.230477335585608,-4.01009193182441,6.06951117138505e-05,0.000310518044813913
"Grpel1",12.2843278353263,-1.75194144794126,0.436969879195009,-4.00929567769913,6.09001220726183e-05,0.000311471778182759
"1700003F12Rik",2.2320459613859,-4.23612675243463,1.05667874668822,-4.00890693194242,6.10004498834814e-05,0.000311889697222377
"Med1",172.484988453076,0.520477966548541,0.129838321410498,4.00866216456229,6.10636999056083e-05,0.00031203044259934
"Tm2d2",231.749072332486,0.447109316459426,0.111535957742855,4.00865627110345,6.10652235919567e-05,0.00031203044259934
"Slc41a3",17.0027635646847,-1.31492251950938,0.328035624398179,-4.0084747561237,6.11121698448521e-05,0.00031217512370442
"Slfn8",158.098519749376,-0.703230710395173,0.175470791283185,-4.00767959871031,6.13182289596111e-05,0.000313132254257325
"Id1",145.504793792039,0.92250168745402,0.230238605310819,4.00672027268692,6.15677067314352e-05,0.000314310458953442
"Aspm",37.4575116421424,0.929651042643802,0.232056696955871,4.00613752948741,6.17197210135577e-05,0.000314990534749363
"Septin4",7.42254635761291,-3.38199546004904,0.844337240641319,-4.00550312986341,6.1885614344891e-05,0.000315741007414327
"Cela2a",6.97870764305271,-7.265001108792,1.81398545169652,-4.00499414259218,6.20190178993884e-05,0.000316325310473136
"Espl1",53.7342539146185,0.779002017120075,0.194559831866201,4.00392007768488,6.23014200112738e-05,0.000317668987306419
"Ffar1",16.6905766628269,-1.64847220976088,0.411723089130883,-4.00383717425389,6.23232682072305e-05,0.000317683711229738
"Plet1",10.7438021122703,2.54019387423166,0.634462531840324,4.00369406663553,6.23609995563517e-05,0.000317779363615168
"Gca",17.440043647925,1.85551608300966,0.4634604516576,4.0036125550158,6.23825003446043e-05,0.000317792275242884
"Hspa2",20.9573228711781,-1.44911306791277,0.362025744144088,-4.0027901091366,6.25998346133646e-05,0.000318802501199673
