"","baseMean","lgFC_MoDC_Treatment_48H_Wash_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Gm6136",68.2456780873576,-2.17496129371858,0.916536158058912,-2.37302290214587,0.0176431699147013,0.0376942754840243
"Erbin",329.510810181368,-0.431424469024477,0.181815591212672,-2.37286838904719,0.017650551969348,0.0377049771767909
"Gm43597",2.93406155146242,-2.18019559940845,0.91882221443272,-2.37281550789942,0.017653079053407,0.037705306234653
"Cd226",1.92926395597729,-3.21656931262696,1.35589977886603,-2.37227659651738,0.0176788506367486,0.0377354408299798
"Inpp5f",60.9062893288815,-0.678408811251299,0.285974273585898,-2.37227217240409,0.0176790623411398,0.0377354408299798
"Pex19",55.4963351414633,0.527155643879805,0.222204391804833,2.37239075068695,0.0176733888552414,0.0377354408299798
"Smcr8",167.026426453672,0.522795574630941,0.220375629405977,2.37229305273063,0.0176780631871291,0.0377354408299798
"Srgap2",82.7693952670776,0.627281524940292,0.26440718673046,2.37240724315013,0.0176725998847457,0.0377354408299798
"Gm29609",1.64928137785151,-3.1899716453029,1.34481253843876,-2.37205673960048,0.0176893740042751,0.0377523792550608
"Rps8-ps4",6.66462510278631,-1.96376976756269,0.828069665112674,-2.37150308760011,0.0177158986693687,0.0378039100131076
"Ncor2",110.900083380693,0.33108288012627,0.139688015854398,2.37015951655702,0.0177804121864651,0.0379364803586335
"Sall2",2.53947446502635,2.21152913011602,0.933137988386627,2.36999153141295,0.0177884926982108,0.0379486251989624
"Gm6885",1.77353458421611,3.46109977400826,1.46044046915518,2.3699013051935,0.0177928341365259,0.0379527911928125
"Mapk9",63.7350731976639,0.491328041950941,0.207373565919053,2.36928964293708,0.0178222901365564,0.0380105191919121
"Rrm1",64.7218837032334,-0.586291008460467,0.247507357993186,-2.3687821372834,0.017846762660674,0.0380576046054823
"Gm10689",4.97863921374345,-1.41691917849106,0.598187601548559,-2.36868697181788,0.0178513549289185,0.0380622891123975
"Gm16565",4.0454505585023,-2.19752353469889,0.927794322637908,-2.36854600322502,0.0178581593580197,0.0380716884529149
"Skic8",100.304631352683,0.434150936752616,0.183314350732769,2.36834124015479,0.0178680471376772,0.038087657763691
"Glg1",308.370667973756,0.448556139759403,0.189420326393111,2.36804649374586,0.0178822885335249,0.0381129017450271
