"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Zfp469",5.95303806264173,-4.84875416843349,1.07828905491396,-4.49671092026469,6.90127161661574e-06,2.68783801266215e-05
"Golga7",113.110177815575,-0.732463527003913,0.162903640592834,-4.49629931128828,6.91463821244656e-06,2.6924096459345e-05
"Ms4a14",4.5165830030561,-4.62432029848567,1.02851768035563,-4.49610190160925,6.92105767993915e-06,2.69427470267092e-05
"Lig1",28.1088875892737,1.44129208991673,0.320647764239164,4.4949388414937,6.95899453788921e-06,2.70840528942849e-05
"Iqsec1",78.3468355195601,-1.22735411913376,0.273063224209898,-4.49476169002649,6.96479031523893e-06,2.71002302381373e-05
"Eef2kmt",69.5161609395735,-0.750716064660864,0.167044121108383,-4.49411843816866,6.98587411268231e-06,2.71758721658768e-05
"Rbmx2",14.7147282763085,1.6496940357283,0.367086820220335,4.49401597893956,6.98923803904401e-06,2.71825623381592e-05
"Mpv17l2",81.3939066938446,-1.25793553998198,0.279929073473988,-4.4937652397827,6.99747680652542e-06,2.72082041491733e-05
"Ptpn22",85.728463300942,1.13861720860795,0.253481166780831,4.49192033896718,7.0583826595399e-06,2.74385705408355e-05
"Rnf113a2",68.4966866365857,0.835137668068221,0.185941157686409,4.49140834906862,7.07537469516396e-06,2.74981593406549e-05
"Cfl2",72.9102304719579,-0.959676477875078,0.213689999550352,-4.49097515042555,7.08978233762892e-06,2.75476783520609e-05
"Cfap418",15.2703942464939,-1.60598433184595,0.357664083293983,-4.49020297776421,7.11553344190758e-06,2.76393758511842e-05
"Mcoln1",136.307854296288,-1.06897727785269,0.238070701416452,-4.49016729691045,7.11672551856839e-06,2.76393758511842e-05
"Pepd",189.345362379343,-0.788545933642519,0.175634198502083,-4.48970610716891,7.13215080049918e-06,2.76927781081853e-05
"Gpr107",76.8397169779088,-0.71085447727414,0.158378269124918,-4.48833341342722,7.17825234943408e-06,2.78652374015482e-05
"Rpl32",2601.28400800052,0.750897268374768,0.167315969950777,4.4878995626997,7.19288228484789e-06,2.79154748392935e-05
"Nuak1",15.8292952148783,-2.1438357162333,0.477745193969625,-4.48740404570058,7.20962656010999e-06,2.79738924943202e-05
"Nrarp",4.50425034529993,5.35073203662011,1.19248217711736,4.48705409547894,7.2214743646378e-06,2.80132885196051e-05
"Vps39",78.5948915508281,-0.823787380518866,0.183605068974617,-4.48673549766075,7.2322769025547e-06,2.80486122519205e-05
