"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Ndrg4",27.0219012035772,2.30184593300484,0.498675897488353,4.61591575730527,3.91365690291246e-06,1.96671142343328e-05
"Slc23a1",6.06080148000004,5.78440641824784,1.25318334633473,4.6157702583312,3.916400115315e-06,1.96742752342903e-05
"Plvap",39.7823410395085,7.23459668922465,1.56835452947547,4.61285796881923,3.97169710951736e-06,1.99453497172095e-05
"Rnf144a",14.213722724229,3.83197692866915,0.830829704504766,4.61222908604752,3.98373585490865e-06,1.99990775763577e-05
"Polr3d",48.2035832946265,1.28140921913114,0.277904087368463,4.6109765108714,4.00781827019184e-06,2.01132103842008e-05
"Mbnl2",258.421899458906,-0.83691402349189,0.181620010742667,-4.60804963103813,4.06463654475153e-06,2.03914959429972e-05
"Luzp1",57.7048556594818,-1.20473265178801,0.261497744253719,-4.60704796986362,4.08425806376908e-06,2.04830482532774e-05
"Vezf1",44.6546508317242,1.34530022761081,0.292060290040917,4.6062414969948,4.10012197635007e-06,2.05557005364544e-05
"Ccng1",121.161008576295,-1.41720081581608,0.307688032371472,-4.60596665035413,4.10554189005111e-06,2.05759612857666e-05
"Hbs1l",109.960909432613,0.843498157738911,0.183143051002009,4.60567929344835,4.11121584495752e-06,2.0597481197043e-05
"Fmn1",14.1324056552594,-2.51005128462076,0.545122903522867,-4.60456030814246,4.13338226133105e-06,2.07015873323376e-05
"Gimap4",29.4358560455739,3.33783036890661,0.725102106519113,4.60325565033871,4.15937135781451e-06,2.08247626686956e-05
"Lamb3",11.3697742215105,3.72698026228147,0.809746016198414,4.60265340949604,4.17142089757846e-06,2.08721495138907e-05
"Snhg4",19.564512593688,2.20154392352104,0.478321696277496,4.60264282522493,4.17163296481984e-06,2.08721495138907e-05
"Tle6",9.27873428880083,-4.23891642337677,0.921217589778306,-4.60142801267709,4.19604180162204e-06,2.09872399092523e-05
"Zfp341",13.6588131718581,2.50481342434284,0.544398403280844,4.60106680924753,4.20332570199278e-06,2.10166285099639e-05
"Rrp9",69.3257808293197,1.79374905060798,0.389946111552465,4.59999214626516,4.22506869500928e-06,2.11182686781693e-05
"Trim10",51.7343970552942,6.57300010258809,1.42908125200999,4.59945863354042,4.23590292164592e-06,2.11653334802696e-05
"Lrrk2",122.989425082654,1.13108880942373,0.245963620904029,4.59860204231202,4.25335371902956e-06,2.12454164178434e-05
"Ctse",21.519853804308,3.56236126830073,0.774692615571636,4.59841903316983,4.25709097065041e-06,2.12569698015916e-05
"Tollip",225.536676658848,-1.02906801124526,0.223798717734036,-4.59818546622869,4.26186523979829e-06,2.1273691874244e-05
"Dgkz",190.269450436208,-1.10294926018656,0.240012779974077,-4.59537721410372,4.3196710183505e-06,2.15550284014982e-05
"Ier5",16.0861929725559,2.6354026987546,0.573656475584835,4.59404331846484,4.34739071396284e-06,2.16860983976923e-05
"Wrnip1",86.9812291289055,1.20451651387627,0.262210458454048,4.59370126187153,4.35452640370175e-06,2.1714435875459e-05
"Gmppb",70.2748505548388,1.20224574120526,0.26174870767923,4.59312961605372,4.36647664060256e-06,2.17667547965909e-05
"Alas2",503.592850434611,6.26935795887509,1.36589849209194,4.58991498648868,4.43426574370768e-06,2.20825546295753e-05
