"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Ssna1",98.0394334366832,-0.583155136536113,0.226730298077243,-2.57202121410983,0.0101106696137287,0.0322899659463279
"Tmem183a",70.8887855552158,0.469656859069306,0.182687777625517,2.57081708023201,0.010145890053348,0.0323946051839463
"Snrnp27",260.108259596102,0.465863069740495,0.181242788647774,2.57038127263562,0.0101586641507745,0.0324204699027932
"Svip",16.6237128711035,-0.946521200357058,0.368237576863983,-2.57040905064037,0.0101578495136286,0.0324204699027932
"Wdfy4",133.168689384723,-0.456098821980121,0.177448049825486,-2.57032310261329,0.0101603702738781,0.0324204699027932
"P2rx5",23.4245029661007,-1.0889508520752,0.42370704802528,-2.57005602609241,0.0101682068865047,0.0324386863761562
"Tiprl",23.4444584733973,0.775071401281566,0.301609850505394,2.56978145767724,0.0101762689372618,0.0324576142714421
"Hnrnpr",106.983017395695,-0.401622713095831,0.156292722034312,-2.56968275853345,0.010179168393941,0.0324600713938559
"Cela3b",9.1577597809331,4.88407647223574,1.901074601357,2.56911352597602,0.0101959049343811,0.0325010891133068
"Mta1",189.359322686832,-0.405501288058493,0.15783785918635,-2.5691002789118,0.0101962947152661,0.0325010891133068
"Arhgap27os2",9.19085676962303,-1.91083528149078,0.743817174896203,-2.56895826821615,0.010200474063561,0.0325076144592497
"Unc5b",6.55853458400397,1.7798780801317,0.692985233050645,2.56842136779215,0.0102162887285147,0.0325512096039572
"Sh3bp2",306.419687269432,0.528749897565388,0.205901205599594,2.56797863822916,0.0102293459608433,0.0325860026157577
"Map1s",129.236987191767,-0.401405137846696,0.156352420472642,-2.56731003353372,0.0102490929894649,0.0326420872607859
"Gm31105",0.862639580786949,-3.85734901155789,1.50311586370967,-2.56623531471353,0.0102809055844381,0.0327365677820266
"Ccnyl1",26.4911670174312,0.747320788343061,0.291249123063713,2.5659160119757,0.0102903741383191,0.0327598755716877
"Dele1",24.0162349518843,-0.812751825699354,0.316772094594258,-2.56573050331462,0.0102958787472678,0.0327705568644771
"Impdh1",88.6493109816594,-0.642881951733901,0.250575976829235,-2.56561686347138,0.0102992520830565,0.0327744515254185
"Snapc4",38.3470677653783,-0.788897514613159,0.307504746492408,-2.56548077261187,0.0103032931592061,0.0327804690119482
"Ntng2",1.62139754198018,2.94151491387306,1.14698851777023,2.56455480442945,0.0103308263053387,0.0328612096497379
"Lrsam1",16.597371324044,-0.864786788303373,0.337242894734,-2.56428467969792,0.0103388706408337,0.0328799377951921
"Synj2bp",61.4354421527768,-0.547407281879721,0.213553553693351,-2.56332555657567,0.0103674784569653,0.0329571677553989
"Zfp2",1.64482914535123,-3.35249954399989,1.30784481177374,-2.56337717886661,0.0103659369243829,0.0329571677553989
"Cdhr4",1.83496895808324,3.72399530100605,1.45300575619974,2.56295977157445,0.0103784072869764,0.0329850317901276
"Ramac",77.5175770305148,-0.42809851011949,0.167047074932119,-2.56274173189475,0.0103849266960161,0.0329988729486164
"Rpl8",4155.11468058352,0.41351704794176,0.161393790844794,2.56216206198058,0.0104022766124736,0.0330471159061831
"Pxn",272.029275970942,-0.304316094465587,0.118779344997024,-2.56202873044309,0.0104062709631478,0.0330529181466981
"Tcerg1",138.113916273225,0.541050492612136,0.211215781207682,2.56160069819848,0.0104191031922531,0.0330867834345117
"Cox4i1",1531.98343797273,0.375938463505375,0.146812912581589,2.56066347908229,0.0104472498091661,0.0331416501436841
"Eya3",184.637713051805,0.45580269932852,0.177998992688093,2.56070381323573,0.01044603709996,0.0331416501436841
"Mydgf",155.074023500831,-0.565393946994741,0.220798716658048,-2.56067587507934,0.0104468770908569,0.0331416501436841
"Nans",62.7020195451913,-0.798629054531221,0.311868289185386,-2.56078954553948,0.0104434598406135,0.0331416501436841
"Prmt9",57.9193517011504,0.578193495544935,0.225774674278577,2.56093158983597,0.0104391909918327,0.0331416501436841
"Ppp1r11",184.655595418925,0.625003454291474,0.244225863607234,2.55912066420865,0.0104937310754511,0.0332821768205382
"Mib1",35.9443549727864,0.594488835651513,0.232378934838943,2.55827334807064,0.010519336839853,0.0333564495549913
"Rabggta",70.8294599386358,-0.610397915106567,0.23861895308159,-2.55804456110348,0.01052626027003,0.0333714626901389
"Agpat3",114.537525739726,-0.50467321364898,0.197348936988828,-2.55726340029665,0.0105499299019527,0.0334395491237361
"Tbx21",10.4587997124244,3.20609714211653,1.2541537125017,2.55638292990515,0.0105766654155229,0.0335173229941929
"Eif3a",280.43349336921,0.389835506363364,0.152508370099578,2.55615810534744,0.0105835018719687,0.0335320177763996
"Tln1",1200.08918090201,0.379862546898108,0.14867685285304,2.55495418156035,0.0106201776560992,0.0336412276220422
"Nln",78.3689409347597,0.493331590735255,0.19312565960065,2.55445905922277,0.010635293608315,0.0336821118305715
"Nr2c2",69.2561018517856,-0.531962347060362,0.208336013447504,-2.55338641772755,0.010668106707709,0.0337790145100169
"Cep89",16.2588756215422,-1.01655993901971,0.39818058405348,-2.55301232589276,0.010679571679757,0.0338082952303937
"Mrpl3",136.432181586376,0.509987852857847,0.199800381829302,2.55248687809591,0.0106956938327898,0.033852303959874
"Clp1",70.4141568666379,0.55213737628292,0.216322741182588,2.55237786496468,0.0106990413585351,0.0338558706002961
"Ptpn13",1.77006545914691,2.55028442459813,0.999344413207341,2.55195745420053,0.0107119598670268,0.0338897157361881
"Plac8",47.6371247752562,2.48994625919798,0.975860896502569,2.55153810150792,0.0107248596777826,0.033923487686198
"Nfu1",185.675619289739,-0.397583545116026,0.155827672346894,-2.55143094373475,0.0107281581990903,0.033926882369494
"Fmnl3",89.8076584120926,-0.571699259656082,0.224085865147454,-2.55125087555117,0.0107337030737316,0.0339373780717776
"Sec11a",252.069853013559,-0.378368333546373,0.148319389732856,-2.55103755636986,0.0107402751499685,0.0339511165118018
"Phf5a",171.239687616499,0.315100367636305,0.123541768025689,2.5505573756301,0.0107550819630497,0.0339908747115788
"Klhl7",35.9264145621102,-0.751490486071626,0.294712712434512,-2.54990862071691,0.0107751157376478,0.0340471325463581
"Cd200r1",249.172966566955,-0.521563247324684,0.204567996228604,-2.54958379091635,0.0107851590519451,0.0340718058238615
"Prag1",33.2024053041428,0.859287466329499,0.337102568765675,2.54903861894568,0.010802033764335,0.0341180457367002
"Bloc1s2",35.9282943480892,-0.851609810935257,0.334640171453148,-2.54485230280994,0.0109323968450394,0.0345226433925995
"Fcrla",159.630485846145,0.962054391294332,0.378084285820709,2.54455005768356,0.010941862736685,0.0345453798474839
"Mtrex",103.061141872781,0.401122185872444,0.15767476917683,2.5439846081055,0.0109595913821237,0.0345941884496599
"Gm50431",3.80388283735056,-2.38490153463116,0.937878615611224,-2.54286801610984,0.0109946750841625,0.0346977471192591
"Gm50139",2.93488616353821,1.89353505445628,0.744667686721237,2.5427920241759,0.0109970663995725,0.034698111408916
"Myo1d",29.874017477478,0.89355027863342,0.351497823035535,2.54212180012018,0.0110181770409189,0.0347575268292675
"Sgsm3",49.0842085646096,-0.489517868523708,0.19257810121722,-2.54191865757131,0.0110245827086317,0.0347705395067851
"Srebf2",501.878155769196,0.389573157630598,0.153280812917528,2.54156505446122,0.0110357407224822,0.0347985321726914
"Zap70",26.1482311044119,2.59775975426856,1.0227833615878,2.53989246582553,0.0110886556643246,0.0349581563809537
"Ppm1a",164.920901154821,0.352427237485613,0.138780165228869,2.53946402862691,0.0111022461512285,0.034993765727027
"A130010J15Rik",8.89589398521122,-1.30716043824283,0.514796121387502,-2.5391808211758,0.0111112379161404,0.0350148683897224
"Eif2s3y",15.7208302830698,1.75977592839673,0.693298068572874,2.53826746123663,0.0111402809525722,0.0350991368883894
"Naa60",199.884701006793,-0.333159339510829,0.131269121533356,-2.53798711851799,0.0111492088100786,0.0351200077517476
"Rrad",22.647234958228,1.2323146241732,0.485736546908336,2.53700206833675,0.0111806293572277,0.0352117073291248
"Mettl13",18.8912887687346,-0.967544359427544,0.381434931912456,-2.53659085332438,0.0111937693014208,0.0352458089156262
"Dnajc19-ps",11.1565209368733,2.1891926271768,0.863080463580278,2.53648729122598,0.0111970806808038,0.0352489556183224
"Armc2",4.61852117282375,-2.54707818361131,1.00444416645375,-2.53580862797372,0.0112188023550019,0.0353027576273187
"Csnk1g3",55.9397923875267,0.5016038985586,0.197804051480898,2.53586261152512,0.0112170731584164,0.0353027576273187
"Cd151",118.007460881788,-0.475692679369149,0.187630967434444,-2.53525676424043,0.0112364931924201,0.0353511298414438
"Smg6",33.1165844636312,-0.728918019820739,0.287532927459189,-2.53507668238866,0.0112422713505935,0.0353620113495253
"Serinc2",15.9020127278267,-0.987813643542033,0.389849447544777,-2.5338336369672,0.0112822280818868,0.0354803732129632
"Cd226",1.92926395597729,3.36937996134776,1.33029558542326,2.53280548944745,0.0113153723176725,0.0355625987126849
"Mok",2.30280204276668,-2.30271461266589,0.909143586463753,-2.53283930827982,0.0113142807315318,0.0355625987126849
"Ngp",1218.31444392495,1.20236204473989,0.474692590611577,2.53292776950828,0.0113114258695542,0.0355625987126849
"Safb",120.348448773149,0.53586240584095,0.211581638819318,2.53265079536771,0.0113203666424268,0.0355709624547483
"Cd164",329.001086052831,0.867685927378517,0.34266252302057,2.53218799572788,0.0113353198961316,0.0356106093419374
"Gm10053",7.21661036329783,2.24268258175114,0.88576285102743,2.53192214953446,0.0113439174277351,0.03563027711233
"Rbm28",97.1115553266076,-0.402413757296507,0.158952267834533,-2.53166414533585,0.011352266882592,0.0356491577532435
"Vbp1",88.4717280867413,0.548295306020824,0.216628726370062,2.5310369275965,0.0113725874738332,0.0357056154501773
"Anxa11",155.801288590725,0.550613111720712,0.217591144345995,2.53049412178822,0.0113901993467423,0.035747692673239
"Ganab",307.690313778751,-0.356974861359933,0.141071461237573,-2.53045412749193,0.0113914979585467,0.035747692673239
"Rpa1",104.688375563209,-0.821888474174301,0.324804834644993,-2.53040714456302,0.0113930236586166,0.035747692673239
"Carhsp1",55.1621494455899,0.754169867097715,0.298130546787144,2.52966318019122,0.0114172069742027,0.0358162011375915
"Pkd2l2",1.62826566602182,-3.55473727857749,1.40531602013047,-2.52949317282206,0.0114227396278395,0.0358261856338288
