"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Whamm",154.617802531513,-0.815919118538458,0.221886676727753,-3.67718842145517,0.0002358188526829,0.00101943833798946
"Fbxl14",114.939089249748,-0.699851055104557,0.190328423670286,-3.67707062144821,0.000235927739776307,0.00101960721632241
"Trak1",150.592446509128,0.76602944885763,0.208334400604757,3.67692251799983,0.000236064704452699,0.00101989730151561
"E2f3",40.6852325671911,1.09232073930149,0.297350151304903,3.6735166755689,0.000239235056849968,0.001033288830281
"Tcea2",9.59732599790042,-1.98137777794782,0.539464935995835,-3.672857392094,0.000239853352203115,0.00103565301662392
"Sfmbt1",71.3264931105685,0.938524889142827,0.255562626580869,3.67238708452484,0.000240295336286916,0.00103725474306764
"Qtrt1",56.9332829945327,-1.37921082359173,0.375591049654272,-3.67210780145395,0.000240558161489989,0.00103808239723354
"Rragd",15.5677332227308,-1.75255055268504,0.477300681119206,-3.67179562487852,0.000240852261023591,0.00103904448086485
"Rac2",101.614467510967,-0.786405450342833,0.214255718429579,-3.67040588744569,0.000242165621867439,0.00104440182401956
"Meis1",5.28584739200007,-4.07931785362887,1.11176134119241,-3.66923880376487,0.000243273752705705,0.0010488711575912
"Gm37612",6.07509928567987,-4.24526884604001,1.15703461806544,-3.66909406145347,0.000243411514736308,0.00104915535705263
"Dctn6",262.635310835014,0.681847835163435,0.185861686304616,3.6685766104905,0.00024390461003906,0.00105097049879032
"Aoc2",15.309543185126,-2.95380503897769,0.805269278251442,-3.66809602545818,0.000244363413787084,0.00105263685295953
"Slc36a1",51.416466948226,1.55672968758712,0.424467361046939,3.66748973053542,0.000244943384935402,0.00105482401952571
"Xaf1",299.682199841124,-1.28626808061308,0.35073088037793,-3.66739329946387,0.000245035748147954,0.00105491068107446
"Hspbp1",111.631924058637,0.873952934551429,0.238440637197466,3.66528518302717,0.000247063118132795,0.00106332529150993
"Smurf2",83.7214932551139,-0.745168747955681,0.203360579102091,-3.66427333776223,0.000248041785562568,0.00106722280335008
"Snph",2.39846910762109,4.92873652594332,1.34515432729257,3.66406770282153,0.000248241121915079,0.00106776586254076
"Dolk",39.9052342521379,1.19108112473809,0.325138965414803,3.66329862438524,0.000248987976150614,0.00107066296105048
"Sdad1",98.8757475937386,-0.933106984198768,0.254764691695382,-3.66262286186215,0.000249645949992717,0.00107317627546177
"Gigyf1",55.8598417808487,-1.44398401970992,0.394308963413212,-3.66206237669701,0.000250192917901641,0.00107521105948136
"Gm9796",5.38552526703225,2.63140495245998,0.718599044575156,3.66185423196004,0.000250396328853464,0.00107545223242563
"Peli3",7.3936779166016,3.10674717139661,0.848394419538642,3.66191372768112,0.000250338170403442,0.00107545223242563
