"","baseMean","lgFC_cDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Zup1",185.519847649758,2.44624178430764,0.264562012266077,9.24638334640193,2.32217163736985e-20,2.35542513521698e-18
"Pnp",1577.72462155014,1.71646650966054,0.185797312894888,9.23838177698298,2.50253179013191e-20,2.51822226722877e-18
"Marchf5",815.467995763469,2.36728195609705,0.256286413537701,9.23686091439573,2.53834698486691e-20,2.53414971819902e-18
"Ifi206",224.611619679185,3.42816411207982,0.372700693915599,9.19816938375799,3.64099504594534e-20,3.60657626465164e-18
"Serpina3f",74.7685598548401,5.13637766610991,0.560933540456985,9.15683819142884,5.34401172442724e-20,5.21205574261638e-18
"Trim30c",38.5089516477632,4.43348914654666,0.484171923682146,9.1568488995186,5.34348164961185e-20,5.21205574261638e-18
"Ebi3",249.661899226291,2.61321719132249,0.287229342438047,9.09801613282648,9.19968344444264e-20,8.90402949557926e-18
"Iigp1",84.3924329753065,4.83286521157208,0.53143072629046,9.09406432952584,9.54043776712747e-20,9.1638795795007e-18
"Plagl2",347.382327591777,1.30207538149496,0.143724384632826,9.05953004997298,1.31013790753574e-19,1.24896530298087e-17
"Rtp4",870.825638434273,3.70777771430599,0.413883471425902,8.95850636782386,3.2910597386836e-19,3.11398107662458e-17
"Csf1r",1523.25293972351,-1.84248805524057,0.205954087386605,-8.94611065320573,3.68227933923057e-19,3.45834220311885e-17
"Ogfr",465.43321608565,1.94106067538898,0.217966547320034,8.90531459645953,5.3234858022633e-19,4.96297621227179e-17
"Lacc1",175.650956304881,2.5402158490656,0.285312077049862,8.9032889015128,5.42158280433097e-19,5.01753637781842e-17
"Etnk1",618.17740413516,1.47941087512868,0.166572641170875,8.88147576174326,6.59791142772119e-19,6.06195065159978e-17
"Cxcl10",7033.470951983,6.18670700405117,0.700142413318677,8.83635512770346,9.88920800035e-19,9.02052289470775e-17
"Herc6",81.3907875103978,3.43858635354267,0.389671950821138,8.82431067028739,1.10136089456861e-18,9.97439627302531e-17
"Stat5a",228.099547560338,1.45806194411054,0.165856495681955,8.79110545604743,1.48095475125083e-18,1.33170392135527e-16
"Ddx60",58.5329629562527,2.90475486094955,0.330836022189811,8.78004408867847,1.6341058905583e-18,1.45907243566118e-16
"Nlrp3",620.209607570065,2.89949757326945,0.330839824540196,8.76405244531608,1.88354138723738e-18,1.67002945795684e-16
"Tap1",1327.04145770674,1.88274759163406,0.215543299741162,8.73489268232871,2.43887567093419e-18,2.14739615498435e-16
"Zc3hav1",352.002328107513,1.38496285303463,0.158630988012202,8.73072071471997,2.53054852067146e-18,2.21274653059265e-16
"Hck",660.50968747158,1.34521476321497,0.154179918555376,8.7249674005491,2.662573232939e-18,2.3122442479749e-16
"Naaa",272.877920387201,-2.33564652596828,0.269742787437982,-8.65879139217126,4.76792461413738e-18,4.11241606684679e-16
"Ifit3",1250.66440969779,5.528288640918,0.639645202206879,8.64274229189012,5.48796112577782e-18,4.70147696714439e-16
"Ifi203",275.438163607809,2.78890110018558,0.325337421572684,8.57233418370381,1.01408307204778e-17,8.62923440972737e-16
"Pxn",272.029275970942,1.06393599722204,0.124302375434435,8.55925716225127,1.1359707197119e-17,9.60198183681815e-16
"Emilin2",268.258915699343,-1.78814971326197,0.209679474090158,-8.52801506213768,1.48880160441576e-17,1.25010036704552e-15
"Pnpt1",69.5401454187582,2.24517650080301,0.264778487504118,8.47945209585086,2.26256881553803e-17,1.88730986922412e-15
