"","CD8_DLN_3","CD8_DLN_1","CD8_DLN_2","CD8_Tumor_3","CD8_Tumor_1","CD8_Tumor_2"
"Irx1",-1.36,-0.19,-0.8,1.41,0.63,0.31
"En1",-1.03,-0.32,-1.03,1.53,0.28,0.58
"Pou3f2",-0.96,-0.59,-0.96,1.53,0.57,0.4
"Lbx2",-1.03,-0.5,-1.03,1.36,0.69,0.52
"Irx2",-1.37,-0.37,-0.38,1.58,-0.04,0.59
"Batf3",-1.46,-0.25,-0.23,1.64,0.06,0.23
"Spic",-1.48,-0.53,-0.09,1.53,0.38,0.18
"Zfp248",-1.17,-0.54,-0.53,1.71,0.35,0.18
"Msc",-1.39,-0.41,-0.62,1.43,0.52,0.47
"Hsf2",-1.31,-0.57,-0.59,1.44,0.47,0.56
"Repin1",0.16,-1.25,-1.18,1.19,0.47,0.61
"Msantd4",0.09,-1.19,-1.16,1.35,0.43,0.49
"Thyn1",0.15,-1.1,-1.37,1.03,0.66,0.63
"Npas2",0.13,-1.28,-1.21,0.9,0.76,0.71
"Ybx3",0.13,-1.27,-1.21,0.98,0.71,0.67
"Rbpj",-0.17,-1.19,-1.14,1.17,0.71,0.62
"E2f3",-0.02,-1.29,-1.13,1.01,0.79,0.64
"Hmga1",-0.13,-1.32,-1.06,0.95,0.82,0.75
"Foxf2",-0.27,-0.99,-0.86,1.61,0.74,-0.24
"Hoxd3",-0.7,-0.82,-0.69,1.81,0.13,0.28
"Rorb",-0.31,-0.99,-0.83,1.76,0.05,0.34
"Dbx2",-0.29,-0.87,-1.17,1.57,0.31,0.45
"Zfp991",-0.63,-0.56,-1.17,1.62,0.35,0.39
"Hoxb4",-0.48,-0.55,-1.28,1.6,0.37,0.35
"Zfp786",-0.92,-0.77,-0.5,1.67,-0.18,0.71
"Dlx3",-0.76,-0.84,-0.76,1.49,-0.08,0.95
"Gbx1",-0.73,-1.07,-0.73,1.38,0.21,0.93
"Dlx1",-1.03,-1.28,-0.15,1.18,0.47,0.82
"Hoxb5",-0.98,-1.14,-0.5,1.19,0.84,0.6
"Nr1h4",-0.95,-1.1,-0.64,1.1,0.74,0.84
"Zic1",-0.98,-1.14,-0.49,1.25,0.57,0.79
"Emx2",-0.99,-0.96,-0.61,1.46,0.53,0.57
"Hoxc8",-1.12,-0.87,-0.63,1.29,0.51,0.81
"Atoh8",-0.49,-1.31,-0.74,1.33,0.65,0.56
"Pcgf2",-0.42,-1.28,-0.9,1.17,0.64,0.78
"Tcfl5",-0.91,-0.79,-0.91,1.23,1.04,0.35
"Hoxd10",-0.83,-0.93,-0.83,1.36,0.86,0.38
"Foxd3",-0.87,-0.94,-0.87,1.19,0.94,0.55
"Twist2",-0.86,-0.82,-0.86,1.52,0.5,0.52
"Six2",-0.81,-0.93,-0.81,1.51,0.64,0.39
"Zic4",-0.84,-0.98,-0.84,1.31,0.66,0.69
"Atf5",-0.79,-0.88,-0.97,1.35,0.52,0.76
"Zfp397",1.51,0.62,0.2,-0.21,-1.02,-1.1
"Zfp553",1.44,0.25,0.49,0.09,-1.07,-1.21
"Jrk",1.39,0.34,0.37,0.19,-0.85,-1.43
"Foxp3",1.62,0.13,0.43,-0.22,-1.3,-0.66
"Zbtb18",1.2,0.21,1.08,-0.39,-1,-1.09
"Zfp82",1.14,0.2,0.99,-0.03,-1.09,-1.22
"Zfp748",1.04,0.76,0.56,0.04,-0.93,-1.47
"Mtf2",0.86,0.96,0.6,-0.04,-0.94,-1.45
"Zfp445",0.99,0.87,0.62,-0.1,-1.09,-1.29
"Zfp953",0.77,0.59,0.93,0.21,-1.3,-1.2
"Zfp273",0.56,0.79,0.88,0.29,-1.2,-1.32
"Zfp945",0.57,0.9,0.9,0.1,-1.26,-1.21
"Zmat1",0.59,0.79,0.97,0.12,-1.24,-1.24
"Zfp551",0.67,1.05,0.6,0.13,-1.05,-1.41
"Zfp426",0.72,0.98,0.77,-0.06,-1.32,-1.09
"Zfp217",0.82,0.86,0.78,-0.02,-1.24,-1.2
"Zfp566",0.97,0.65,0.57,0.15,-1.7,-0.65
"Zfp668",1.17,0.49,0.72,-0.02,-1.36,-1
"Zfp607b",1.1,0.5,0.83,-0.04,-1.26,-1.13
"Gfi1",0.99,0.86,0.61,-0.07,-1.31,-1.08
"Trp53",1.12,0.7,0.64,-0.07,-1.27,-1.12
"Zfp65",1.2,0.71,0.52,-0.08,-1.29,-1.05
"Zfp672",1.21,0.57,0.48,0.16,-1.17,-1.26
"Zfp87",1.15,0.56,0.58,0.17,-1.2,-1.25
"Zfp759",1.13,0.84,0.31,0.1,-1.38,-1
"Zfp296",1.28,0.63,0.4,0.05,-1.31,-1.05
"Zfp729a",1.09,0.6,0.98,-0.7,-1.19,-0.77
"Zfp689",1.2,0.42,0.99,-0.57,-1.12,-0.91
"Eomes",1.18,0.82,0.66,-0.59,-1.1,-0.97
"Zfp882",1.02,0.76,0.91,-0.63,-1.16,-0.9
"Pax5",0.95,0.83,0.93,-0.61,-1.08,-1
"Bmyc",1.14,0.62,0.88,-0.95,-0.51,-1.18
"Zfp429",1.38,0.38,0.84,-0.86,-0.89,-0.85
"Rexo4",1.38,0.44,0.79,-1.01,-0.83,-0.76
"Sp110",1.29,0.7,0.67,-0.97,-0.96,-0.74
"Nr1i3",1.29,0.72,0.66,-1.02,-0.9,-0.74
"Prmt3",1.28,0.78,0.6,-0.82,-0.95,-0.9
"Zfp595",1.25,0.77,0.66,-0.93,-0.9,-0.85
"Mterf3",1.12,0.8,0.78,-1.12,-0.76,-0.83
"Irf2",1.19,0.62,0.86,-1.09,-0.85,-0.73
"Ncoa3",1.23,0.61,0.84,-0.98,-0.9,-0.79
"Zfp493",1.24,0.68,0.61,-0.26,-1.15,-1.12
"Nfx1",1.14,0.77,0.7,-0.37,-1.1,-1.14
"Pcgf6",1.24,0.68,0.69,-0.46,-1.1,-1.04
"Gm42715",1.43,0.61,0.51,-0.52,-1,-1.03
"Zfp1",1.28,0.78,0.5,-0.49,-0.8,-1.27
"Zfp444",0.94,0.57,0.99,-0.15,-1.28,-1.07
"Zfp780b",1,0.59,0.95,-0.23,-1.21,-1.11
"Zfp574",0.8,0.77,0.99,-0.21,-1.14,-1.2
"Jrkl",0.88,0.66,0.97,-0.13,-1.04,-1.33
"Zfp446",0.95,1.06,0.6,-0.38,-1.05,-1.17
"Zfp59",0.98,0.88,0.79,-0.43,-1.07,-1.15
"Zfp94",0.98,0.9,0.8,-0.53,-1.02,-1.13
"Zfp511",0.85,0.98,0.8,-0.39,-1.1,-1.14
"Mef2b",0.9,0.85,0.89,-0.43,-1.17,-1.05
"Rsl1",1.78,0.09,0.37,-0.83,-0.62,-0.79
"Hnf1b",1.57,0.14,0.65,-0.8,-0.44,-1.13
"Sox12",1.55,0.52,0.29,-1.14,-0.29,-0.93
"Zfp944",1.5,0.62,0.34,-0.66,-0.61,-1.19
"Gata1",1.5,0.62,0.38,-0.85,-0.54,-1.11
"Hes5",1.39,0.73,0.46,-0.81,-0.65,-1.12
"Ascl4",1.04,1.23,0.21,-0.88,-0.42,-1.18
"Zfp560",1.05,1,0.44,-0.39,-0.65,-1.45
"Prox2",1.23,0.66,0.45,-0.31,-0.43,-1.6
"Tet1",-0.93,1.41,1.11,-0.32,-0.62,-0.65
"Olig3",-0.65,1.41,1.14,-0.86,-0.6,-0.44
"Rfx3",-0.36,1.33,1.16,-1.12,-0.5,-0.51
"Zfp354c",-0.4,1.32,1.22,-0.93,-0.67,-0.54
"Mbd6",-0.05,1.07,1.31,-1.24,-0.52,-0.57
"L3mbtl3",0.05,1.18,1.2,-1.18,-0.64,-0.6
"Zfp236",-0.01,1.21,1.19,-1.18,-0.59,-0.62
"Dmtf1",0.01,1.29,1.06,-1.27,-0.57,-0.52
"Mlxip",0.06,1.22,1.11,-1.29,-0.53,-0.58
"Tet3",-0.13,1.23,1.18,-1.23,-0.47,-0.58
"Sp3",-0.08,1.3,1.12,-1.13,-0.54,-0.68
"Zfp654",-0.05,1.3,1.1,-1.18,-0.46,-0.7
"Ehf",-0.21,1.1,1.25,-1.23,-0.79,-0.12
"Lcor",-0.32,1.22,1.19,-1.29,-0.46,-0.33
"Jund",-0.29,1.19,1.21,-1.3,-0.5,-0.31
"Zfp28",0.49,1.16,0.87,-0.96,-0.25,-1.3
"Zfp740",0.52,1.03,1.11,-1,-0.68,-0.98
"Zfp607a",0.42,1.1,1.08,-0.96,-0.5,-1.13
"Snai3",0.35,1.16,1.07,-0.92,-0.58,-1.09
"Zfp78",0.47,0.91,1.02,-0.43,-0.37,-1.61
"Zfp14",0.75,1,0.86,-0.68,-0.51,-1.41
"Zbtb24",0.61,1,1.02,-0.43,-1.02,-1.17
"Zfp865",0.6,1.02,1.04,-0.55,-0.96,-1.14
"Zfp850",0.74,1.01,0.87,-0.43,-0.94,-1.27
"Zbtb14",0.68,1.1,0.87,-0.48,-1.02,-1.15
"Thap11",0.39,1.36,0.78,-0.55,-0.74,-1.24
"Zfp61",0.43,1.14,0.98,-0.61,-0.6,-1.35
"Gata3",-0.03,1.32,0.96,-0.11,-1.21,-0.93
"Safb2",-0.05,1.1,1.23,-0.19,-1.19,-0.9
"Kdm2a",0.14,1.13,1.13,-0.21,-1.11,-1.07
"Zfp512",0.45,1.17,0.9,-0.37,-1.35,-0.81
"Cc2d1a",0.6,1.03,0.92,-0.25,-1.32,-0.97
"Zkscan3",0.61,1.05,0.9,-0.27,-1.27,-1.02
"Terf2",0.4,1.12,0.99,-0.29,-1.25,-0.98
"Zfp182",0.5,1.11,0.92,-0.26,-1.27,-1
"Zfp280c",0.29,1.22,0.96,-0.26,-0.97,-1.23
"Zfp956",0.49,1.13,0.92,-0.29,-1.08,-1.18
"Gmeb1",0.46,1,0.97,-0.04,-1.16,-1.22
"Ttf1",0.45,1.08,0.93,-0.12,-1.18,-1.16
"Zfp276",0.29,1.06,1.03,-0.07,-1.03,-1.28
"Zfp597",0.42,1.08,0.96,-0.15,-1.01,-1.3
"Pbx2",0.51,0.93,1.11,-0.28,-1.23,-1.03
"Tbx6",0.44,1.06,1.03,-0.28,-1.17,-1.09
"Zscan20",0.38,1,1.09,-0.17,-1.2,-1.1
"Bcl11b",0.41,1.06,1.01,-0.17,-1.2,-1.11
"Mbd4",0.27,0.87,1.33,-0.31,-1.09,-1.06
"Zbtb49",0.42,1.02,1.13,-0.41,-1.09,-1.07
"Mecp2",0.4,1,1.18,-0.49,-0.98,-1.12
"Zfp420",0.45,1.05,1.11,-0.5,-0.96,-1.15
"Pou2f1",-0.15,1.13,1.31,-0.4,-0.85,-1.04
