"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Atg4b",68.0269559174357,0.923059754182206,0.234068044485026,3.94355306472113,8.02832167188501e-05,0.000553838077081366
"Castor1",11.2608890586727,-2.25453126504244,0.571729762250531,-3.9433512367238,8.03508413548693e-05,0.000553838077081366
"Crem",83.5352079003321,1.29198135339825,0.327633866261247,3.9433693718587,8.03447627823039e-05,0.000553838077081366
"Pop5",87.1518778194765,-0.747109190261156,0.18949200860766,-3.94269497563896,8.05711010503975e-05,0.000555072781917389
"Snx8",147.601511606888,-0.776901901158254,0.197055597754615,-3.94255179761853,8.06192314077709e-05,0.000555120993407794
"Smpdl3b",34.5375806603564,2.11736707313684,0.537301158604593,3.94074540735363,8.12288020561018e-05,0.000559033101758873
"Serpinb9",28.728043308728,2.21818015018289,0.563067126659042,3.93945951585642,8.16653807976317e-05,0.000561751263631415
"Psmd14",271.331518962944,0.664337827142633,0.168649132597331,3.93917132517257,8.17635294650042e-05,0.000562139884696738
"Ubap1",214.429573765911,0.847401293001744,0.215129141486003,3.93903534941071,8.18098772283371e-05,0.00056217215024116
"Gm14636",13.3149111754927,1.95726522649895,0.497017200587445,3.9380231190904,8.21556803824983e-05,0.00056426110047949
"Brpf3",55.5981377183706,1.25206918836123,0.318094613938127,3.93615337543807,8.27980672511396e-05,0.000568383883835901
"Nav2",9.50006567153418,-3.0045422150936,0.763581252546737,-3.93480353933873,8.32647772783792e-05,0.000571297119547029
"Rnf4",289.164681340855,1.24648574680804,0.316820219984464,3.93436298626762,8.34176372424622e-05,0.000572055097674934
"Snx21",15.3516568533595,-1.49334389418649,0.379592577906731,-3.93407031934491,8.35193312951372e-05,0.00057246160241705
"Angptl2",33.9623169663034,-1.75903391662091,0.447237612213418,-3.93310819256747,8.38544713419142e-05,0.000574466977274352
"Fkbp5",45.9422581961249,1.33668674705144,0.339961991224183,3.93187115488444,8.42872395059959e-05,0.000577138804856886
"Metrn",15.9574675839604,-2.31184931923991,0.588114584545649,-3.9309504984066,8.46106931703499e-05,0.00057905979463846
