"","baseMean","lgFC_cDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Cxcr5",138.752864308232,1.29556900643262,0.244009040411319,5.30951232072681,1.09918953570763e-07,2.4727738218126e-06
"Rab20",105.095041164666,1.51686664859946,0.285736832700576,5.30861434370622,1.10461779048472e-07,2.48044247175938e-06
"Cxxc5",39.3695759041635,-1.26056760674559,0.237606190463416,-5.30528099578143,1.12499561490187e-07,2.52159144851089e-06
"Maff",63.7067135553337,1.34424988498881,0.253417747877557,5.30448201141108,1.12993384625662e-07,2.52804689136066e-06
"Axl",610.346814485338,1.69630887384825,0.319861768010564,5.3032561046565,1.13755153708468e-07,2.5404628236384e-06
"Diaph1",448.555149568869,-0.676546175294995,0.127662526181074,-5.29948917300444,1.16127121938688e-07,2.58872856401617e-06
"H2-T10",61.0431682993628,1.3675669508095,0.258123773431382,5.29810537258801,1.1701043882834e-07,2.60369423936322e-06
"Prkcb",366.0364910935,-0.879439839614317,0.166064614205903,-5.29576902231502,1.1851656894084e-07,2.63243945081436e-06
"Chmp4b",537.332325315303,1.41981924458598,0.268228229313404,5.29332519630896,1.20112051495008e-07,2.66306196482525e-06
"Bin2",137.127611057471,-1.62284590767256,0.30688675853068,-5.28809361290939,1.23597723905097e-07,2.73540692383119e-06
"Il1rn",1561.59871740128,1.79250037172465,0.339211502739642,5.28431482201376,1.26176105237008e-07,2.78744802270893e-06
"Ifrd1",310.092227836447,0.908213667645505,0.172062556191494,5.2783922763226,1.30322242933853e-07,2.8696201638507e-06
"Wars1",235.647274135907,1.09535063782997,0.207518209563952,5.27833504409844,1.3036294483666e-07,2.8696201638507e-06
"Otud5",285.908371045101,0.74296097862989,0.14110124661704,5.26544588685558,1.39849509518589e-07,3.0729365392072e-06
"Fxyd5",996.759674040562,-1.02562086308856,0.195068048333824,-5.25775939139654,1.4582113211124e-07,3.1927289941575e-06
"Kmt2e",172.718692632429,-0.620284516683232,0.117972006977046,-5.25789577186665,1.45713060687331e-07,3.1927289941575e-06
"Kif21b",117.371327842434,-1.05900416480848,0.201766337820774,-5.24866623563925,1.53204356242001e-07,3.34841478242082e-06
"Bmyc",59.3141372597101,-1.13537938041592,0.216393944683477,-5.24681678166485,1.54749656083e-07,3.37618121788187e-06
"Cd300lb",137.943638347343,-1.35643270252157,0.258587352939977,-5.24554927802839,1.55817404464452e-07,3.38744279475552e-06
"Gpr68",45.3741326838207,-1.6246602955339,0.309719842209964,-5.24558027648907,1.55791206496787e-07,3.38744279475552e-06
"Zc3h7b",121.145263975608,1.14531331775712,0.218469617169453,5.24243751875471,1.58469061562794e-07,3.43900262045195e-06
"Abhd12",197.795151784537,-0.946532139425491,0.180904204736949,-5.23222852007134,1.67478519919209e-07,3.62811051175952e-06
"Iffo2",82.5768547848723,1.33802456729423,0.25584688169168,5.2297864974828,1.69705914611965e-07,3.65701359505046e-06
