"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Calhm6",220.183618212214,3.71019563059548,0.490458058171401,7.56475618818127,3.88592766438122e-14,4.92351386245028e-13
"Ttyh2",36.592448057801,-3.79058618481631,0.501104614043172,-7.56446075048461,3.89476912597665e-14,4.9304693496658e-13
"Ikzf3",40.0667996202363,4.65225607447805,0.615098557365695,7.56343193910653,3.92571267078343e-14,4.96536830500638e-13
"Ctnnbip1",13.9385817636328,-4.540188141286,0.600980178228742,-7.55463874809851,4.2002399993701e-14,5.30803525693592e-13
"Surf1",101.996088298218,-1.58563877227046,0.209996781164388,-7.55077655704256,4.32670593547413e-14,5.4631626017875e-13
"Aida",204.453851258407,1.71324603574534,0.226914845493268,7.55017166030313,4.34684927433622e-14,5.48388960767459e-13
"Pnpla7",150.947539614692,-1.60600168903453,0.21292769684682,-7.54247433667536,4.61136887422858e-14,5.81261663580997e-13
"Otud5",285.908371045101,1.25179449317267,0.165992725323286,7.54126116511844,4.65447895411929e-14,5.86193368279921e-13
"Pcdh7",66.2290388749555,-4.41108395439737,0.585352860169451,-7.53576902848041,4.85465206566687e-14,6.10880512283658e-13
"Id1",81.1728838977893,2.3013476711838,0.305609937738723,7.5303430517083,5.06071870651952e-14,6.36266428828223e-13
"Znrf2",53.2221942691993,-2.09318615070154,0.27800943758985,-7.52919098304009,5.10556614751076e-14,6.41356772244947e-13
"Rusc2",129.766287830471,-2.2146650361554,0.294422553290272,-7.52206314158263,5.39185315447396e-14,6.76741978688669e-13
"Akirin1",185.370969531447,-1.16662446692285,0.155100010519945,-7.52175620757181,5.40452921337163e-14,6.77754686519153e-13
"Slc8b1",52.6254131217426,-2.53175814263003,0.33676833781782,-7.51780336309295,5.57041964888902e-14,6.97963143399979e-13
"Tspan4",59.3961220420218,-3.42597213718643,0.456037546735808,-7.51247821963039,5.80183973025122e-14,7.26340956868046e-13
"Lsp1",1101.00473738298,2.02978966528356,0.270352641211663,7.50793354999777,6.00679801074257e-14,7.51360533486592e-13
"Snhg17",35.0689538343879,2.42245529207782,0.322668503516295,7.50756663783109,6.02365241050276e-14,7.52828606274389e-13
"Tspan33",67.7683300936059,6.01005630531641,0.801221040500894,7.50112141533271,6.32741462750684e-14,7.90121130480693e-13
"Tnfaip8l2",189.223283256504,-1.47888301775018,0.197181792258214,-7.50009927799801,6.37695165547415e-14,7.95631542425995e-13
"Blk",73.1959728742957,6.03706416321223,0.805020294245043,7.49926952943945,6.41744492965921e-14,8.000052111465e-13
"Rnf24",68.1748680026959,2.59000942927157,0.345458232496469,7.49731569734133,6.51379665463627e-14,8.11328948261638e-13
