"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Ndufs7",274.136237947626,0.59108574727909,0.170500395478088,3.46677053517482,0.000526751358985776,0.00211906732129268
"Nbdy",39.9412447426849,1.36681787119979,0.394364908014761,3.46587093177326,0.000528516928494919,0.00212557645781625
"Ica1",8.74203902416448,1.95465845520763,0.564244836291171,3.46420264659535,0.00053180572431881,0.00213820632557543
"Gpr85",25.4874708327207,2.35929285611347,0.681372685347487,3.46255860683684,0.000535065371497693,0.00215016045597297
"Hspbp1",90.6029958281728,0.882838205380152,0.25496745323273,3.4625525500869,0.000535077414595521,0.00215016045597297
"Ints15",85.0657123180095,-0.814531945675651,0.235272923839601,-3.46207261074787,0.000536032517939701,0.00215339778400428
"Pard6g",4.23718740541884,-4.02701533096006,1.16470298464611,-3.45754701760607,0.000545117111492331,0.0021892827176355
"Mapre1",21.6449738310904,1.58953951983426,0.45977115021892,3.45724067088028,0.000545737220588031,0.00219116231878238
"Fdps",126.36120742641,-1.08746133000596,0.314749734669223,-3.45500316671847,0.000550286359121893,0.00220881172736416
"Fbxo33",39.6699997119575,1.10869802850368,0.320922310273029,3.45472406564829,0.000550856279482902,0.0022104834435183
"Eef2kmt",52.0356847909192,0.763932373500644,0.22116244530691,3.45416859738789,0.000551992174077671,0.0022144247451303
"Ap1m2",4.93759257429896,-4.04814190732154,1.17213269544178,-3.45365496847247,0.000553044451212361,0.00221665646944662
"Cd164",281.693055748515,-0.95800147012979,0.27737835976115,-3.45377148727364,0.000552805574147731,0.00221665646944662
"Golgb1",114.30602089741,0.82281242027294,0.238245540569062,3.45363198953319,0.000553091572053941,0.00221665646944662
"Rgs14",110.332202315914,-0.840668498890063,0.243418260371954,-3.45359669239885,0.0005531639599931,0.00221665646944662
"Ppard",135.631102315206,0.831113135506319,0.240670255548722,3.45332718250289,0.000553716966292119,0.00221825545506237
"Sfmbt1",59.3810978570411,0.945975567605399,0.2740233383482,3.45217153147501,0.000556094085454819,0.00222715913123773
"Cnbd2",6.27729156920994,-3.05925220322815,0.886252514616974,-3.45189678198016,0.00055666062892137,0.00222880851035054
"Rsph9",3.38951168787738,3.51031469914563,1.01698052421924,3.45170297321138,0.000557060592980492,0.00222979019240816
"Pgam1",17.7797955143322,1.8203519351484,0.527442521163688,3.45128020989317,0.000557933980538396,0.00223266581212115
"Ass1",607.193175168753,1.04402816398496,0.302522747819587,3.45107325485349,0.000558361994192343,0.00223375809173421
"Ppm1m",97.2294435892475,-0.769834569125693,0.223084868912881,-3.45085963417057,0.000558804114121884,0.00223490618213211
"Cx3cr1",7.16937486754051,2.91501010261606,0.845162224736557,3.44905394171479,0.000562554312120989,0.00224928043863862
"Usp1",75.0733643257701,-0.820955807579045,0.238152313891384,-3.4471880376248,0.000566454177478127,0.00226424497246113
"Pced1b",25.7866299944016,-1.42346907307397,0.412998125846742,-3.44667199192618,0.000567537183826125,0.00226771617962027
"Tm7sf3",23.672049619143,1.14738671567339,0.332901593629993,3.44662428065354,0.000567637411058634,0.00226771617962027
"Tuba4a",262.64617045814,-0.977896384564902,0.28380837252013,-3.44562204378076,0.000569746627094871,0.00227551148043491
"Abraxas1",17.937957292892,-1.36248206770432,0.395493368568475,-3.44501874364151,0.000571019793870373,0.00227996428783165
"Kpna6",108.348730871333,0.821910825832288,0.238679316198069,3.44357793094322,0.00057407112116964,0.00229151248865886
"Pip4p2",19.4725415196433,1.2231243199482,0.355206192218013,3.44342060117434,0.000574405229198735,0.00229221100604903
"Lrrc1",5.16820154569154,-3.18541963193942,0.925387040450726,-3.44225658313509,0.000576882787700243,0.00230082321140911
"Taf5",9.94102984357857,-2.11723263616523,0.615070156068497,-3.44226201722823,0.000576871198402863,0.00230082321140911
"Dnajb11",211.803038211483,0.549765846654454,0.159769272176453,3.44099862986969,0.000579571467676809,0.00231090688163635
"Blcap",83.3150444163478,0.98293571619671,0.285780284459225,3.43948050180122,0.000582831766561731,0.00232326353876267
"Med15",149.077099032346,0.643557863580115,0.187158137755722,3.43857804580254,0.000584777945197271,0.00233037650857867
"Mtfr2",21.5140503086302,1.64995259813721,0.479846927433669,3.43849778712044,0.000584951318549095,0.00233042275857806
"Rps3",4577.20345313492,-0.460382251739227,0.133896331565251,-3.43834850706775,0.000585273917901165,0.0023310633290805
"Tns4",8.10926894922723,1.93361208310507,0.562510546633904,3.4374681411325,0.000587179790252234,0.0023380077552166
"Ap3s1",43.0343687368427,1.07743690678519,0.313489003833771,3.43692089230826,0.000588367419744761,0.00234205369080164
"Gm37274",15.7272517264162,-1.75808131796165,0.511538539590138,-3.43685017236489,0.00058852105794127,0.00234205369080164
"Tmem160",173.83605834466,0.727022903542454,0.211552247653044,3.43661157755605,0.000589039677792679,0.00234347020112713
