"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Gxylt1",37.9924210324387,-0.863148503494108,0.264097220687707,-3.2682983230436,0.00108196256382493,0.00313219740724781
"6030468B19Rik",1.49952866130993,-4.67165012371866,1.42950461260043,-3.26802032154371,0.00108302589065221,0.00313469472630688
"Rad9b",4.03657859490917,-2.71524414542802,0.830914611800194,-3.26777758733281,0.00108395511409008,0.00313680304505395
"Ighg1",19.9874409383634,-2.95654834206377,0.904837494330488,-3.26749097002373,0.00108505327809515,0.0031393993808343
"A130014A01Rik",3.25107921572965,-3.43077067175887,1.04999900857104,-3.26740372491196,0.0010853877588618,0.00313978558910743
"Trpm7",122.812099746633,-0.561488107100331,0.17191027496077,-3.2661695598385,0.00109012953483936,0.00315291861946411
"Rsu1",228.244572043722,0.83024479954501,0.254238366625989,3.26561569193208,0.00109226376856434,0.00315850653993773
"Psme2b",158.822107578513,0.815943454642939,0.249943479339717,3.26451186803688,0.00109652869142004,0.00317016713635066
"Pycrl",30.9572374785712,-0.912926824131918,0.279655699620123,-3.26446707638003,0.00109670208084239,0.00317016713635066
"Hnrnpdl",445.395797806719,-0.519413437971254,0.159116975055998,-3.26434962572947,0.00109715685513733,0.0031708949554302
"Cog7",49.7148565597123,1.0108926830524,0.30982368437172,3.26279988924138,0.00110317386058764,0.00318769494566029
"Dapk2",10.4863354397529,-2.32819131096946,0.713832347839277,-3.26153797599218,0.00110809588796717,0.00320073333319806
"Rab3ip",56.8510870218113,0.783713378986094,0.240289089300365,3.26154375659746,0.00110807329479121,0.00320073333319806
"Btk",42.3049821908375,-0.701935250248818,0.215224231846249,-3.26141366252042,0.00110858186338714,0.00320154507080247
"Adgrf5",3.22241537156806,-4.58400603320478,1.40570228019554,-3.26100775234363,0.00111017005015839,0.00320553906719488
"Szrd1",203.024549899718,0.402508887430937,0.123453240741376,3.2604157251259,0.00111249022112669,0.00321164475036406
"Rprd1b",21.9377197503175,-1.11900442208961,0.343252634584255,-3.26000242778892,0.00111411260141231,0.00321573409953098
"Nr2c1",12.2901523716776,1.35909318009255,0.417014284574687,3.2591046167128,0.00111764445931885,0.00322533236634393
"Gm48582",9.69325345462065,1.72334335316861,0.528849469656846,3.2586651817706,0.0011193769031153,0.00322913880028885
"Tex30",20.1332036231337,-1.21495176256487,0.372833371689978,-3.25869907261181,0.00111924320236032,0.00322913880028885
"Ppp2r2d",141.319866852406,0.547005618523663,0.16786998501347,3.2585075794209,0.00111999884485544,0.00323033640241632
"Zfr",92.0147484588987,0.584915574474452,0.179508166203836,3.25843434782942,0.00112028794533954,0.00323057374822762
"Rmc1",57.5204678137148,0.656465984900182,0.201473978609429,3.25831648052569,0.0011207534016369,0.003231319469725
"Serpina3g",219.401930211645,1.30101780247835,0.399343733941109,3.25788961213603,0.00112244059553717,0.00323558673978338
"Atp5pb",791.786920561866,0.505448756115133,0.155151947406947,3.25776610969242,0.00112292917576399,0.00323639790675449
"Rpl39l",5.66989016752448,2.75462721794534,0.84566605503733,3.25734632664633,0.00112459132333142,0.00324059049285373
