"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Treatment_6H","lfcSE","stat","pvalue","padj"
"Bora",14.5942255229024,-2.16301004671725,0.498537743024945,-4.33870870757526,1.43322337391056e-05,6.24767204196263e-05
"Irf9",377.743691273603,-1.04323400064133,0.240493922178479,-4.33788093766089,1.43863047763045e-05,6.26942216565049e-05
"Elovl6",7.74481209450489,-3.74111256926521,0.862786993466528,-4.33607900628413,1.45046827950652e-05,6.31917593738576e-05
"Pds5a",48.3258616867381,-1.07991199687015,0.249068080365174,-4.3358104952141,1.4522401975288e-05,6.32506007702345e-05
"Cnot6",73.6708349856818,-0.829671234273776,0.191404029757018,-4.33465917790248,1.45986122596695e-05,6.3564085224599e-05
"Nudt9",337.361952979707,0.822161298292542,0.189702058221638,4.33396087527934,1.46450213406429e-05,6.3747667552065e-05
"Tesc",10.0868560492449,-2.32276875699915,0.535988680085635,-4.33361532304757,1.46680386883482e-05,6.38293521241078e-05
"Mthfd1",48.722265117843,-1.08775593558948,0.251014794985022,-4.33343355579654,1.4680160106045e-05,6.38635884300357e-05
"Tincr",5.74474850562373,-4.32577636808413,0.998277866474649,-4.33323878386718,1.4693159361135e-05,6.39016226792352e-05
"Ubald2",140.739147412169,-1.78151875639447,0.411157641113637,-4.33293359590535,1.4713549958598e-05,6.39717710768701e-05
"Atp13a4",2.77483130627215,5.27026226986037,1.21672155837789,4.3315269903548,1.48078791220885e-05,6.43632568789561e-05
"Rpgrip1",25.4096805083921,-2.75664238088071,0.63670401750272,-4.32955078828121,1.49413809828939e-05,6.49247330524418e-05
"Ndst2",71.0591898640296,0.734202608605861,0.169583345349972,4.32944996509342,1.49482227465636e-05,6.49356678513191e-05
"Abcg4",5.22520230107401,-4.89695023137354,1.13148025930151,-4.32791486295708,1.50527629943311e-05,6.53708796163996e-05
"Shank1",5.42409604636957,-5.11208938920297,1.18129316238448,-4.32753659462823,1.50786298604345e-05,6.54642770661373e-05
"Wnt6",5.81618275920925,3.65935186180613,0.845818546152826,4.32640296012727,1.51564044893054e-05,6.57829143098993e-05
"Ssbp1",53.1462857586731,-1.04014337928491,0.240422309108558,-4.3263180656636,1.51622441644482e-05,6.57892403586302e-05
"Gpr141",9.23821006393973,2.28690227229433,0.52879089804769,4.32477616528128,1.52686816375579e-05,6.62319322232466e-05
"Pms2",15.2635819920729,-2.031453797993,0.469852012451678,-4.32360348398407,1.53501084193529e-05,6.65659092142533e-05
"Ifih1",712.930971131873,1.18661787738625,0.274478534900925,4.32317185682505,1.53801831632737e-05,6.66770689662801e-05
"Myl12b",157.004870940778,-0.659583135368534,0.152607621972306,-4.32208514125349,1.54561518634286e-05,6.69870692626021e-05
"Igsf9",5.64381144314871,-2.67897766463673,0.619851726515605,-4.32196531853862,1.54645501370815e-05,6.70041244467545e-05
"Id3",145.348870147886,-2.01363981167499,0.466020660782235,-4.32092390130304,1.55377256438321e-05,6.73017527671239e-05
"B630019A10Rik",4.51110608098944,-5.45654489745932,1.26331128173442,-4.31924021921813,1.56567287863212e-05,6.77976548223365e-05
"Pdcd2",78.9591800094964,-0.747027822952371,0.172973988056579,-4.31872925718763,1.56930152516981e-05,6.79351897271462e-05
"Pccb",39.3479748050199,1.06869839814293,0.247510606689621,4.3177882856676,1.57600491235974e-05,6.82057127392817e-05
"Gne",22.1372093698777,-1.50500845558095,0.348624087354737,-4.31699503898463,1.58167711866841e-05,6.84314656558181e-05
"B4galt5",989.667222779024,1.24635870470195,0.288739822055123,4.31654593339747,1.58489712487524e-05,6.85510243035204e-05
"Kmt2e",172.718692632429,-0.531244032264146,0.123088949539735,-4.3159360304123,1.58928002618006e-05,6.87207979062247e-05
"Gm32031",10.7647227504405,-2.06985547551983,0.47974222165196,-4.31451596733017,1.59952973376547e-05,6.91440826173944e-05
"Mmrn2",5.85890167296075,-6.13853453790952,1.42303865510653,-4.31368080964041,1.60558711428685e-05,6.93859509118841e-05
"Elp2",83.212148133175,-0.991445598286954,0.229860305043436,-4.31325277367748,1.60870011868401e-05,6.95004744800086e-05
"Bltp3a",16.2706087287155,1.69172212419694,0.39247261227239,4.31042083268431,1.62944156678701e-05,7.03763125494057e-05
"Galc",31.5737430969646,1.39242991104221,0.323086083084793,4.30977991297995,1.63417097795104e-05,7.05602786654557e-05
