"","gene_name","log2FoldChange","padj"
"248","Galr3",4.29100567866909,0.00123601882946001
"249","Nlgn1",5.09613310689583,0.00143685684137495
"250","Ptgfr",5.46734409278635,0.00152159732770867
"251","Lyve1",8.95243819259967,0.00155537683895333
"252","Csf2ra",2.40312801333175,0.0016596985311525
"253","Gpr84",7.57469491052277,0.00168202111104775
"254","Adora3",3.60983211111479,0.0017885130985238
"255","Sdk1",4.38078514734006,0.00186419494837946
"256","Cdh2",3.47954292395862,0.00190488115401126
"257","P2ry12",3.33949216900642,0.002148071634655
"258","Gpr39",5.94715014611908,0.00246637701678733
"259","Itga8",3.37166110330929,0.00248002003396044
"260","Csf1r",4.13701240458607,0.00252299191122138
"261","Gnat2",3.27337130828342,0.00252821523880147
"262","Gucy2c",2.35465086395761,0.0026535611274697
"263","Fzd9",2.19828757448609,0.00269716976020362
"264","Klrg1",1.21932337656422,0.00284652727368683
"265","P2ry6",4.20883463425593,0.00330286956396324
"266","Tfrc",0.870836735698039,0.00377090681517937
"267","Ptger2",0.890712761573378,0.00409631203157365
"268","Mag",3.63258027965025,0.00446696032418629
"269","Pde1c",2.28069429538838,0.00468428981347843
"270","Efna4",2.89333723496811,0.00498177983198257
"271","Ptch2",2.66489330167243,0.00527659097658095
"272","Il1rl1",3.09769732074772,0.00536945642456588
"273","Sdc4",1.597701661436,0.00540192611421571
"274","Anpep",3.05445149379778,0.00564741291547421
"275","Ptprr",4.32188284354611,0.00601133735001717
"276","Rrbp1",1.31519244782787,0.00687590544735948
"277","Cd40",0.829113433725844,0.00701002086191608
"278","Icos",0.898359374978541,0.00796302443797263
"279","Alox5",3.6673183940924,0.00810355600440047
"280","Selenos",0.705093563762069,0.00874657736687649
"281","Bdkrb1",2.2633141151472,0.0087506288450001
"282","Plaur",1.99253367091563,0.00944218554987692
"283","Plxnb3",2.5533406772425,0.00989663383362147
"284","Fgfr3",2.4357956178832,0.00989718521280022
"285","Scarb1",1.70732210318264,0.0102072750080112
"286","Itga11",3.94343641465274,0.0106903259235358
"287","Il11ra1",1.43312970129509,0.0110284000735467
"288","Colec12",3.75096280972203,0.0110741780904173
"289","Ptprd",3.06259485032433,0.0136003114459389
"290","Gabra1",5.65438828222944,0.0136126880826425
"291","Il12rb2",2.3038910099806,0.0152324606671346
"292","Robo3",2.30518879524961,0.0167287444617819
"293","P2ry13",1.96905117909351,0.0183792071642104
"294","Acvr2a",1.28063127385751,0.0197390184019135
"295","Vtn",4.2786116551639,0.0213081753764356
"296","Mpz",3.38673822717454,0.021355822558423
"297","Epor",2.3228497640658,0.0214359591176432
"298","Ret",2.19213531286375,0.0231493538631369
"299","Il10ra",0.731830874146003,0.0232428958488089
"300","Fzd8",2.95555752788378,0.0248725120934218
"301","Adipor1",0.469745149580653,0.0251493869336078
"302","Cdhr2",2.81053506606441,0.0261356475165204
"303","Tnfrsf21",1.336485317892,0.0281727048116861
"304","Npffr1",4.86359981691808,0.0282413985081784
"305","Sorcs3",4.76429254023123,0.029477670436488
"306","Gpr4",2.10212769051088,0.0305085968080308
"307","Icam1",1.11319009898787,0.0307221065623132
"308","Acvr2b",1.79236458613057,0.0338249411397521
"309","Tnfrsf19",1.60563171986814,0.0339721579943363
"310","Adgrl3",2.68305715904969,0.035028195434823
"311","Il1rap",0.858535693874828,0.0372861286930463
"312","Itga2",1.41328786997813,0.0377244934473727
"313","Drd1",3.88500830667833,0.0400068482495355
"314","Epha2",1.91402546078624,0.0428762470375357
"315","Scara3",3.07394764040723,0.0431156094590096
"316","Npr3",3.74594625052473,0.0446292801848837
