"","Input-node Gene Symbol","Input-node GeneID","Output-node Gene Symbol","Output-node GeneID","Edge direction score"
"8453","Ywhae",22627,"Adprs",100206,0.415905441534009
"8454","Ywhae",22627,"Ppp1r17",19051,0.415905441534009
"8455","Ywhae",22627,"Mdp1",67881,0.415905441534009
"8456","Ywhae",22627,"Sars2",71984,0.415905441534009
"8457","Ywhae",22627,"Haghl",68977,0.415905441534009
"8458","Ywhae",22627,"Lyrm7",75530,0.415905441534009
"8459","Ywhae",22627,"Wfdc2",67701,0.415905441534009
"8460","Ywhae",22627,"Sugp2",234373,0.415905441534009
"8461","Ywhae",22627,"Mcm3ap",54387,0.415905441534009
"8462","Ywhae",22627,"Tpbpa",21984,0.415905441534009
"8463","Ywhae",22627,"1700019D03Rik",67080,0.415905441534009
"8464","Ywhae",22627,"Psg21",72242,0.415905441534009
"8465","Ywhae",22627,"Mrpl42",67270,0.415905441534009
"8466","Ywhae",22627,"Flywch1",224613,0.415905441534009
"8467","Ywhae",22627,"Rftn2",74013,0.415905441534009
"8468","Ywhae",22627,"Fdx2",68165,0.415905441534009
"8469","Ywhae",22627,"Srek1",218543,0.415905441534009
"8470","Ywhae",22627,"Arhgef10",234094,0.415905441534009
"8471","Ywhae",22627,"Nol7",70078,0.415905441534009
"8472","Ywhae",22627,"Sult1c2",69083,0.415905441534009
"8473","Ywhae",22627,"Me3",109264,0.415905441534009
"8474","Ywhae",22627,"Mettl2",52686,0.415905441534009
"8475","Ywhae",22627,"Poglut3",68304,0.415905441534009
"8476","Ywhae",22627,"Aspn",66695,0.415905441534009
"8477","Ywhae",22627,"Gpc5",103978,0.415905441534009
"8478","Ywhae",22627,"Cnn1",12797,0.415905441534009
"8479","Ywhae",22627,"Miox",56727,0.415905441534009
"8480","Ywhae",22627,"Nudt3",56409,0.415905441534009
"8481","Ywhae",22627,"Riox2",67014,0.415905441534009
"8482","Ywhae",22627,"Agbl2",271813,0.415905441534009
"8483","Ywhae",22627,"Ppwd1",238831,0.415905441534009
"8484","Ywhae",22627,"Bola3",78653,0.415905441534009
"8485","Ywhae",22627,"Pcsk1n",30052,0.415905441534009
"8486","Ywhae",22627,"Tmtc3",237500,0.415905441534009
"8487","Ywhae",22627,"Kansl2",69612,0.415905441534009
"8488","Ywhae",22627,"Slc15a3",65221,0.415905441534009
"8489","Ywhae",22627,"Exosc8",69639,0.415905441534009
"8490","Ywhae",22627,"Adh7",11529,0.415905441534009
"8491","Ywhae",22627,NA,242481,0.415905441534009
"8492","Ywhae",22627,"She",214547,0.415905441534009
"8493","Ywhae",22627,"Dpp7",83768,0.415905441534009
"8494","Ywhae",22627,"Ndrg4",234593,0.415905441534009
"8495","Ywhae",22627,"Armc1",74252,0.415905441534009
"8496","Ywhae",22627,"Enpp4",224794,0.415905441534009
"8497","Ywhae",22627,"Ptgfrn",19221,0.415905441534009
"8498","Ywhae",22627,"Itgax",16411,0.415905441534009
"8499","Ywhae",22627,"Ptcd1",71799,0.415905441534009
"8500","Ywhae",22627,"Golim4",73124,0.415905441534009
"8501","Ywhae",22627,"Cndp1",338403,0.415905441534009
"8502","Ywhae",22627,"Tmt1a",70152,0.415905441534009
"8503","Ywhae",22627,"Kdsr",70750,0.415905441534009
"8504","Ywhae",22627,"Tpbpb",116913,0.415905441534009
"8505","Ywhae",22627,"Fnbp1l",214459,0.415905441534009
"8506","Ywhae",22627,"Celf3",78784,0.415905441534009
"8507","Ywhae",22627,"Vwf",22371,0.415905441534009
"8508","Ywhae",22627,"Thtpa",105663,0.415905441534009
"8509","Ywhae",22627,"Ccnl2",56036,0.415905441534009
"8510","Ywhae",22627,"Cpne5",240058,0.415905441534009
"8511","Ywhae",22627,"Eipr1",380752,0.415905441534009
"8512","Ywhae",22627,"Alg5",66248,0.415905441534009
"8513","Ywhae",22627,"Taco1",70207,0.415905441534009
"8514","Ywhae",22627,"Mcts1",68995,0.479420336772738
"8515","Ywhae",22627,"Gpatch1",67471,0.415905441534009
"8516","Ywhae",22627,"Btbd17",72014,0.415905441534009
"8517","Ywhae",22627,"Eif4e3",66892,0.415905441534009
"8518","Ywhae",22627,"Txndc17",52700,0.415905441534009
"8519","Ywhae",22627,"Rab5if",67388,0.415905441534009
"8520","Ywhae",22627,"Tysnd1",71767,0.415905441534009
"8521","Ywhae",22627,"Fmo2",55990,0.415905441534009
"8522","Ywhae",22627,"Otud6b",72201,0.415905441534009
"8523","Ywhae",22627,"Serpinb9d",20726,0.415905441534009
"8524","Ywhae",22627,"Ifi30",65972,0.415905441534009
"8525","Ywhae",22627,"Cc2d1b",319965,0.415905441534009
"8526","Ywhae",22627,"Dguok",27369,0.415905441534009
"8527","Ywhae",22627,"Ovca2",246257,0.415905441534009
"8528","Ywhae",22627,"Pir",69656,0.415905441534009
"8529","Hsd3b4",15495,"Ctnna1",12385,0.415905441534009
"8530","Hsd3b4",15495,"Vcl",22330,0.415905441534009
"8531","Hsd3b4",15495,"Atp1a1",11928,0.415905441534009
"8532","Hsd3b4",15495,"Uqcrc1",22273,0.415905441534009
"8533","Hsd3b4",15495,"Ppp1ca",19045,0.415905441534009
"8534","Hsd3b4",15495,"Sod2",20656,0.415905441534009
"8535","Hsd3b4",15495,"Rack1",14694,0.415905441534009
"8536","Hsd3b4",15495,"Dab2",13132,0.415905441534009
"8537","Hsd3b4",15495,"Actb",11461,0.415905441534009
"8538","Hsd3b4",15495,"Atp5f1b",11947,0.415905441534009
"8539","Hsd3b4",15495,"Afg3l2",69597,0.415905441534009
"8540","Hsd3b4",15495,"Atp1b1",11931,0.415905441534009
"8541","Hsd3b4",15495,"Vdac1",22333,0.415905441534009
"8542","Hsd3b4",15495,"Slc3a1",20532,0.415905441534009
"8543","Hsd3b4",15495,"Ezr",22350,0.415905441534009
"8544","Hsd3b4",15495,"Cox8a",12868,0.415905441534009
"8545","Hsd3b4",15495,"Ahsg",11625,0.415905441534009
"8546","Hsd3b4",15495,"Prdx1",18477,0.415905441534009
"8547","Hsd3b4",15495,"Hspd1",15510,0.415905441534009
"8548","Hsd3b4",15495,"Rab1b",76308,0.415905441534009
"8549","Hsd3b4",15495,"Rab1a",19324,0.415905441534009
"8550","Hsd3b4",15495,"Ganab",14376,0.415905441534009
"8551","Hsd3b4",15495,"Acaa2",52538,0.415905441534009
"8552","Hsd3b4",15495,"Hsp90b1",22027,0.415905441534009
"8553","Hsd3b4",15495,"Myo18a",360013,0.415905441534009
"8554","Hsd3b4",15495,"Cltc",67300,0.415905441534009
"8555","Hsd3b4",15495,"Hyou1",12282,0.415905441534009
"8556","Hsd3b4",15495,"Hsp90ab1",15516,0.415905441534009
"8557","Hsd3b4",15495,"Tomm70a",28185,0.415905441534009
"8558","Hsd3b4",15495,"Dlst",78920,0.415905441534009
"8559","Hsd3b4",15495,"Pdha1",18597,0.415905441534009
"8560","Hsd3b4",15495,"Atad1",67979,0.415905441534009
"8561","Hsd3b4",15495,"Rtn3",20168,0.415905441534009
"8562","Hsd3b4",15495,"Hsd17b10",15108,0.415905441534009
"8563","Hsd3b4",15495,"Themis",210757,0.415905441534009
"8564","Hsd3b4",15495,"Rps20",67427,0.415905441534009
"8565","Hsd3b4",15495,"Actn1",109711,0.415905441534009
"8566","Hsd3b4",15495,"Pxn",19303,0.415905441534009
"8567","Hsd3b4",15495,"Cttn",13043,0.415905441534009
"8568","Hsd3b4",15495,"Hspa1b",15511,0.415905441534009
"8569","Hsd3b4",15495,"Hspa8",15481,0.415905441534009
"8570","Hsd3b4",15495,"Eif4a1",13681,0.415905441534009
"8571","Hsd3b4",15495,"Actr3",74117,0.415905441534009
"8572","Hsd3b4",15495,"H2az1",51788,0.415905441534009
"8573","Hsd3b4",15495,"Apoa1",11806,0.415905441534009
"8574","Hsd3b4",15495,"Ttr",22139,0.415905441534009
"8575","Hsd3b4",15495,"Sptbn1",20742,0.415905441534009
"8576","Hsd3b4",15495,"Eif3b",27979,0.415905441534009
"8577","Hsd3b4",15495,"Anpep",16790,0.415905441534009
"8578","Hsd3b4",15495,"Plg",18815,0.415905441534009
"8579","Hsd3b4",15495,"Sod1",20655,0.415905441534009
"8580","Hsd3b4",15495,"Atp6v1a",11964,0.415905441534009
"8581","Hsd3b4",15495,"Fgb",110135,0.415905441534009
"8582","Hsd3b4",15495,"Ctsd",13033,0.415905441534009
"8583","Hsd3b4",15495,"H3f3a",15078,0.415905441534009
"8584","Hsd3b4",15495,"Nherf2",65962,0.415905441534009
"8585","Hsd3b4",15495,"Acta2",11475,0.415905441534009
"8586","Hsd3b4",15495,"Tkfc",225913,0.415905441534009
"8587","Hsd3b4",15495,"Isg15",100038882,0.415905441534009
"8588","Hsd3b4",15495,"Eef1a1",13627,0.415905441534009
"8589","Hsd3b4",15495,"Eef2",13629,0.415905441534009
"8590","Hsd3b4",15495,"Vcp",269523,0.415905441534009
"8591","Hsd3b4",15495,"Acly",104112,0.415905441534009
