"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Hk1",198.517167063149,0.732659655367041,0.186061483547475,3.93772876254692,8.22564989239392e-05,0.000565352853813251
"B4gat1",22.2669406905475,-1.39596944057043,0.354574090341045,-3.93703171945735,8.24957060634661e-05,0.000566711438984828
"Adss",92.896921789086,-1.00505437207613,0.255335832239684,-3.93620575404662,8.27800071089819e-05,0.000568378277296346
"Fbxl5",145.88813295769,1.24877261736902,0.317346642426825,3.93504279049358,8.31818745758658e-05,0.000570850258973107
"Hibch",13.398240509002,-2.35925511167518,0.599866257944791,-3.93296852494796,8.3903227622702e-05,0.000575511178711173
"Twnk",19.452089011557,-1.96090371522763,0.498638374323685,-3.93251666177368,8.406115121434e-05,0.000576304666340322
"Oxld1",25.6300029534993,-1.71397105004738,0.435944273522268,-3.93162877493293,8.43722811963462e-05,0.000578147178484054
"Ssh2",85.0373332654207,-1.36431272925334,0.347099287602727,-3.93061230023285,8.47298064329653e-05,0.000580305596970354
"Dnajb11",269.452512294015,0.564070515984457,0.143535427020558,3.92983479892855,8.50042432437625e-05,0.000581893071035952
"Tmem181a",61.0108847724426,-1.09645127232226,0.279110631475579,-3.92837516265731,8.55217252672696e-05,0.000585141874534282
"Sfswap",170.718380907433,0.635978780291675,0.162004322776418,3.92569018772041,8.64814073969177e-05,0.000591411449181027
"Crtc2",216.982989307572,0.715210946947639,0.182301866165102,3.92322339860145,8.73720646253648e-05,0.000597202944731389
"Pbxip1",224.245192875188,-0.866241794844676,0.220903760430392,-3.92135377486085,8.80528755500173e-05,0.000601555023099091
"Vdr",30.9080665339476,-2.27479538908498,0.580146633920546,-3.92106970217553,8.81567562749326e-05,0.000601963276205658
"Coq10b",91.7768145879456,0.78050345697463,0.199061101527777,3.92092403279362,8.82100700780544e-05,0.000602026006040468
"Surf1",146.035638684133,-0.704254943074185,0.179720715576193,-3.91860749505872,8.90620085519938e-05,0.000607536491337426
"Dcun1d5",221.082680395455,0.712463001056727,0.181856881347409,3.91771263082247,8.93931836661345e-05,0.000609490856950062
"Apaf1",115.10308892666,1.06638773560566,0.272279120300491,3.91652409640804,8.98348403627869e-05,0.000612196167367383
"Slamf9",45.0978372357625,1.27514792404362,0.325620233367736,3.91605862711714,9.00083687437541e-05,0.000613072478667518
"Nans",62.7020195451913,-1.39239733474214,0.355615260606757,-3.9154600181286,9.02319974723743e-05,0.000614288992772257
"Rab11fip4",9.89103173922402,-3.31850361876857,0.847953399071269,-3.91354480376304,9.09510154696483e-05,0.000618875164115916
"Trim13",8.49490626713971,2.51008469995632,0.64155086274518,3.91252641951994,9.13355421863167e-05,0.000621181855457587
"Elp2",109.787654942861,-0.935728224759588,0.239170531006601,-3.91238929320168,9.13874361891271e-05,0.00062122510808583
"5830432E09Rik",22.5940415721498,1.68799783177202,0.431510096887117,3.91183855012691,9.1596139744659e-05,0.000622333732338836
"Ccne1",34.5905177855565,1.51714350313739,0.387873684501906,3.91143705736484,9.17485686624524e-05,0.000623059095202508
"Nudt16l1",89.1701022904494,-0.855830207154893,0.218820028451852,-3.91111459590731,9.1871166368176e-05,0.000623581255104988
"Acad12",10.1302007664764,-2.24097805279226,0.57319818316822,-3.9096042496258,9.24474523917037e-05,0.000627180802078575
"Psme2b",168.516069950974,1.30477728500348,0.333768520724777,3.90922811465313,9.25915001092859e-05,0.000627845842937866
"Frat1",7.28564819523824,-4.6583024593102,1.19248283770285,-3.90638951943639,9.36854480646808e-05,0.000634948121185514
"Bri3bp",46.8757662292699,-1.08034267091949,0.2768503258537,-3.90226259473645,9.52976897459738e-05,0.000645554310429156
"Bcas3",51.0128994736848,-1.09242256293082,0.280140384940896,-3.89955401525309,9.63700368398592e-05,0.000652099279027837
"Cd247",80.4837257635753,2.20469717281843,0.565385177872515,3.89946050781606,9.6407259825489e-05,0.000652099279027837
"Psen2",193.384663799861,-0.967931889848848,0.248214281539816,-3.89958178008215,9.63589869649178e-05,0.000652099279027837
"Cpd",56.7843302139632,1.7618378740876,0.452010609514409,3.89777991268904,9.70785819428057e-05,0.000656314714294201
"Elp5",140.210996774729,0.842962724195704,0.216298367445295,3.89722185216631,9.73024764445122e-05,0.000657502568663933
"Stx11",9.09696237293409,5.12517712899706,1.31635186178585,3.89347049051453,9.88202283358811e-05,0.000667427908508132
"Cep44",33.0443274733513,-1.37030144309259,0.351973879182209,-3.89319072846089,9.89343074040675e-05,0.000667867766409546
"Pcmtd2",42.526171577427,-1.31617444706146,0.338132335825512,-3.89248323100531,9.92233599175978e-05,0.000669487784053307
"Cbfa2t3",59.7227806722834,-2.54376508179726,0.654472797420192,-3.88673920722802,0.000101599804750854,0.000685183458337076
"Emp2",32.408574645127,-1.52338601530436,0.391982854687989,-3.88635879627169,0.000101759072154295,0.000685918488834511
"Aktip",34.5520552270096,-1.0682063963698,0.27496529966387,-3.88487710149469,0.000102381665534114,0.000689774352040453
"Snta1",9.54048866489871,-2.70969744584437,0.697592448302652,-3.88435604834524,0.000102601460067216,0.000690913978132787
"Abhd14b",21.61741301954,-1.46382278449833,0.37689050274801,-3.88394712476225,0.000102774267099346,0.000691736223994264
