"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Ttc14",77.1011572823889,-1.57069229483211,0.232611025476322,-6.75244129815331,1.45377890068101e-11,1.2170228110074e-10
"Pcgf6",29.714838837615,-2.6515294359326,0.392967354028927,-6.74745474082669,1.50461147944768e-11,1.25891373338305e-10
"Mapk1ip1l",102.23477967163,1.42162826945638,0.21070150232126,6.74711975849513,1.50808797504306e-11,1.26115841239258e-10
"Smyd2",61.0855026475133,1.50638907689822,0.223504408318973,6.73986293258424,1.58536116180447e-11,1.32508172014262e-10
"Snhg12",104.577632778815,-2.42464256899288,0.359806309124794,-6.73874389498803,1.59761710236498e-11,1.33462345633424e-10
"Lhx2",12.8949451790223,7.20797766627993,1.0699100381788,6.73699414817097,1.61696689996842e-11,1.35007814364678e-10
"Ccny",146.444554497922,1.31495049898646,0.195194780300478,6.73660687525688,1.6212805255391e-11,1.35296881671695e-10
"Atp5mc3",1713.04839907353,1.03811500570861,0.154144939595555,6.73466808856916,1.64304562694657e-11,1.37041217672199e-10
"Bpgm",387.065790870555,-5.21333431989758,0.77423517034362,-6.73352815732177,1.65597596397418e-11,1.38047230281142e-10
"Supt20",136.344950658328,-1.1415471572853,0.169536813832676,-6.7333290715959,1.65824440886539e-11,1.38163845896498e-10
"Plcl2",269.215478469299,1.06725699350822,0.15857796392365,6.73017213174758,1.69462491725914e-11,1.4112104460341e-10
"Snx20",503.758670410558,0.775480526558826,0.115299700988192,6.72578089893093,1.74653205199283e-11,1.4536745821956e-10
"Rgs1",566.249386207133,2.23173103979988,0.331950658967535,6.72308061306828,1.77922081077413e-11,1.48010677813561e-10
"Tbxas1",285.170928141749,1.62702103301424,0.242038189715914,6.72216659248657,1.79042076808595e-11,1.48864445756764e-10
"Sec23b",192.82708556598,1.15617402495456,0.172035528487964,6.7205538013937,1.81035172776811e-11,1.50442879720228e-10
"Tnfsf9",93.982849239964,2.35483880440288,0.35043464986139,6.71976588312344,1.82016769871277e-11,1.51179532487439e-10
"Ehd1",638.580449101785,1.59769135751535,0.237909960274259,6.71552950399198,1.87384505951685e-11,1.55556552511302e-10
"Cd37",381.852928949329,-1.94437411070225,0.289598156461218,-6.7140417413625,1.89306117274354e-11,1.5706970743458e-10
"Cdk19",39.4457169309865,-1.84252814647388,0.27445635559117,-6.71337394430212,1.90174913167699e-11,1.57708204348724e-10
"Emp2",32.408574645127,5.16542450150349,0.769546072296406,6.71230052034354,1.91579612581683e-11,1.58790217230588e-10
"Hbb-bs",26925.2333304115,-6.10026828001731,0.9088373021114,-6.71216758582117,1.91754278185739e-11,1.58852123362524e-10
"Sel1l",350.964259447078,0.942633072051943,0.140439268683475,6.71203347104057,1.91930652560177e-11,1.58915379808684e-10
"Gpr183",24.3777439859265,-4.12327168811709,0.614555965608628,-6.70935100928292,1.95491905909447e-11,1.61779734010167e-10
"Ugdh",133.858565803369,0.953901380731413,0.142239685958488,6.70629560451787,1.99627132017631e-11,1.65115851151907e-10
"Ccdc93",45.7559663059081,1.64614646209087,0.245485789312147,6.70566906012517,2.00485626631027e-11,1.65739652525515e-10
"Ptprj",53.5852802431881,2.49160064322908,0.37173424958713,6.70263944201105,2.04688089914537e-11,1.69125796185756e-10
"Peds1",578.771389627408,1.30665171742619,0.194960595837173,6.70213235559394,2.05399858698222e-11,1.69625694119338e-10
"Rhoj",45.7976738268626,3.75877357304523,0.560957010000909,6.70064462344297,2.07502118152801e-11,1.71272787289862e-10
"C1galt1c1",74.3754456984943,1.4717499433645,0.219685742946459,6.69934208576837,2.09359971344535e-11,1.72716541261335e-10
"Cgrrf1",97.6557460595594,1.29849624154775,0.194004400080822,6.69312778992022,2.18450211840863e-11,1.80122232275011e-10
"Gm8369",48.1767600133462,-4.18056220340432,0.624740442473922,-6.69167852628466,2.20625125537477e-11,1.81815107524865e-10
"Vim",8445.42941902619,1.51509046231994,0.226416514846434,6.69160755940239,2.20732168428136e-11,1.81815107524865e-10
"Mfsd14b",196.755321877612,1.16087859929138,0.173648590092707,6.68521753428354,2.30581868304755e-11,1.89829808574832e-10
"Abhd5",138.589812977843,1.18794225855777,0.177711401251875,6.68467104636732,2.31443934650327e-11,1.90440842965254e-10
"Gpcpd1",88.774912470118,-3.28467856985117,0.491402831895329,-6.68428905300004,2.32048389103475e-11,1.90839381701093e-10
"Kpna6",143.256943872957,1.23429972863034,0.184660437739311,6.68415900959158,2.32254518160643e-11,1.90910089966604e-10
"Ap2m1",310.469994676033,1.11952550489685,0.167534932455763,6.6823407422357,2.35155459215029e-11,1.93194678979711e-10
"Fzd5",32.3887865481779,2.51830732841204,0.376875904353003,6.6820597956118,2.35606845826806e-11,1.93465486994425e-10
"Pacs1",74.4145095461845,-1.57746396374524,0.236163008026461,-6.6795556887914,2.39667755660754e-11,1.96698397194923e-10
"Eci2",154.617326607991,1.05722525382736,0.158283141729059,6.67932947424727,2.40037964371494e-11,1.96900527408295e-10
