"","T_PimedMoDC_1","T_PimedMoDC_4","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_1","T_PimedCD11c_4","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_2","T_PCD11_LMoDC_1","T_PCD11_LMoDC_4"
"Thap11",-0.71,-0.95,-0.66,-0.59,-1.51,-1.24,-1.23,0.16,1.06,0.29,1.51,0.25,1.21,0.26,0.91,1.24
"E2f6",-1.28,-1.23,-1.07,-0.6,-0.94,-0.07,-1.52,-0.28,0.81,0.7,1.27,0.34,1.4,0.57,1.19,0.71
"Tfeb",-1.54,-0.61,-1.25,-1.17,-0.67,-0.78,-0.18,0.46,0.94,0.23,1.04,0.1,2.23,0.3,0.96,-0.05
"Bcl6b",-0.62,-0.72,-1.49,-1.02,-0.8,-1.28,0.09,-0.51,0.78,0.65,1.83,0.04,1.58,0.7,0.92,-0.14
"Zfp335",-1.85,-0.78,-1.04,-1.19,-0.99,-0.34,-0.16,-0.62,1.09,0.84,0.98,1.07,0.51,0.17,1.24,1.07
"Mbd3",-0.99,-1.32,-1.16,-1.32,-1.11,-0.27,0.19,-0.82,1.01,0.57,1.22,1.23,1.15,-0.1,1.03,0.7
"Cenpt",-1.11,-1.28,-1.18,-1.34,-0.54,-0.38,-0.64,-0.72,1.37,0.52,0.55,1.22,1.42,0.48,1.01,0.63
"Msantd3",-0.94,-1.57,-0.23,-1.63,0.16,-0.19,-0.78,-0.7,1.11,-0.9,1.24,1.16,0.68,0.56,0.98,1.05
"Tfec",-1.07,-1.7,-0.37,-1.46,-0.08,-0.56,-0.7,-0.45,1.45,0.51,0.93,1.69,1.14,0.46,-0.06,0.27
"Spi1",-1.16,-1.4,-0.94,-1.37,-0.16,-0.65,-0.84,-0.34,0.72,0.36,0.38,1.5,1.46,1.19,0.25,1
"Cebpb",-1.07,-1.25,-0.72,-1.07,-0.24,-0.77,-1.01,-0.98,0.94,0.34,0.5,1.64,0.85,1.49,0.37,0.99
"Maz",-0.52,-0.71,-1.62,-1.1,-0.39,-0.4,-1.17,0.39,1.09,-0.48,1.41,1.11,1.58,-0.38,0.05,1.12
"Preb",-1.05,-0.79,-0.76,-0.94,-0.36,-0.57,-1.12,-0.47,0.24,0.25,0.19,0.64,2.71,0.05,1.17,0.79
"Zfp646",-0.99,-1.4,-0.61,-1.48,-0.36,0,-1.02,0.21,1.34,0.38,0.02,1.5,1.54,-0.46,1.21,0.11
"E2f4",-1.49,-1.31,-0.92,-1.09,0.03,1.3,-0.34,-0.51,-1.1,0.48,1.47,0.53,0.06,0.52,1.16,1.2
"Zfp553",-0.81,-0.35,-0.51,-1.15,-1.22,-0.81,-0.7,-0.25,-1.08,0.97,1.57,0.04,1.6,0.44,1.29,0.97
"Rxrb",-0.74,-0.43,-0.45,-1.01,-1.2,-0.23,-0.97,-0.98,-0.96,0.44,1.82,1.51,0.73,0.44,1.29,0.75
"Zbtb17",-0.61,-0.79,-0.65,-0.9,-1.72,-0.35,-1.4,-0.53,0.04,0.48,1.13,1.05,1.07,0.59,1.13,1.45
"Zbtb48",-0.54,-0.9,-0.71,-0.65,-1.36,-0.21,-1.63,-0.84,0.16,0.95,1.9,1.07,0.94,0.51,0.67,0.67
"Stat6",-1.53,-0.76,-0.47,0.03,-0.54,-0.66,-0.58,-0.58,0.18,-0.05,-1.21,0.64,1.48,0.62,1.91,1.53
"Zfta",-0.34,-0.9,-0.02,-1.22,-1.35,-0.55,0.38,-1.17,-0.06,0.39,-0.3,0.03,0.61,0.79,2.47,1.27
"Zbtb7b",-0.6,-0.4,-0.35,-0.92,-1.04,-1.07,-1.09,-1.44,1.09,-0.12,0.77,1.59,0.52,1.44,0.92,0.7
"Zbtb7a",-0.44,-0.92,-0.64,-1.23,-0.87,-1.64,-0.97,-0.36,0.45,0.75,0.66,1.46,0.42,1.55,0.75,1.02
"Thap4",-0.99,-1.19,-0.8,-0.58,-1.15,-0.62,-1.22,-0.84,0.95,0.32,0.94,1.32,0.53,1.41,0.96,0.93
"Fbxl19",-0.82,-0.98,-1.11,-0.84,-1.04,-1.08,-0.7,-1.06,1.17,0.9,0.47,1.04,0.86,1,1.05,1.12
"Erf",-0.58,-0.56,-1.25,-1.52,-0.13,-0.66,-0.8,-0.72,0.67,-0.53,-0.09,0.72,1.13,1.76,1.28,1.26
"Hic2",-1.14,-1.23,-0.79,-0.9,0.51,-0.16,-1.54,-1.15,0.24,0.3,0.38,1.23,0.82,1.51,1.21,0.73
"Pbx2",-1.15,-0.79,-0.01,-0.94,-1.21,-1.06,-0.06,-1.02,0.06,-0.45,1.36,0.63,1.15,0.51,1.35,1.63
