"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Itgad",0.48,-0.79,1.68,1.05,-1.08,-0.54,-1.03,-0.78,0.63,1.1,-0.72
"Sell",1.38,-0.02,1.35,0.48,-1.6,-0.12,-0.74,-0.73,0.53,0.73,-1.25
"Cd3g",1.88,-0.88,0.85,0.61,-1,-0.21,-1.15,-0.96,0.37,0.97,-0.48
"Jam2",1.39,-0.77,0.07,2.31,-0.24,-0.37,-0.7,-0.88,0.25,-0.35,-0.7
"Il2rb",1.39,-0.67,1.49,1.37,0.04,-0.74,-0.98,-1.04,-0.45,0.36,-0.77
"Cd8a",1.49,-0.79,1.24,1.22,-0.61,-0.69,-1.19,-0.68,-0.26,0.93,-0.68
"Il21r",2.21,0.02,0.29,0.75,-0.33,-0.49,-0.57,-0.12,0.76,-1.33,-1.2
"Il2ra",2.47,-0.13,0.29,-0.19,-0.54,-0.62,-0.74,-0.95,1.15,-0.52,-0.22
"Selp",1.59,0.1,1.15,0.03,-0.98,-0.96,-0.94,-0.67,0.03,-0.84,1.49
"Robo3",1.15,1.45,-0.06,0.65,-1.11,-1.1,-1.08,-1.1,0.41,-0.26,1.04
"Clstn1",1.5,1.05,0.74,0.71,-0.36,-0.4,-1.17,-1.43,-0.82,-0.67,0.85
"Il20rb",1.73,1.3,0.61,0.8,-0.57,-0.74,-1.46,-1,0.08,-0.33,-0.43
"Calm1",1.18,1.25,0.89,0.81,-0.56,-1.19,-1.04,-1.43,0.57,-0.62,0.14
