"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Prxl2b",-1.22,-1.68,-1.06,-0.48,0.17,0.94,1.24,1.17,-0.03,0.28,0.65
"Entrep3",-1.44,-1.3,-1.04,-0.82,0.35,1.33,0.87,1.06,0.06,0.08,0.84
"Tmem254",-1.24,-1.4,-1.23,-0.85,0.6,1.29,0.84,1.05,0.02,0.48,0.44
"Ndrg3",-1.42,-1.31,-1.2,-0.86,0.34,1.05,1.05,1.11,0.3,0.4,0.52
"Psrc1",-1.63,-1.14,-0.84,-0.93,0.34,1.21,1.26,1.04,0.42,0.22,0.06
"Rsph9",-1.95,-0.72,-1,-0.52,0.08,1.17,1.41,0.89,-0.03,0.24,0.43
"Fut7",-1.01,-1.2,-1.04,-1.05,-0.45,1.36,1.21,1.18,0.09,0.32,0.59
"Lrrc14b",-1.07,-1.2,-1,-1.25,-0.2,1.12,1.25,1.18,0.17,0.32,0.68
"Ropn1l",-1.24,-1.2,-0.84,-1.09,-0.17,1.08,1.06,1.55,0.07,0.2,0.57
"Inpp5j",-1.04,-1.17,-0.94,-1.22,-0.27,1.05,1.34,1.4,0.25,0.34,0.26
"Adam15",-0.54,-1.25,-1.05,-0.9,-0.11,0.98,1.65,1.45,-0.31,-0.39,0.44
"Pgp",-0.54,-1.68,-0.98,-1.08,0.11,1,1.08,1.52,-0.14,0.32,0.39
"Marchf9",-0.88,-1.19,-1.28,-0.65,0.05,1.18,1.21,1.5,-0.63,0.24,0.44
"Misp3",-0.95,-1.07,-1.1,-1.11,-0.01,1.31,1.09,1.43,-0.26,-0.05,0.73
"Sipa1",-0.78,-0.82,-1.5,-1.43,0.89,0.6,1.08,1.4,0.03,0.4,0.15
"Dynlt4",-1.02,-1.13,-1.16,-1.16,0.73,0.57,0.99,1.69,0.17,0.47,-0.16
"Nf2",-0.8,-0.73,-1.48,-1.08,0.28,0.61,1.25,1.76,-0.33,-0.02,0.52
"Gm20522",-0.67,-0.9,-1.46,-0.97,0.21,0.93,0.9,1.85,-0.27,0.64,-0.25
"Nuak1",-1.23,-0.79,-1.29,-0.87,0.37,1.47,1.1,1.38,-0.11,-0.11,0.09
"Slc13a2",-1.16,-1.29,-0.84,-0.85,0.31,1.37,1.11,1.49,-0.22,0.24,-0.16
"Mras",-1.01,-0.94,-1.43,-1.06,0.4,0.94,1.5,1.18,-0.1,0.49,0.04
"Tmem126b",-0.8,-0.93,-1.39,-1.15,0.35,1.32,1.27,1.23,-0.04,0.45,-0.3
