"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Med28",1.35,1.13,1.22,0.83,-0.21,-0.11,-0.98,-0.19,-0.85,-1.64,-0.54
"Gm43055",1.61,1.27,1.1,0.72,-0.07,-0.55,-0.92,-0.63,-0.91,-1.26,-0.35
"Med10",1.36,1.18,0.85,1.1,0.29,-0.34,-1.1,-0.52,-0.97,-1.41,-0.44
"Pla1a",1.57,1.21,0.78,1.21,-0.15,-0.81,-1.09,-0.63,-0.28,-1.03,-0.77
"Mgat4a",1.43,1.15,1.06,1.23,-0.1,-0.77,-0.97,-0.61,-0.47,-0.99,-0.95
"Ndel1",1.48,1.45,0.95,1,-0.15,-0.68,-0.95,-0.81,-0.67,-0.93,-0.69
"Samd4b",1.31,1.38,1.08,1.13,-0.26,-0.86,-0.85,-0.58,-0.46,-1.16,-0.73
"Abtb2",1.21,1.27,1.31,1.02,-0.07,-0.49,-1.24,-0.65,-0.58,-0.91,-0.87
"Hdac1",1.24,1.38,1.17,0.86,-0.06,-0.36,-0.97,-0.49,-0.34,-1.46,-0.95
"Oas1b",1.41,1.03,1.07,1.31,-0.36,-0.25,-0.64,-0.66,-0.62,-1.34,-0.95
"Tlr2",1.54,1.02,1.01,1.14,-0.22,-0.25,-0.61,-0.54,-0.54,-1.3,-1.23
"Car13",1.34,1.06,1.22,1.13,-0.01,-0.69,-0.5,-0.65,-0.57,-1.43,-0.89
"Slco3a1",1.25,1.21,1.23,1.21,-0.32,-0.62,-0.59,-0.47,-0.64,-1.07,-1.18
"Parp10",1.37,1.21,1.07,1.21,-0.15,-0.57,-0.64,-0.57,-0.75,-1.05,-1.12
"Tnip1",1.3,1.26,1.13,1.16,-0.22,-0.53,-0.51,-0.46,-0.92,-1.16,-1.05
"Sh3bp5",1.11,1.25,1.4,1.1,-0.23,-0.48,-0.61,-0.67,-0.65,-1.23,-1
"Marcksl1",1.27,1.19,1.23,1.06,0.12,-0.56,-0.67,-0.61,-0.73,-1.19,-1.1
"Parp8",1.23,1.09,1.38,1.15,-0.1,-0.48,-0.6,-0.69,-0.82,-1,-1.15
"Dnaja1",1.09,1.25,1.38,1.14,-0.33,-0.17,-0.69,-0.99,-0.67,-1.05,-0.95
"Lnpk",1.12,1.21,1.36,1.22,-0.17,-0.53,-0.91,-0.99,-0.64,-0.95,-0.71
"Ube2f",1.39,1.12,1.27,1.15,-0.27,-0.43,-0.86,-0.82,-0.83,-1.01,-0.71
"Bcl2a1a",1.33,1.17,1.14,1.3,-0.68,-0.18,-0.77,-0.79,-0.7,-0.92,-0.9
"Lacc1",1.45,1.03,1.16,1.29,-0.44,-0.35,-0.79,-0.9,-0.65,-0.76,-1.04
"Slc25a22",1.45,1.09,1.22,1.21,-0.53,-0.59,-0.7,-0.52,-0.85,-0.75,-1.03
"Mlkl",1.35,1.2,1.21,1.21,-0.41,-0.47,-0.89,-0.53,-0.83,-0.89,-0.94
"Mapkapk2",1.28,1.32,1.19,1.21,-0.47,-0.56,-0.68,-0.63,-0.94,-0.81,-0.91
"Hck",1.44,1.18,1.23,1.1,-0.42,-0.43,-0.68,-0.59,-0.99,-0.86,-0.97
"Slc7a8",1.32,1.28,1.29,1.09,-0.35,-0.68,-0.85,-0.69,-0.66,-0.95,-0.81
"Tut7",1.52,1.2,1.18,1.04,-0.48,-0.46,-0.75,-0.62,-0.67,-1.05,-0.91
"Col4a2",1.95,0.76,0.77,0.87,0.17,-1.02,-0.66,-0.47,-0.43,-1.46,-0.47
"Birc6",1.57,1.09,0.65,1.08,0.1,-0.53,-0.61,-1.19,-0.15,-1.57,-0.43
"Hspa1a",1.9,0.92,1.01,0.9,-0.45,-0.34,-0.54,-0.49,-0.81,-1.08,-1.03
"Tnip3",1.88,0.96,1.03,0.93,-0.49,-0.29,-0.87,-0.74,-0.69,-0.79,-0.94
"Mxd1",1.9,0.95,1.11,0.91,-0.68,-0.59,-0.84,-0.62,-0.63,-0.77,-0.74
"Surf4",1.87,0.97,0.97,1.05,-0.52,-0.55,-0.73,-0.64,-0.79,-0.93,-0.69
"Slfn4",1.8,1.03,0.99,0.84,-0.21,-0.37,-0.75,-0.8,-0.27,-1.02,-1.24
"Boc",2.24,0.77,0.67,0.78,-0.27,-0.45,-0.62,-0.77,-0.43,-0.8,-1.13
"Cish",1.24,0.94,1.02,1.52,-0.16,-0.64,-0.9,-1.02,-0.02,-0.97,-1.01
"Ccnl1",1.43,0.85,1.04,1.31,-0.05,-0.83,-1.02,-1.02,0.08,-0.81,-0.98
"Ccnl2",1.37,1.08,1.14,1.09,0.05,-0.93,-0.61,-0.93,-0.12,-1.15,-1
"Socs1",1.38,1.11,1.03,1.16,0.23,-0.85,-1.05,-0.96,-0.27,-0.84,-0.94
"Rab11fip1",1.25,1.13,1.22,1.05,0.13,-0.69,-1.1,-0.81,-0.07,-0.99,-1.12
"Rab20",1.48,0.96,1.07,0.88,0.28,-0.57,-0.84,-0.75,0.02,-1.47,-1.07
"Bdp1",1.59,0.91,0.93,1.06,0.34,-0.35,-1.18,-0.82,-0.35,-1.05,-1.07
"Epha4",1.4,1.14,1.13,1.13,0.02,-0.68,-0.75,-1.27,-0.47,-0.77,-0.87
"Six1",1.4,1.25,1.12,0.86,0.19,-0.55,-0.93,-1.24,-0.28,-0.84,-0.98
"Vcan",1.61,0.88,1.09,1.02,0.32,-0.79,-0.9,-0.98,-0.42,-1.06,-0.78
"Tma16",1.81,1.17,0.92,0.76,0.04,-0.85,-0.75,-0.85,-0.43,-1.09,-0.75
"Palld",1.75,1,1.03,0.99,-0.08,-0.85,-1.04,-0.86,-0.45,-0.75,-0.75
"Denr",1.66,0.66,1.13,1.2,0,-0.74,-1.25,-0.87,-0.41,-0.94,-0.45
"Rsrc2",1.78,0.81,0.9,1.22,-0.35,-0.94,-0.98,-0.68,-0.06,-0.82,-0.89
"Il1a",1.86,0.86,0.61,1.2,-0.1,-0.89,-0.86,-0.98,0,-0.97,-0.73
"Mtmr7",1.64,1.02,0.9,1.06,-0.16,-0.77,-0.88,-1.12,0.11,-1.04,-0.77
"Ammecr1l",1.58,1.34,0.46,1.07,-0.4,-0.45,-1.01,-0.82,0.29,-0.8,-1.26
"Cenpj",1.25,1.21,1.02,1.11,-0.49,-0.5,-0.81,-0.58,0.28,-1.12,-1.37
"Ass1",1.11,1.41,1.05,0.87,-0.14,-0.52,-1,-0.76,0.37,-1,-1.38
"Zfp131",1.42,0.76,1.09,1.33,-0.57,-0.52,-0.5,-1.16,0.23,-0.93,-1.15
"Usp32",1.63,0.95,1.3,0.92,-0.54,-0.33,-0.67,-1.09,-0.4,-0.65,-1.13
"Rasgrp1",1.46,1.04,1.2,1.24,-0.5,-0.51,-0.89,-0.78,-0.37,-0.93,-0.96
"Ccnd2",1.68,1.03,1.12,1.04,-0.32,-0.6,-0.78,-0.85,-0.39,-0.92,-1
"Tagap",1.67,1.1,1.15,0.83,-0.63,-0.52,-0.87,-0.39,-0.31,-0.66,-1.37
"1600014C10Rik",1.62,1.04,1.26,0.94,-0.7,-0.7,-0.49,-0.4,-0.49,-1.08,-1
"Apobec3",1.51,1.17,1.38,0.88,-0.83,-0.6,-0.66,-0.52,-0.55,-0.82,-0.96
"Apol9b",1.47,1.36,1.19,0.88,-0.85,-0.67,-0.77,-0.5,-0.26,-0.96,-0.88
"Casp3",1.39,1.11,1.28,1.03,-0.98,-0.45,-0.64,-0.59,-0.06,-0.98,-1.1
"Rexo4",1.55,1.05,1.28,0.9,-0.72,-0.74,-0.59,-0.45,-0.09,-1.09,-1.1
"2010016I18Rik",1.41,1.58,1.13,0.45,-0.8,-0.44,-0.65,-0.18,-0.18,-1.04,-1.28
"Rnaset2a",1.28,1.45,1.01,0.94,-0.9,-0.09,-0.59,-0.53,-0.2,-1.34,-1.04
"Tnfrsf1a",1.3,1.32,1.37,0.87,-0.8,-0.32,-0.74,-0.63,-0.37,-1.22,-0.79
"Igf2bp1",1.59,0.95,0.84,1.39,-0.86,-0.56,-0.49,-0.28,-0.44,-1.28,-0.86
"Hspa1b",1.67,1.16,0.91,1.03,-0.64,-0.37,-0.85,-0.5,-0.29,-1.3,-0.83
"Dnajb6",1.62,1.08,0.94,1.28,-0.74,-0.7,-0.92,-0.45,-0.43,-0.91,-0.78
"Bpifc",1.67,1.24,0.84,0.82,-0.32,-1.04,-0.17,-0.74,-0.09,-1.21,-1
"Stat3",1.61,1.14,1.13,0.93,-0.43,-0.97,-0.43,-0.48,-0.34,-1.06,-1.1
"Pnp2",0.98,1.27,1.34,1.17,-0.43,-0.62,-0.44,-0.41,-0.35,-1.44,-1.07
"Ikbke",1.09,1.34,1.22,1.15,-0.3,-0.65,-0.34,-0.47,-0.6,-1.27,-1.17
"Cgas",1.24,1.26,1.09,1.34,-0.52,-0.7,-0.53,-0.5,-0.54,-1.22,-0.91
"Oas1a",1.14,1.14,1.23,1.34,-0.74,-0.79,-0.4,-0.34,-0.32,-1.19,-1.06
"Sp140",1.17,1.16,1.31,1.24,-0.72,-0.66,-0.48,-0.6,-0.24,-1.21,-0.97
"Kmt5a",1.23,1.39,1.11,1.13,-0.53,-0.79,-0.78,-0.67,-0.08,-1.18,-0.82
"Mier3",1.18,1.27,1.24,1.2,-0.53,-0.58,-0.79,-0.91,-0.13,-0.95,-1.01
"Foxp4",1.2,1.31,1.14,1.2,-0.64,-0.72,-0.75,-0.67,0.01,-1,-1.07
"Ppfia3",1.08,1.32,1.28,1.15,-0.08,-0.83,-0.74,-0.61,-0.45,-0.97,-1.16
"Nod2",1.14,1.1,1.3,1.32,-0.33,-0.66,-0.68,-0.73,-0.23,-1.08,-1.14
"Gm5345",-0.75,1.34,0.94,0.71,0.89,-0.7,0.25,0.42,-0.12,-1.11,-1.86
"Ubap1",-0.26,1.5,1.1,0.89,0.59,-0.58,0.23,0.03,-0.48,-1.31,-1.73
"H2-Q5",-0.54,1.14,0.89,1.05,1.36,-0.52,-0.37,-0.19,0.06,-1.48,-1.41
"Acsl5",-0.52,1.34,1.35,1.05,0.88,-0.65,-0.31,-0.08,-0.62,-1.63,-0.81
"Stx11",0.46,1.26,1.01,0.83,1.32,-0.43,-0.85,-0.77,-0.33,-1.38,-1.12
"Rasa2",0.59,1.29,1.17,0.85,1.01,-0.8,-0.79,-0.83,-0.08,-1.37,-1.03
"Ankrd33b",0.54,1.36,1.24,1.22,0.54,-0.66,-0.98,-0.68,-0.32,-1.3,-0.95
"Polr2c",0.72,1.25,1.14,1.16,0.6,-0.52,-0.65,-0.5,-0.51,-1.51,-1.19
"Cdkn2b",0.84,1.51,0.73,1.02,0.89,-0.75,-1.12,-0.47,-0.51,-1.21,-0.94
"Pvr",1.34,1.14,0.69,0.86,1.04,-0.86,-0.93,-0.41,-0.77,-1.13,-0.98
"Med7",0.85,1.27,1.33,0.8,0.77,-0.39,-1.03,-0.75,-0.78,-1.29,-0.77
"App",0.93,1.26,0.96,0.77,1.12,-0.35,-0.75,-0.84,-0.76,-1.32,-1.01
"Ciao2b",1.04,1.11,0.73,0.96,1.07,-0.04,-0.73,-0.62,-1.18,-1.3,-1.04
"Cd38",1.18,0.87,1.12,0.93,0.94,-0.22,-0.84,-0.74,-0.82,-1.2,-1.2
"Cldnd1",1.05,1.01,1.16,1.05,0.79,-0.25,-1.03,-0.62,-0.97,-1.14,-1.03
"Dusp4",0.1,1,1.19,0.94,1.62,-0.82,-0.5,-0.78,-0.91,-0.77,-1.06
"Psmd5",0.47,1.39,1.12,0.97,0.96,-0.72,-0.25,-1.3,-0.84,-0.62,-1.18
"Osm",0.91,0.55,0.86,1.27,1.29,-1.12,-0.57,-0.69,-0.16,-1.15,-1.2
"Csrnp1",1.14,0.75,1.1,0.9,1.17,-0.82,-0.98,-0.7,-0.32,-1.11,-1.14
"Rbpms",0.77,1.18,1.14,0.95,1.09,-0.89,-0.67,-0.46,-1.09,-0.98,-1.02
"Ngdn",0.99,1.25,0.86,0.94,1.05,-0.87,-0.6,-0.45,-1.13,-1.13,-0.93
"Pdpn",0.95,1.16,1.24,1.04,0.56,-0.97,-0.55,-0.18,-0.92,-1.04,-1.28
"Lcor",1.07,1.3,0.69,1.18,0.69,-1.08,-0.33,-0.45,-0.97,-0.76,-1.34
"Orc4",0.27,1.01,0.75,1,1.25,0.34,-0.79,-0.31,-1.4,-0.46,-1.67
"Cbx1",0.42,1.07,0.59,1.75,0.79,-0.14,-0.93,-0.31,-1.25,-0.75,-1.24
"H2-Q4",0.17,0.75,1.26,1.48,1.01,-0.54,-0.77,-0.29,-0.48,-1.09,-1.49
"Cnih4",0.32,0.78,1.44,1.09,0.95,-0.33,-0.82,-0.09,-0.85,-0.75,-1.74
"Med1",0.32,1.19,1.58,1.18,0.23,-0.29,-0.84,-0.2,-1.22,-0.58,-1.37
"Rbm12b2",0.39,1.04,1.18,1.56,0.44,-0.27,-0.47,-0.35,-1.38,-0.8,-1.34
"Mllt11",0.06,1.32,1.16,1.46,0.69,-0.52,-0.78,-0.23,-1.06,-0.93,-1.17
"P4ha1",1.23,0.72,0.92,0.79,0.77,-0.33,0.05,-0.04,-1.59,-1.12,-1.4
"Luc7l",0.88,1.11,0.64,0.61,1.15,-0.6,0.22,-0.07,-1.59,-0.86,-1.48
"Itprip",0.73,1.06,0.76,0.28,1.51,-0.5,-0.11,0.13,-1.1,-1.63,-1.13
"Procr",0.76,0.9,0.79,0.77,1.53,-0.33,-0.59,-0.18,-1.46,-1.04,-1.15
"Adgrl2",1.02,0.79,0.67,0.52,1.74,-0.61,-0.37,-0.34,-1.19,-1.25,-0.99
"Dph3",0.78,0.98,0.83,1,1.34,-0.28,-1.21,-0.47,-1.39,-0.82,-0.77
"Tapt1",0.56,0.99,1.02,0.83,1.52,-0.5,-0.74,-0.6,-1.38,-0.6,-1.12
"M6pr",0.37,0.94,0.96,0.76,1.7,-0.51,-0.78,-0.41,-1.56,-0.88,-0.59
"Hcls1",0.83,1.13,1.02,0.56,0.99,-0.42,-0.37,0.05,-1.91,-0.92,-0.96
"Idnk",0.35,1.32,1.15,1.1,0.67,-0.59,-0.24,-0.2,-1.75,-0.98,-0.83
"Pdzd11",0.54,1.38,0.85,0.78,1.11,-0.64,-0.27,-0.43,-1.89,-0.68,-0.74
"Laptm4a",0.16,1.18,1.05,0.77,0.48,1.14,-0.58,-0.84,-0.6,-1.65,-1.11
"Fam174a",0.99,0.98,1.18,0.86,-0.29,0.53,-0.47,-0.44,-0.19,-1.89,-1.25
"Slc12a6",0.48,0.77,1.3,1.23,-0.2,0.84,-0.16,-0.68,-0.63,-1.5,-1.45
"Mosmo",0.2,0.76,0.99,1.45,-0.89,0.41,0.3,-0.42,0.33,-1.45,-1.69
"Intu",0.26,0.34,1.29,1.8,0.03,0.5,-0.73,-0.2,-0.54,-1.44,-1.31
"Rpe",0.17,0.48,1.45,1.43,0.1,0.33,-0.66,-0.02,-0.25,-1.07,-1.96
"Zbtb21",-0.61,1.38,1.41,1.11,-0.23,-0.06,-0.34,0.4,-0.54,-1.83,-0.71
"Il10ra",-0.13,1.68,1.45,0.51,-1.19,0.5,-0.14,0.11,-0.83,-1.47,-0.49
"H2ac25",-0.53,1.56,1.27,1.03,0.36,-0.06,0.24,-0.32,-0.94,-1.37,-1.25
"Cav2",-0.36,1.31,1.34,1.45,0.28,0.22,-0.38,-0.61,-1.29,-1.11,-0.86
"Tlr6",0.5,1.52,1.51,0.69,0.11,-0.04,-0.38,-0.67,-0.84,-0.69,-1.71
"Tgs1",0.35,1.69,1.06,1.28,0.01,-0.57,-0.61,-0.29,-0.43,-0.96,-1.54
"Cep350",0.23,1.64,1.51,1.19,-0.24,-0.7,-0.41,-0.66,-0.5,-0.85,-1.2
"Klhl8",-0.19,1.78,1.55,0.9,-0.06,-0.67,-0.14,-0.66,-0.37,-0.75,-1.4
"Btf3-ps1",1.24,0.81,0.68,0.91,0.44,0.26,-1.54,-0.17,0.04,-1.72,-0.96
"Epop",1.13,1.4,1.31,0.13,0.37,-0.12,-1.27,-0.35,-0.11,-1.22,-1.27
"Kdm1a",1.22,1.66,0.88,0.23,0.29,-0.36,-1.01,-0.71,0.26,-1.46,-1
"Uspl1",1.62,1,0.12,0.82,0.05,-0.61,-0.73,-0.14,0.71,-1.73,-1.12
"Hk2",1.94,0.61,0.83,0.56,-0.32,-0.9,-0.62,-0.23,0.55,-1.57,-0.85
"Pola2",1.49,0.88,0.83,0.59,-0.09,-1.01,-0.92,-0.31,0.9,-1.63,-0.73
"Ccdc88b",1.24,1.07,0.6,0.6,0.75,-0.67,-0.71,-0.52,0.62,-1.5,-1.47
"Rwdd1",1.15,0.62,0.73,1.07,0.74,-1.21,-0.67,-0.02,0.31,-1.8,-0.91
"Abhd15",0.98,1.21,0.62,0.94,-0.56,-1.12,0.37,0.41,0.11,-1.64,-1.33
"Ehmt2",1.39,1.01,0.75,0.78,-0.83,-1.43,-0.11,0.04,0.7,-1.13,-1.17
"Nudt13",0.78,1.17,0.52,1.41,-1.41,-0.31,0,-0.19,0.58,-1.36,-1.2
"H2-T24",1.46,1.19,0.82,1.02,-1.41,-0.76,-0.22,-0.32,0.14,-0.7,-1.23
"Gm49728",1.23,0.83,1.37,1.04,-1.38,-0.68,-0.05,-0.12,-0.03,-1.21,-1.01
"Prr5l",1.2,0.71,0.84,1.43,-1.68,-0.63,-0.13,0.1,0.16,-0.88,-1.13
"4933412E12Rik",0.96,1.28,1.31,1.24,-0.81,-0.54,-0.59,-0.2,-0.35,-0.96,-1.35
"Sass6",0.71,1.29,1.3,1.41,-0.79,-0.43,-0.49,-0.33,-0.39,-0.76,-1.51
"Dtx3l",1.02,1.28,1.27,1.29,-0.83,-0.55,-0.35,-0.7,-0.35,-0.78,-1.3
"Trim34a",1.05,1.25,1.27,1.21,-0.85,-0.48,-0.57,-0.72,0.04,-0.9,-1.29
"Gm46224",1.26,1.58,0.74,1.2,-0.8,-0.61,-0.21,-0.44,-0.55,-1.04,-1.14
"4933432I03Rik",0.81,1.45,0.99,1.39,-1.09,-0.67,-0.23,-0.06,-0.36,-1.03,-1.2
"Slfn1",0.85,1.3,1.26,1.19,-0.72,-0.44,-0.22,-0.04,-0.55,-1.28,-1.36
"Dhx58",1,1.23,1.34,1.16,-0.89,-0.45,-0.2,-0.12,-0.76,-1.1,-1.22
"Psmb8",1.03,1.24,1.34,1.21,-0.79,-0.52,-0.36,-0.22,-0.62,-1.25,-1.06
"Nsd3",1.12,1.15,1.5,1.18,-0.66,-0.67,-0.43,-0.45,-0.84,-0.83,-1.06
"Cflar",1.08,1.33,1.25,1.28,-0.51,-0.54,-0.5,-0.46,-0.93,-0.99,-0.99
"Pml",1.14,1.36,1.27,1.22,-0.58,-0.57,-0.61,-0.61,-0.76,-0.79,-1.07
"Plagl2",1.38,1.24,1.19,1.15,-0.47,-0.71,-0.58,-0.47,-0.95,-0.97,-0.81
"Gsdmd",1.34,1.24,1.32,1.06,-0.54,-0.62,-0.52,-0.45,-0.86,-1.03,-0.95
"Phf11a",1.31,1.23,1.3,1.09,-0.74,-0.65,-0.43,-0.31,-0.72,-1.08,-0.98
"Ddx24",1.17,1.29,1.24,1.19,-0.6,-0.8,-0.55,-0.1,-0.89,-1.04,-0.91
"Uba7",1.25,1.27,1.28,1.19,-0.99,-0.49,-0.63,-0.51,-0.66,-0.94,-0.76
"Oasl1",1.2,1.29,1.27,1.22,-0.82,-0.49,-0.65,-0.54,-0.52,-1,-0.96
"Ifi35",1.16,1.26,1.26,1.25,-0.94,-0.47,-0.52,-0.54,-0.49,-1.04,-0.95
"Tpst1",1,1.36,1.34,1.25,-1,-0.48,-0.56,-0.46,-0.73,-0.9,-0.84
"Ogfr",0.99,1.36,1.32,1.28,-0.84,-0.51,-0.46,-0.5,-0.82,-1.01,-0.81
"Slfn8",1.02,1.25,1.36,1.31,-0.88,-0.54,-0.44,-0.41,-0.77,-0.85,-1.05
"Pnp",1.18,1.32,1.28,1.15,-0.9,-0.49,-0.45,-0.35,-0.89,-0.89,-0.96
"Gm20559",1.19,1.3,1.25,1.17,-1.02,-0.4,-0.46,-0.39,-0.64,-1.03,-0.96
"Nlrc5",1.3,1.14,1.28,1.17,-1.1,-0.41,-0.53,-0.36,-0.63,-1.05,-0.82
"Tapbp",1.28,1.22,1.23,1.14,-1.14,-0.42,-0.41,-0.34,-0.62,-1.11,-0.83
"Ifit3",1.1,1.21,1.28,1.24,-1.03,-0.4,-0.33,-0.23,-0.79,-0.86,-1.18
"Dennd3",1,1.31,1.25,1.31,-1.02,-0.41,-0.33,-0.32,-0.77,-1.06,-0.95
"Helz2",1.34,1.13,1.24,1.2,-0.54,-0.47,-0.54,-0.4,-0.85,-1.02,-1.1
"Mthfr",1.33,1.23,1.09,1.26,-0.73,-0.36,-0.53,-0.35,-0.9,-1.05,-0.99
"Trim30d",1.26,1.07,1.2,1.35,-0.8,-0.37,-0.41,-0.44,-0.62,-1.08,-1.14
"Sp110",1.37,1.06,1.29,1.22,-0.9,-0.34,-0.55,-0.53,-0.73,-0.91,-0.98
"Oas1g",1.24,1.15,1.14,1.32,-0.7,-0.42,-0.57,-0.45,-0.45,-0.92,-1.35
"Lgals9",1.26,1.23,1.2,1.14,-0.64,-0.5,-0.34,-0.38,-0.55,-1.26,-1.16
"Isg20",1.42,1.2,1.16,1.13,-0.66,-0.51,-0.58,-0.49,-0.47,-1.08,-1.12
"Mitd1",1.32,1.17,1.14,1.23,-0.6,-0.51,-0.58,-0.43,-0.41,-1.27,-1.07
"Camkk2",1.35,1.23,1.13,1.15,-0.7,-0.42,-0.52,-0.36,-0.57,-1.25,-1.06
"Agrn",1.03,1.37,1.09,1.29,-0.67,-0.19,-0.48,-0.48,-0.87,-0.65,-1.45
"Mon1b",1.17,1.46,0.92,1.29,-0.55,-0.17,-0.49,-0.85,-0.62,-0.99,-1.16
"Ifi206",1.28,0.87,1.25,1.26,-0.4,-0.2,-0.41,-0.26,-0.77,-1.24,-1.38
"Ifi211",1.15,1.23,1.24,1.22,-0.63,-0.31,-0.46,-0.32,-0.79,-1.1,-1.23
"Phf11b",1.29,1.12,1.25,1.15,-0.68,-0.4,-0.45,-0.16,-0.76,-1.1,-1.25
"Zbp1",1.31,1.18,1.17,1.11,-0.7,-0.28,-0.47,-0.23,-0.68,-1.03,-1.38
"Ppm1k",1.16,1.14,1.49,0.92,-0.54,-0.28,-0.1,-0.67,-0.65,-1.21,-1.25
"Il18",1.01,1.2,1.44,1.09,-0.47,-0.25,-0.38,-0.47,-0.65,-1.1,-1.42
"Lrrc8c",1.11,1.09,1.48,1.16,-0.6,-0.24,-0.38,-0.61,-0.79,-0.94,-1.27
"Themis2",0.87,1.18,1.46,1.11,-0.79,-0.02,-0.2,-0.36,-0.79,-1.27,-1.21
"Nod1",1.02,1.13,1.43,1.23,-0.63,-0.4,-0.23,-0.49,-0.79,-1.24,-1.04
"Stxbp1",1.02,1.3,1.32,1.13,-0.6,-0.34,-0.18,-0.37,-0.98,-1.09,-1.21
"Svbp",1.28,1.1,1.31,0.61,-0.43,0.09,-0.57,-0.02,-0.45,-1.24,-1.68
"Plcb3",0.86,1.48,1.11,0.62,-0.3,-0.1,-0.62,0.02,-0.26,-0.69,-2.11
"Sertad3",1.07,0.75,1.83,0.74,-1,-0.46,-0.61,0.05,-0.05,-0.86,-1.45
"Arl14ep",1,1.52,1.41,0.53,-1.35,-0.4,-0.65,-0.32,0.1,-0.55,-1.27
"Hook2",1.15,0.86,1.11,1.42,-0.3,-0.3,-0.25,-0.75,-0.15,-1.44,-1.34
"Parp4",1.31,1.06,0.84,1.04,-0.36,0.08,-0.06,-0.42,-0.39,-1.39,-1.72
"Gm45640",1.04,1.65,0.56,1.05,-0.59,-0.39,-0.33,0.14,-0.31,-1.59,-1.23
"Mrgbp",0.81,1.33,1.34,0.64,-0.62,-0.22,-0.51,-0.1,0.35,-1.59,-1.42
"Npepps",1.38,1.15,0.94,0.59,-0.09,-0.59,-0.33,-0.18,0.21,-1.9,-1.19
"Prdx2",1.39,0.93,0.73,0.88,-0.42,0.06,-0.54,-0.14,0.28,-1.96,-1.22
"Ier2",1.33,1.18,1.22,0.37,-0.29,-0.95,-0.2,-0.71,0.57,-0.94,-1.58
"Scimp",2.06,0.69,0.66,0.47,0.01,-0.72,-0.1,-0.31,0.05,-1.25,-1.57
"Zmynd15",1.66,1.08,0.66,0.72,-0.06,-0.29,-0.61,-0.38,0.18,-1.22,-1.74
"Fignl2",1.88,0.27,1.39,0.82,-0.66,-0.66,-0.05,-0.42,-0.23,-1.15,-1.17
"Sfswap",1.66,0.65,0.82,1.25,-0.57,-0.86,-0.02,-0.19,-0.11,-1.32,-1.31
"Ube2l6",1.65,1.36,0.68,0.51,-0.86,-0.95,0.26,-0.08,-0.13,-1.27,-1.16
"Fam20b",1.71,1.25,1.05,0.28,-0.9,-0.41,0.11,0.01,-0.75,-1.04,-1.3
"Plk3",-0.02,2.19,0.85,0.19,0.03,-1.02,0.38,-0.01,-0.07,-1.12,-1.4
"Ptpn6",0.2,1.66,1.51,1.04,-0.71,-1.04,-0.27,-0.28,-0.06,-1.14,-0.9
"Rexo1",0.26,1.46,1.17,1.21,-0.47,-0.88,-0.24,0.14,0.12,-1.37,-1.41
"Gramd1a",0.8,1.32,1.28,1.05,-0.35,-0.99,-0.13,-0.05,-0.33,-0.95,-1.65
"Slc31a1",0.78,1.57,1.31,0.69,-0.38,-0.74,0.02,0.01,-0.5,-1.53,-1.21
"Rnase10",0.52,2.09,1.6,-0.55,-0.7,-0.69,-0.67,-0.68,0.16,-0.6,-0.48
"Gm43445",1.06,2.14,0.76,-0.01,0.01,-0.37,-0.11,-0.98,-0.31,-0.86,-1.32
"Lzic",0.9,1.69,0.36,0.89,0.05,-1.42,-1.51,-0.36,0.4,-0.89,-0.1
"Zc3h18",0.77,1.69,0.87,0.5,-0.31,-1.3,-1.19,-0.58,0.89,-1.05,-0.3
"Rsbn1l",0.9,1.73,0.39,0.91,-0.57,-0.42,-0.97,-1.16,0.86,-1.2,-0.47
"Strn4",0.48,1.48,0.9,1.3,0.1,-0.53,-0.9,-1.01,0.23,-1.65,-0.4
"Bmp1",0.65,1.52,0.72,1.39,-0.93,-1.16,-1.11,-0.09,-0.36,-1.02,0.4
"Gm48529",0.47,1.44,1.06,1.33,-1.3,-0.99,-0.57,-0.99,-0.13,-0.78,0.46
"Nrxn2",0.74,1.09,1.37,1.34,-1.33,-1,-0.93,-0.36,-0.41,-0.76,0.26
"Cndp2",0.56,1.41,1.54,1.17,-1.05,-1.18,-0.67,-0.37,-0.32,-0.87,-0.22
"Tmem185b",0.92,1.18,1.9,0.64,-0.55,-0.85,-0.85,-0.75,-0.45,-1.12,-0.06
"Gm37988",0.58,1.59,1.54,0.36,-0.8,-1.46,-0.59,-0.23,0.13,-1.2,0.08
"Gtpbp6",0.68,1.63,1.53,0.58,-0.61,-1.35,-0.57,-0.92,-0.06,-0.89,-0.01
"Nol10",0.09,1.65,1.41,1.11,-0.49,-0.98,-0.94,-0.97,0.26,-0.97,-0.18
"Creb3",0.25,1.94,1.2,1,-0.43,-1.14,-0.58,-0.93,-0.25,-0.99,-0.07
"Dtnb",0.31,1.09,1.44,1.46,-0.39,-1.56,-0.93,-0.4,0.12,-0.92,-0.22
"Cdv3",0.43,1.52,1.04,1.38,-0.55,-1.58,-0.83,-0.59,-0.16,-0.79,0.14
"Ccng2",0,0.61,2.13,1.01,0,-0.45,-0.27,-0.71,-0.17,-1.77,-0.39
