"","baseMean","lgFC_PcDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Nek2",38.6690836908587,0.65809582442042,0.247821994667874,2.65551822913211,0.00791866535319112,0.0260024024831442
"Gm6314",1.28932722591035,3.77122364858531,1.42028687258317,2.65525487940781,0.00792485051203461,0.026017277610416
"Dync2i2",18.4329579025667,0.892329718911519,0.33615204361776,2.65454200220835,0.00794161520531866,0.0260668718756325
"Gm11992",2.0112406036095,-2.24026079078569,0.844037773606287,-2.65421863907088,0.0079492301839996,0.0260864194702066
"Lsm12",170.019311054286,-0.481758687768891,0.181513813137988,-2.65411584628358,0.00795165225258434,0.0260889212603576
"Foxo1",3.72504135094548,1.73265920634532,0.65304456058451,2.65320211042643,0.00797321133970858,0.0261487396304776
"Umad1",51.2858573506243,0.554393254241339,0.208950002006994,2.65323402209291,0.00797245752051995,0.0261487396304776
"Acot13",70.8229137147808,0.695744825636196,0.262271858119245,2.6527620257293,0.00798361355686118,0.0261701350280037
"Btnl9",1.23122185827481,3.44155428654806,1.29737062015134,2.65271483190101,0.00798472979160926,0.0261701350280037
"Mis18a",121.917834283252,0.426188440409959,0.160653392111269,2.65284433032562,0.00798166721186503,0.0261701350280037
"Cyfip1",194.132600651691,0.454047261686276,0.171179068586149,2.65246951882887,0.00799053422079211,0.0261836996907716
"Rpl35",1310.42018419986,-0.416951403782734,0.157248911501335,-2.6515376151217,0.00801261874048953,0.026250594827377
"Tcea1-ps1",33.6527069207932,-1.42984119745354,0.539267504491001,-2.65145069106867,0.00801468147556979,0.0262518812491105
"Mlxip",60.2493639050406,-0.605308120343973,0.228316810848489,-2.65117631108494,0.00802119571832846,0.0262677448950844
"Abcf1",379.147415524074,-0.350396041417887,0.132227127075857,-2.64995579323803,0.00805023035064445,0.0263539145961281
"Bckdha",101.384450381733,0.724493617459801,0.273401113107068,2.64992928970293,0.0080508618799292,0.0263539145961281
"Gm45120",14.7614794719414,0.908538750654265,0.343059928037866,2.6483383117657,0.00808885322969069,0.0264727636721857
"Shisa8",214.158323767278,0.720483967427596,0.272116839965477,2.64770077264973,0.00810412216869956,0.0265172140653181
"Ddx39b",653.813377455495,-0.463737742961671,0.175234934952141,-2.6463772368696,0.0081359030024302,0.0266156627045162
"Klhdc1",33.7724870529063,0.686653527244393,0.259477927789053,2.6462887733658,0.00813803116623138,0.0266170852896361
"Zfp429",10.9823508749287,-1.1688833431184,0.441739686702467,-2.64609085012029,0.0081427944043018,0.026627124036035
"Uqcc6",76.6508830919047,-0.458992121420177,0.173474066872714,-2.6458832129471,0.00814779410059646,0.0266379316695665
"Timd2",4.25236612509157,2.31623889990355,0.875570733431592,2.64540466174058,0.00815932760242661,0.0266700916162495
"Eif3e",17.6483036698621,0.819199268738575,0.309704212849437,2.64510211598842,0.00816662675632717,0.0266857582799035
"H2ax",325.946065223461,0.366890948215732,0.138707710354701,2.64506527631034,0.00816751594151128,0.0266857582799035
"Pja1",59.1957372013403,0.479081171847188,0.181209889141498,2.64379153983752,0.00819831297020325,0.0267808149581515
"Map1b",1.09697014711464,-3.36813195767179,1.27414105259637,-2.64345297626853,0.008206516390898,0.0268020426238366
"Lonp1",244.12880041674,-0.311408337911331,0.117829002345176,-2.64288360007558,0.00822032898499387,0.0268415769246196
"Mfsd12",70.104985632526,-0.453686687367899,0.171670758867665,-2.64277207347601,0.00822303696314464,0.0268448427878859
"A530064D06Rik",42.1638482888973,0.622301499124699,0.23564735950475,2.64081677143578,0.00827064352811782,0.0269946523294194
"Kif13a",24.3749031012647,0.841831342661111,0.318888136452625,2.63989545683891,0.00829316051987891,0.0270625265127624
"Tmem164",107.058024727785,0.531403609795148,0.201341165688565,2.6393192270334,0.00830727148014342,0.027102947363299
"Prpf4b",101.641538381071,-0.504256227014179,0.191067101890045,-2.63915777245822,0.00831122909905481,0.0271102324565351
"Tnk2",99.5002069200606,0.558726494588651,0.211723015813093,2.63895019841343,0.00831631968941127,0.0271212093771485
"4930581F22Rik",29.9717402066969,0.644903989936511,0.244402332447945,2.6386981804843,0.00832250398026862,0.0271357477838296
"Creld1",31.023232527596,0.916636439913473,0.347483920874502,2.63792476384692,0.00834150861675106,0.0271920725729386
"Psmd11",165.089218650634,-0.374410694792068,0.14195047934291,-2.63761486770048,0.00834913436997104,0.0272112882358646
"Cldnd1",222.403515700938,-0.484339643430673,0.183634896586459,-2.63751417858989,0.00835161341396535,0.0272137253843535
"Cd300ld",14.8860260698336,1.52984171092373,0.580049443782895,2.63743328662914,0.00835360551374935,0.0272145751441712
"Tox3",7.70199486600868,1.53490778705781,0.58213406226286,2.63669124787398,0.00837189930187907,0.0272685215760956
"Dennd6b",26.1406906202052,-0.770027762599599,0.292088235887538,-2.63628475231053,0.00838193599024586,0.02728990303038
"Rab2b",19.288828596898,-0.782880204305082,0.296955671619142,-2.63635376969381,0.0083802311397349,0.02728990303038
"1700097N02Rik",6.54519858400513,1.50737680879548,0.571880463322323,2.63582497649669,0.00839330117922285,0.0273212468909099
"Gm5863",4.10396535692643,2.92165600784652,1.10885953636025,2.63482967142677,0.00841795133287048,0.0273958130437663
"Exosc7",106.870219001141,-0.383017981874066,0.145381921278552,-2.63456404005148,0.00842454101060084,0.027411583553226
"Xpa",133.583026815305,0.39156510495169,0.14863580574186,2.63439285707329,0.00842879009421249,0.0274197333383539
"Osbpl1a",13.144434996927,0.892380016166179,0.338773944092637,2.63414595994478,0.00843492192134917,0.0274340032447109
"Mpi",28.4672376049524,0.699316285332561,0.265553852978465,2.63342548974152,0.00845283801172076,0.0274865868237978
"Pde4b",320.077087457099,0.406733220336747,0.154459136397916,2.63327395078091,0.00845661069327441,0.027493167215632
"Dzip1",6.140824967191,2.1259661421404,0.807512284360683,2.6327353568665,0.00847003160204591,0.0275311056146732
"Rcc1",144.801151228735,-0.424949306025453,0.161470005070576,-2.63175384084317,0.00849453842116376,0.0276050546707201
"Dnaja2",102.030944319157,-0.528934442426063,0.200997752689662,-2.63154406130466,0.00849978448326932,0.0276163936115152
"Khdrbs1",28.2529941816212,-0.795885084458678,0.302522813335682,-2.63082666620437,0.00851774664286543,0.027669034816946
"Slc25a36",22.5714699104023,0.797849922565646,0.303412890063795,2.62958479581369,0.00854892087422666,0.0277645634756134
"Ccsap",11.2335463247641,1.14468879625632,0.435330942764588,2.6294680295109,0.00855185725736369,0.0277683627821731
"Slc35d3",11.1232078486627,1.28677165349954,0.489386123215005,2.62935868521596,0.0085546078129471,0.0277715572514902
"Amigo3",12.6854926875045,-0.891220198454973,0.339161898426886,-2.62771320301209,0.00859609553223067,0.0279001430640309
"Tars2",128.640616016809,-0.391051609466058,0.148821968234466,-2.62764707459026,0.00859776658834313,0.0279001430640309
"Dock7",14.0480654981592,1.12436819955024,0.428204364120675,2.62577473225698,0.00864520109416024,0.0280482798759762
"Pygb",101.416506691063,0.371783849332664,0.141600258097206,2.6255873705925,0.00864996062427379,0.0280579304690383
"Nipsnap3b",188.156633186476,-0.407121077885196,0.155064392346822,-2.62549687728835,0.0086522602555325,0.0280595995371808
