"","baseMean","lgFC_CD8_Tumor_vs_CD8_DLN","lfcSE","stat","pvalue","padj"
"Gm18649",13.2425799857823,-3.07142037675747,0.888909359693763,-3.45526835021245,0.000549745367160384,0.00225597515334986
"Dgkd",6514.82958232035,-1.72538290011922,0.499618369416198,-3.45340164761221,0.000553564120163255,0.00227123513195058
"Gm45250",39.7806048052534,-1.55721650599778,0.450948631409896,-3.45320153457197,0.000553974958753589,0.00227250968339486
"Gtf2e2",863.76048187193,0.720446404832423,0.208644759687838,3.45298106652816,0.000554427915637449,0.00227395651981428
"Gm18724",30.4056772383348,-3.03421805893454,0.878812244664122,-3.45263516451594,0.000555139274884812,0.00227646246495434
"Nampt",9567.02577404142,1.96723205813757,0.569834961688623,3.45228388989676,0.00055586255305849,0.00227901637127976
"Ighv8-2",5.67336518138257,-5.60458890663748,1.62350116052611,-3.45216193428607,0.000556113866152287,0.00227963466441352
"Osbp2",5.99234558758067,5.42858607104635,1.57277311636615,3.45160151490188,0.000557270079689178,0.00228396145237265
"Catip",11.8371153777146,5.66586294542755,1.64212376149162,3.45032638726389,0.000559909171511836,0.00229436312900812
"Mterf3",943.69784508468,-0.532744251642912,0.154411291780113,-3.45016381574969,0.000560246476085109,0.00229533062212542
"Uggt2",104.479009004846,2.38654867956745,0.691737748089361,3.45007726722924,0.000560426124778609,0.00229565196606531
"Mtpn",7889.47137689989,0.646847772368617,0.187503846120017,3.44978402178793,0.000561035213037471,0.00229773197307744
"Ankrd23",54.3529182810358,-1.83017165808659,0.530646172787738,-3.44894913398098,0.000562772702827931,0.00230443178783902
"Lancl2",498.447263507921,1.40369596282769,0.407029415602084,3.44863518218043,0.000563427365284259,0.00230669604187947
"E230016M11Rik",22.3931144444529,-1.74598079475116,0.506424400372103,-3.44766325135257,0.000565458566200746,0.00231459406966236
"C230037L18Rik",39.441734104964,-2.08553087318625,0.60499857229341,-3.4471666028574,0.000566499123508122,0.00231801670941507
"Mcoln1",1830.2366109249,-0.884823300393592,0.256681323001042,-3.44716666584268,0.00056649899143098,0.00231801670941507
"Prkci",988.347534244896,0.837805840440065,0.24314452866498,3.44571126087088,0.00056955857346171,0.00233011508021015
"Cd300lg",552.509462572196,6.45952411146852,1.87473879862957,3.44555951804615,0.000569878454593471,0.00233100328740027
"Ankrd44",6028.20665544094,-0.954007311164652,0.276912798913783,-3.4451542684442,0.000570733560320118,0.00233365925394278
"Pira2",201.899348387131,2.532937358929,0.735216910225478,3.44515655679382,0.000570728728385716,0.00233365925394278
"Abca2",4922.40736735662,-1.23311218003791,0.357985187470435,-3.44458995287271,0.000571926297099365,0.0023377253159852
"Gm15265",45.7961282439453,-1.28182199304931,0.372126548176736,-3.44458625521266,0.000571934120118243,0.0023377253159852
"Mif4gd",3348.76570319345,-1.41633830633957,0.411219331971521,-3.44424056998775,0.000572665915329192,0.00234029470731196
"Akap6",55.0113028251516,3.55197990752726,1.03139224380325,3.44386912822747,0.000573453207298405,0.00234308992879393
"Usp21",1101.76920794409,-0.593129912285412,0.172239699722671,-3.44363066842563,0.000573959167504095,0.00234473484837183
"Hoxd3",8.93363115676079,6.92182779818232,2.01010181991031,3.44352098466891,0.000574192032293361,0.00234526372851535
"Stx1a",557.080842667888,-1.99708752373075,0.579978304839356,-3.44338315255415,0.000574484782364462,0.00234603697313799
"Atl1",134.658244340132,2.01614391704392,0.585732326217769,3.44209091217947,0.000577236218429884,0.00235684872551003
"Pla2g15",464.390940927738,1.8552196495176,0.539044191156347,3.44168378020699,0.00057810562175129,0.00235997365135727
"Kcnj1",8.40956020699064,-4.36622890851273,1.26876053164393,-3.44133412067556,0.000578853269518257,0.00236260050493856
"Pusl1",571.658840573177,-0.785872007011315,0.228372099271926,-3.44119097524067,0.000579159605081897,0.00236300036029187
"Usp24",5396.33236586081,-0.968494235524062,0.281441109955409,-3.44119675934162,0.000579147224005012,0.00236300036029187
"Rps13-ps4",43.7290367557283,-1.34195658202852,0.38999323327173,-3.44097401580685,0.000579624192608435,0.0023644705598115
"Stk16",1325.12234796136,-0.70202395326707,0.204054714507659,-3.44037115222212,0.000580916960846007,0.00236931803433704
"Pdk1",3722.15187178208,-1.52352700857929,0.442848740943388,-3.44028754679027,0.000581096454419537,0.00236962399904522
"Gm28417",55.1815802830411,-1.62245353248231,0.471643597194335,-3.43999906313537,0.000581716200231614,0.0023717248134915
"E330013P04Rik",19.3010024532876,3.44339144521393,1.00100344299232,3.43993966186622,0.000581843887609063,0.00237181905371336
"Wdr83",456.280733589868,-0.726593993994814,0.211276657023369,-3.43906423090767,0.000583728719176484,0.00237907476723124
"Dnajc28",39.3264815608531,-1.91498434594181,0.556869210639274,-3.43884041235364,0.000584211519476511,0.0023806147095305
"Mettl22",455.284507694567,-1.41745821830831,0.412245451584932,-3.43838412979137,0.000585196920921549,0.00238420178972905
"Exd1",19.7543207980413,2.04449608311053,0.594659095956395,3.43809772189284,0.00058581624621223,0.00238579167402809
"Zfp62",1900.82521847698,-1.01711042585278,0.295838560656173,-3.43805899946518,0.00058590002597452,0.00238579167402809
"Zfp991",152.362093681729,1.6326515397556,0.474876123875563,3.43805775373836,0.000585902721411599,0.00238579167402809
"A430035B10Rik",53.929443287198,-2.53848961843773,0.738438239749653,-3.43764648387973,0.000586793236455693,0.00238898894203044
"Atp6v1c2",9.5836060780216,3.95181323689278,1.14965041073561,3.43740427523893,0.000587318275742602,0.00239069738193072
"Rassf7",142.717035083285,-1.53834279467023,0.447556865022464,-3.43720075569172,0.000587759786201375,0.00239206526302412
"Cep41",426.340133523163,-0.838932840452775,0.244109601009719,-3.43670563133391,0.000588835187711362,0.00239601200080398
"Flot2",1901.15072548016,0.795345298413181,0.231508858342633,3.43548538102188,0.000591493375065046,0.00240639663495073
"Son",17732.12409493,-0.518656145872695,0.15099010486456,-3.43503401324171,0.000592479459425233,0.00240997607948775
"Per2",333.155737732966,-1.17555512757685,0.342302417423175,-3.43425891183105,0.000594176362093747,0.00241644505444653
"Dpagt1",1153.92981741441,0.901900172672394,0.262630105903617,3.43410809499268,0.000594507065486293,0.00241726913149858
"Gm57382",5.88870084943713,6.30456886776331,1.83588865143747,3.43406930634215,0.000594592146934904,0.00241726913149858
"Vamp2",3587.86394535835,-1.28804226238089,0.37510979235963,-3.43377402727467,0.00059524020212283,0.00241947007604801
"Terf2",1490.07624875715,-0.843551088103687,0.24568655338846,-3.43344426656486,0.000595964711973359,0.00242198094109797
"Baiap2",1196.76379889832,0.703414865713659,0.204974689107545,3.43171573415386,0.000599775878321448,0.00243659621999082
"Sertad4",22.4883988759748,3.11387399218892,0.907368600476979,3.43176300188484,0.00059967135876211,0.00243659621999082
"Crispld1",6.31917423087503,6.43542886609372,1.87601569647701,3.43037048047032,0.00060275765386792,0.00244783282853685
"D930030I03Rik",43.7473872387831,1.45250002129987,0.423422485693308,3.43037998778349,0.000602736532439016,0.00244783282853685
"Cenph",399.520461864316,1.53619102929921,0.447872556082521,3.42997356823124,0.000603640048279488,0.00245097743197763
"Tmem86a",359.175164708022,2.35613570339688,0.6869769760002,3.42971567564761,0.000604214025693156,0.00245286885927089
"Hsd17b8",30.566397516504,-1.75208488262879,0.510918144854368,-3.42928686380516,0.000605169533330117,0.00245630819353264
"Syne4",50.7825761896648,-1.92979980344227,0.562804481202571,-3.42889914330245,0.000606034688870671,0.0024593796346888
"Madd",4507.57049132632,-1.33886290625451,0.39049034829951,-3.4286709315222,0.00060654445629545,0.00246100801667927
"Ccdc88a",984.072039029985,1.70282679472522,0.496683780864014,3.4283921890162,0.000607167637957953,0.00246309590350998
"Gpr39",4.31805672909072,5.94715014611908,1.73488358294285,3.42798226036069,0.000608085193680824,0.00246637701678733
"Ubxn4",4953.14433999296,0.66264574541051,0.193324588505325,3.42763303175094,0.000608867900428498,0.00246911011078469
"Gm42727",48.8081706564464,-2.07924598065363,0.606656250534325,-3.42738738589158,0.000609419014459317,0.00247090322970178
"Gm42809",15.4514728615399,-3.17340935298362,0.92595684028969,-3.42716767661741,0.000609912332214952,0.00247246141322026
"Gm27209",25.4128698040122,-2.07207569723107,0.604632651883224,-3.42699933716326,0.000610290559674194,0.00247355257040214
"Ddx17",14402.5511032727,-0.765098610233511,0.223260640647579,-3.42693010292501,0.000610446179472934,0.00247374125364045
"Utp14a",2200.48158677965,-0.650067395276665,0.189701668758716,-3.4267879641243,0.000610765784699601,0.00247459427702245
"Cox7a2l",4722.91684583214,-1.24077507469813,0.362154191668684,-3.42609613043841,0.000612323627272979,0.00248002003396044
"Itga8",31.0474306924428,3.37166110330929,0.98410833387482,3.4261076623889,0.000612297629826762,0.00248002003396044
"Dmpk",172.729065151074,2.83328442096961,0.827458943787022,3.424078550656,0.000616887870699637,0.0024980262037238
"Rnf19b",10452.778868701,1.0542141074218,0.307886603139433,3.42403370809991,0.00061698967387949,0.0024980262037238
"Gm11223",22.8495003432131,1.67986806460238,0.490619727016299,3.4239717078204,0.000617130454887628,0.00249815024938538
"Atf3",4467.11718700127,2.66325701339264,0.778079885430956,3.42285806799586,0.000619664238044638,0.00250795941882413
"Cnot10",2287.25730475015,-0.503856893437613,0.14723478093663,-3.42213225864392,0.000621320825423993,0.00251421545788431
"Eln",265.000792593443,4.54995434899937,1.3296970853127,3.42179764042227,0.000622085945025509,0.00251686252570881
"Gm56549",25.02422607168,-1.70225453106145,0.497482764576489,-3.42173569070396,0.000622227691976457,0.002516987030804
"Csf1r",2931.43138973905,4.13701240458607,1.20928529763371,3.42103919784789,0.00062382340452932,0.00252299191122138
"Gnat2",21.3214311064324,3.27337130828342,0.957006290966345,3.42042820322331,0.000625226368962455,0.00252821523880147
"Gm15056",30.0773475744903,4.86271355325876,1.42200749946971,3.41961174963715,0.000627105690243205,0.00253536259543781
"Wdr45",321.077998065853,-0.802901231313834,0.234825414927363,-3.41914111622965,0.000628191385546105,0.00253929937900039
"Hdgfl2",2204.98854664093,-0.545942004686908,0.159676303864399,-3.4190546215958,0.000628391108502196,0.00253965408623277
"Nif3l1",827.641077277693,0.770350793572204,0.225366253295803,3.41821715676785,0.000630327938383299,0.0025470279655214
"Trbj2-5",77.1119019859909,-1.5465083623907,0.452530562868516,-3.41746721500454,0.000632067062922908,0.00255360047277422
"1700030K09Rik",263.293893639477,-1.24616461164063,0.364679070601458,-3.41715418322569,0.000632794307236323,0.00255608329161657
"Tmem101",343.812415442634,1.03283126230948,0.302322769972462,3.41631979094249,0.00063473659549518,0.00256347235085936
"Car6",1992.85748062195,8.24055531301383,2.41226856915997,3.41610192926547,0.000635244643519603,0.00256461085077752
"Nt5c3b",1841.84629233309,-0.562448998524761,0.164644986425221,-3.41613194994076,0.000635174613585927,0.00256461085077752
"9130008F23Rik",25.5540689014331,2.62242188431515,0.767739176488119,3.41577187230556,0.000636015048838895,0.0025672641613659
"Gm32200",29.9480706178996,-2.97530825182409,0.871135017045702,-3.41543870192971,0.000636793602747243,0.00256994941350716
"A430046D13Rik",138.488738370471,-2.23823139055678,0.655487410441035,-3.41460622264402,0.000638742820394951,0.00257735739359151
"Gm9320",64.2697083906488,-1.44893229269501,0.424393642133056,-3.41412346662993,0.000639875715599415,0.00258146942467277
"Fmnl3",2749.26547474014,-1.07718107754403,0.315536061247386,-3.41381290393779,0.000640605508190634,0.00258395403366028
"Gm28913",36.3766297565663,-2.39776693602793,0.702401968620049,-3.41366773321923,0.000640946910943419,0.00258457507044553
"Qser1",890.247558504573,0.766683713375904,0.22459349798864,3.41365052969914,0.00064098738024144,0.00258457507044553
"Rtel1",1843.0161427126,-0.780956224449005,0.228791102288925,-3.41340295420574,0.000641570036324824,0.00258646462742327
"Lpp",1729.00702831311,0.687560321059184,0.201435075639529,3.41330981645711,0.000641789358679992,0.00258688900732555
"Gm43351",11.693315820489,7.36926664928371,2.15911027722515,3.41310340977792,0.000642275657186758,0.00258838915789852
"Gm48682",4.38189607982463,5.89082248998991,1.72597647321453,3.41303753637997,0.00064243092843687,0.00258855496320424
"Usp18",1163.24971730237,1.50827286110604,0.442006091735332,3.41233500919525,0.000644089039707177,0.00259477504610986
"E230032D23Rik",22.0731125268234,-1.87914865290972,0.550804706662726,-3.41164233017416,0.00064572780360686,0.00260091499087323
"Gm41381",11.7303297921111,7.37392322136526,2.16143129116969,3.41159270317343,0.000645845361620223,0.00260092660634025
"Vsig4",13.3224001543238,6.59681800205519,1.93406715452227,3.41085261007116,0.000647600881210165,0.00260753339015227
"Pomk",573.56450674546,0.75127475901854,0.220300562399852,3.41022624197823,0.00064909010857606,0.0026130658062857
"Trp53rka",537.143225089314,-0.911346879276244,0.267258045599049,-3.40998856454814,0.000649656033892123,0.00261487994759667
"Psap",50865.3716129924,1.71118544526511,0.501862323886081,3.4096710667875,0.000650412732512345,0.00261746117567645
"St6galnac5",14.9552763802613,2.74696852417932,0.805668878835539,3.40955024618751,0.000650700901859731,0.00261815631631729
"Fig4",1015.98962673662,-0.512866236207628,0.150424580086048,-3.40945765588477,0.000650921819452406,0.00261858066459738
"Tyw1",907.09718810054,-0.710744684855536,0.208471012203853,-3.40932140800724,0.000651247029508486,0.00261942434408263
"Rps26",26692.1448802416,-0.603997894924067,0.177182614891666,-3.4089004459798,0.000652252778674905,0.00262300448105062
"Zbtb11os1",103.053174276267,-1.06035903364183,0.31106557115677,-3.40879586801791,0.000652502856930802,0.00262354499167657
"Gsta5",34.2729819392422,5.4084162341877,1.58666703244865,3.40866490799969,0.000652816148590585,0.0026243394303763
"Car2",318.256016550343,1.04870478792541,0.307724959005416,3.40792892235613,0.000654579428339262,0.00263096154778713
"Morc3",2540.28551553714,-0.900080267173841,0.264149850430858,-3.40746082462553,0.000655703203469069,0.00263501140288483
"Gm35520",5.19506556792057,-5.49247935442211,1.61195113740505,-3.4073485398968,0.000655973035177801,0.00263562877074716
"Gm38335",8.16559419223143,5.17881896907687,1.52000800885888,3.40709979085227,0.000656571172421481,0.0026371615628346
"Ice1",2771.58354406434,-1.2247977546242,0.359484666001243,-3.40709318216084,0.000656587070469863,0.0026371615628346
"Gm29477",6.64284123727572,-5.84693240062193,1.71656271773676,-3.40618629322844,0.00065877210546863,0.00264546921461296
"Gm57021",6.62204729790784,-5.84146982442023,1.71505526052693,-3.40599510631832,0.000659233608467279,0.00264685386327604
"Krt83",15.4982265924689,1.92862298839831,0.56631450364909,3.40556877136481,0.000660263814416872,0.00265052098668833
"Trp53cor1",16.1724443208552,2.93544031799312,0.86203577208058,3.4052418856218,0.000661054722650513,0.00265322636072134
"Gucy2c",27.465158605592,2.35465086395761,0.691495105990056,3.40515911618248,0.000661255125102895,0.0026535611274697
"Gm14488",12.1436969611429,7.37906294630139,2.16762813149719,3.40421073111126,0.000663555403005137,0.00266231662298705
"Pals2",1490.38424015411,1.37765184646759,0.404696221688365,3.40416285756295,0.000663671715813622,0.00266231662298705
"Sardh",337.736541549104,4.1481814753437,1.2185940417837,3.4040716868038,0.000663893275263662,0.00266273446087623
"Mettl24",27.31720900099,3.42232999086272,1.00543316973236,3.40383637012266,0.00066446545011173,0.0026645581460368
"Cep295",1417.76719325401,-0.620750105371148,0.182416277275657,-3.40293155107592,0.000666669800356909,0.00267292517975872
"Higd1a",765.055010060511,1.02970351780751,0.30267196919228,3.40204453209001,0.000668837383838875,0.00268070601275091
"Ywhae",19383.7990386716,1.24526375149889,0.366034352287495,3.40204066562807,0.000668846846530461,0.00268070601275091
"Trav17",17.444390717532,-3.23197324373398,0.950141523882042,-3.40157035820195,0.000669998795142128,0.0026848485287312
"Srgn",19991.2462152381,0.742072744879484,0.218213546195915,3.40067222139014,0.000672203775050403,0.00269320858892743
"Gatad2b",3413.75416302354,-0.852148455127003,0.250608339732599,-3.40031962238868,0.00067307126954169,0.00269620795910898
"Fzd9",43.4250593365956,2.19828757448609,0.646522116343999,3.40017382068401,0.000673430287554917,0.00269716976020362
"Trpc6",26.0859640978794,3.54299806718758,1.042201615991,3.39953231008824,0.000675012041141325,0.00270302756093333
"AW551984",15.9367653407978,5.49384539325272,1.61617178391294,3.3992954511008,0.00067559692983363,0.00270489213866841
"Gm37593",21.4033523338963,-2.6052269810612,0.766418281404324,-3.39922343225894,0.000675774863234879,0.00270512701606606
"Gm49257",5.05317354007023,6.18477855027372,1.81969832506143,3.39879334123415,0.000676838375186877,0.00270890615627555
"Mir6989",7.16726302147949,-4.94285591418855,1.45431870580729,-3.39874327026879,0.000676962289739427,0.00270892408143612
"Slc25a45",1132.56147845481,-1.14257545258442,0.336243316661019,-3.39806145124454,0.000678651741055512,0.00271520552811432
"Gm10814",14.3200747915625,-3.00967025428439,0.885776888566532,-3.39777464633898,0.00067936357356365,0.00271757411146334
"Lactb",1377.00817983971,0.797653092275319,0.234775514875759,3.39751397285799,0.000680011151481239,0.0027196848751095
"Nlrp1a",28.7192247833549,2.94810662188088,0.867812888625743,3.39716851468923,0.000680870239838086,0.00272264067520586
"Rps6kc1",528.855265372407,0.719907682343895,0.211925553544914,3.39698384787431,0.000681329884561857,0.00272399843323594
"Acot8",431.475784382961,-0.675132596634718,0.198784401873947,-3.39630569737979,0.000683020309982084,0.00273027558172429
"Gm38563",10.7385030025195,5.34746587407677,1.57454310206692,3.39620164545327,0.000683280024884126,0.00273083246597301
"Ndufaf2",384.81639288782,1.02906811648256,0.303040141267241,3.39581453526007,0.000684247062995521,0.0027337339502909
"Nlrc3",2237.20628047576,-1.72561608356921,0.508154685642572,-3.39584802093703,0.000684163362350303,0.0027337339502909
"Paxx",675.317178870752,-1.25658683883372,0.370127666045673,-3.39500922008532,0.000686262894453598,0.00274130480963404
"Clmp",186.896294091749,3.6989676388634,1.08969372482308,3.39450210146338,0.000687535123741554,0.0027459031768942
"Cap2",31.1196972637744,2.4729292881736,0.728618378094161,3.3939979590441,0.000688802059163674,0.00275047878589636
"Ighv1-47",8.30195757136524,-4.47313617725489,1.31799706821851,-3.39388932275932,0.000689075351671374,0.00275108573336709
"Tmem200b",55.7176220643012,2.48549777250805,0.732449259930748,3.39340608077486,0.000690292248358601,0.00275545907867325
"4921529L05Rik",4.70242130539984,6.06025340948417,1.78644544032901,3.39235292199467,0.000692951228827228,0.0027655862785554
"Vmn2r96",45.3884281273746,-2.34295442433041,0.690809952624375,-3.39160490584939,0.000694845573535566,0.00277265877082339
"Spon2",56.5764224956401,4.27342451239976,1.26017666734443,3.39113127797004,0.000696047519555772,0.00277696636605883
"Grik3",5.07539947466214,6.16919207074737,1.81941665275197,3.39075277859864,0.000697009442628547,0.00278031501376329
"Gm10825",7.07493818938202,4.28471289747217,1.26370378265203,3.3905990915689,0.000697400377332461,0.00278138525730219
