"","baseMean","lgFC_LMoDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Srsf11",609.636078544262,-0.277920934146446,0.0959671908682098,-2.89599947265425,0.0037795303518907,0.020141512121531
"Tgtp1",3.27953590674308,2.97339254948795,1.02693488830791,2.89540513555561,0.0037866946457596,0.0201721644650274
"Top3a",45.8488961405367,0.724203580102341,0.250137834874234,2.89521807233385,0.00378895210660096,0.0201766644244873
"Mroh1",119.452622513865,0.4499384178765,0.155413911642842,2.89509744089389,0.00379040852370382,0.0201768969569653
"Smyd2",54.4690417328072,-0.664950475337038,0.229839425095978,-2.89310885223179,0.00381449074354489,0.0202975248879687
"Ubl7",19.1580477317756,1.51224896166944,0.522730035599643,2.89298272278286,0.00381602287586731,0.0202981149769598
"Pfdn5",931.03843465245,-0.346817712117168,0.119892482245985,-2.89273944137379,0.00381897966781976,0.0203062798271787
"Herc4",80.9281083331036,-0.537976791747438,0.18600869886139,-2.89221307949866,0.00382538408684972,0.0203327635014469
"Arhgap17",465.094550141213,-0.43428831133338,0.150257375132292,-2.8902961398801,0.00384879069564854,0.0204495642541862
"Ift43",18.4483791022935,-1.27690653763704,0.441864893117604,-2.88981215191764,0.00385472092133946,0.0204734563773039
"Borcs7",14.1810282204479,-1.26716915173446,0.438535920305045,-2.88954471700521,0.0038580013173849,0.0204756502470796
"Tifa",84.3653109254244,0.600873937419627,0.207941189059613,2.8896340361282,0.00385690543389797,0.0204756502470796
"Slamf6",67.2659482765886,-1.14621746840718,0.396718790929539,-2.88924420676295,0.00386169044619103,0.0204876162527861
"Rbm39",655.51718161038,-0.38670981396728,0.133911326669565,-2.88780511391328,0.00387940152124037,0.0205739370688284
"F11r",15.1596939699015,1.21100621646904,0.419379170779335,2.88761650755955,0.00388172818145149,0.0205786347021122
"Apbb2",11.9012332576262,-1.73809393606911,0.602089033680708,-2.88677228589225,0.00389215809752206,0.0206186209008939
"Nfkb1",877.50871026877,-0.370656968069526,0.128394767348824,-2.88685415864745,0.00389114548906188,0.0206186209008939
