"","baseMean","lgFC_LcDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Erbin",350.792358692573,0.569027385104475,0.0938087919337474,6.06582147978573,1.31280888697535e-09,3.52463939828132e-08
"H2-Eb2",42.2119680052539,-1.84052776357413,0.303475563811139,-6.06483019739786,1.32093133307529e-09,3.53963960481077e-08
"Nin",223.877740773,-0.699418750103628,0.115407535839088,-6.06042530081246,1.35762090465114e-09,3.63098571835912e-08
"Ndrg1",73.9255882618325,1.04141552109534,0.171959270264073,6.05617550886363,1.39395910294599e-09,3.72104455759637e-08
"Fam167a",81.2220316666704,1.23787659209745,0.204821709926277,6.04367863417902,1.50639417746509e-09,4.01350555564697e-08
"Hsp90b1",1178.46496493516,-0.530716624236215,0.0878382121973212,-6.04197889460687,1.52235383394964e-09,4.04406500232433e-08
"Sec11c",897.241575674926,-0.383775254834611,0.0635195904843082,-6.04184082278393,1.52365746810586e-09,4.04406500232433e-08
"Sipa1",482.71493572106,-0.670024321348785,0.111024346176472,-6.03493147605469,1.59030156476597e-09,4.21294120411722e-08
"Tcp11l1",57.2171872230496,1.40345712539891,0.23260601632505,6.03362349595327,1.60323361390337e-09,4.2311426245189e-08
"Zbtb7b",129.302442932328,1.02246377745604,0.169456846188857,6.03377084167213,1.60177169465016e-09,4.2311426245189e-08
"Pax5",499.700885513463,-1.37333033724076,0.227686421316714,-6.03167430582278,1.62269568841788e-09,4.27442537849094e-08
"Washc2",311.433302667363,0.909591934650285,0.150914825725079,6.02718739050387,1.66837527060206e-09,4.38647592332868e-08
"Atxn2l",776.924153108131,1.13311786206859,0.188361651230226,6.0156505035286,1.79165751598915e-09,4.70175386855725e-08
"Dtx4",57.8301002168659,1.29677331311039,0.215640724129704,6.01358263075767,1.81467363872054e-09,4.75321926269747e-08
"Dnajb11",297.39664305065,-0.555431170320061,0.0923878785278244,-6.01194852799636,1.833065299128e-09,4.7924016181884e-08
"Hilpda",59.7345936345927,1.46806684160232,0.244214169141285,6.01139093101924,1.83938245843516e-09,4.79992869200249e-08
"Mrpl45",144.066689613166,0.935407282512873,0.15579879950625,6.003944096343,1.92581032528938e-09,5.01608917003078e-08
"Map4k1",344.402157518768,-0.828643802236629,0.138142006707546,-5.99849258010932,1.99157618463057e-09,5.1777272092416e-08
"Btla",46.8196853086222,-2.39913370550396,0.400014837374666,-5.99761179172677,2.00240513046891e-09,5.19620409414059e-08
"Tmem120b",22.3825888935235,1.9602455668581,0.326933351327449,5.9958568280015,2.02415300361955e-09,5.24289426410622e-08
"Fig4",83.1354169664977,-0.884391398635718,0.147785858128332,-5.98427623479201,2.17354169253344e-09,5.61941029064062e-08
"Ptprc",1340.53066519886,-0.699496214603968,0.116904162167026,-5.98350137101679,2.1839119796939e-09,5.63578468549103e-08
"Sidt1",38.263817047573,-1.46967658990829,0.245942287815283,-5.97569699364633,2.2910849713948e-09,5.90144599366103e-08
"Mrpl30",479.847884298499,-0.561343929488402,0.0939791821397829,-5.97306676550419,2.32834554097664e-09,5.98637791852208e-08
"Ttc39c",155.95010295171,1.25844276059711,0.210941569731854,5.96583576294054,2.43385002288518e-09,6.24613606056986e-08
"Pdk1",93.2385095586532,-0.87931732282372,0.147521325823761,-5.96061157879106,2.51295645219372e-09,6.43731835395899e-08
"Atp5me",596.379047693938,-0.611424527189657,0.102584861914693,-5.96018277724157,2.51955959972007e-09,6.44241237576775e-08
"Alas2",41.8399190515816,-2.97655870567056,0.500229662677017,-5.95038424898931,2.67513705195403e-09,6.82771268415544e-08
"Rasgrp1",85.9246146934924,-1.11217345971712,0.187062208601098,-5.94547379737602,2.7565834496193e-09,7.02274845622901e-08
"Tnpo2",80.7332457317994,0.884824600465105,0.148864150840011,5.94383936946683,2.78422445022263e-09,7.08024727678654e-08
"Zswim8",318.075359744547,0.73275407363866,0.123418211160778,5.93716329824366,2.89995791007582e-09,7.36114770592155e-08
"Zfp706",416.501376615822,-0.682907131930272,0.115098494946226,-5.93324119702284,2.97012020782174e-09,7.52556229063507e-08
"Shisa5",2037.56137357955,-0.957844850085486,0.161629797550014,-5.926165005491,3.10091010077466e-09,7.84271846320924e-08
"Cebpb",1107.0073710291,1.26915788007178,0.214309167161208,5.92208862030195,3.17878233459855e-09,8.02513203857692e-08
"Rel",81.6732705051645,-1.48816764014173,0.251458399342727,-5.91814647683899,3.25589944940829e-09,8.20498415400525e-08
