"","T_PCD11_LMoDC_1","T_PCD11_LMoDC_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PimedMoDC_1","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedMoDC_4","T_PimedCD11c_1","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_4"
"Cyp3a13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a41a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a41b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a61-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp3a63-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp46a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a12a",0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
"Cyp4a12b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a28-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a29-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a30-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a30b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4a32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4b1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Cyp4b1-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4b1-ps2",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Cyp4f13",22,8,15,12,40,27,17,27,52,120,82,126,44,51,63,34
"Cyp4f14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4f15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4f16",27,21,12,13,30,25,19,19,23,48,42,37,29,68,47,26
"Cyp4f17",3,0,4,0,1,0,1,4,6,6,2,8,4,3,1,2
"Cyp4f18",309,199,124,184,385,502,283,292,265,604,459,604,261,494,380,317
"Cyp4f37",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cyp4f38-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp4f39",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cyp4f40",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cyp4f41-ps",0,2,0,1,1,1,1,2,2,3,0,4,1,5,2,4
"Cyp4v3",5,3,6,2,12,7,14,7,15,23,13,23,5,10,8,5
"Cyp4x1",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cyp4x1os",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"Cyp51",25,14,14,46,96,132,79,74,17,44,52,57,31,73,44,47
"Cyp7a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyp7b1",0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0
"Cyp8b1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt14-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt15-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypt4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyren",27,15,9,10,51,25,40,33,21,32,32,31,24,32,30,28
"Cyria",59,18,14,19,84,70,46,59,54,135,112,138,33,27,46,28
"Cyrib",672,306,315,299,779,662,738,838,922,1700,1618,1847,660,995,928,704
"Cys1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cysltr1",0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0
"Cysltr2",11,5,6,3,7,5,3,5,12,19,31,22,3,15,7,3
"Cysrt1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cystm1",60,32,15,30,103,188,115,79,76,137,121,118,25,75,50,23
"Cyth1",321,128,110,201,452,313,314,410,626,1100,1066,1119,418,488,452,400
"Cyth2",169,77,66,91,321,285,211,195,159,299,259,269,143,212,170,133
"Cyth3",37,23,16,19,58,49,38,45,56,107,86,89,24,57,47,22
"Cyth4",204,129,79,140,283,310,233,206,240,534,482,537,199,336,300,221
"Cytip",16,4,8,8,16,14,9,18,42,86,107,98,24,29,29,38
"Cytl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyyr1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Czib",67,25,22,30,103,111,68,97,63,119,111,114,59,90,90,65
"D030007L05Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"D030018L15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D030024E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D030025E07Rik",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"D030025P21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D030028A08Rik",27,10,7,14,22,25,25,23,4,11,4,10,6,7,8,5
"D030034A15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
