"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Zfp266",29.8469390675566,-0.925781347168546,0.299865920306218,-3.08731764591039,0.00201971647905547,0.00790131388888311
"Crot",29.6000030088995,-0.721554087596159,0.233740544936503,-3.08698727382609,0.00202196252896682,0.0079081532983003
"Gm16374",23.80783144239,1.68410487130136,0.545624874511493,3.08656175693816,0.00202485880241889,0.00790974472437395
"Gm45778",2.81338756933501,-2.74465233852171,0.889225086893735,-3.08656647116131,0.00202482669429582,0.00790974472437395
"Hotairm1",7.16902828482768,-1.72089071015328,0.557512183287983,-3.08673202440916,0.00202369942320291,0.00790974472437395
"Kctd20",189.681751156584,0.401629655493361,0.130117844176043,3.08666084991369,0.0020241839879334,0.00790974472437395
"Ltb4r1",160.366552354524,0.649682770174488,0.210479636361446,3.08667755895787,0.00202407022114037,0.00790974472437395
"Gm16272",2.50426397018578,3.76928108963051,1.22131601897839,3.08624551799743,0.00202701374277368,0.00791477096155936
"Sdcbp",488.689888608463,0.353467104544106,0.114530504790282,3.08622672353836,0.00202714187968685,0.00791477096155936
"Rps8-ps4",15.7145847270107,1.73471383210266,0.562225883586206,3.08543929183344,0.00203251711759433,0.00793380821799045
"Cyb5b",214.40438955966,0.438594570087794,0.142205267708648,3.08423574706383,0.00204075813952296,0.00796401978938866
"Klhl2",51.663589243631,0.509143155158077,0.165095935996923,3.08392300563696,0.00204290458373707,0.0079684814932067
"Ndufs8",343.253508467142,0.335512231926633,0.108793826397432,3.08392712193964,0.00204287631879106,0.0079684814932067
"Smpdl3b",73.8050012166196,-0.803854615634329,0.260671164557109,-3.08378802465594,0.00204383164106015,0.00797014071711406
"Rptor",91.9889670360533,-0.472960315170827,0.153378558328072,-3.08361429606855,0.00204502538731278,0.00797198026069909
"Tmem175",53.1602408369387,-0.559090117142007,0.181312411536698,-3.08357333292016,0.0020453069517599,0.00797198026069909
"P4htm",4.85703730881443,-1.89999834176036,0.616264424497104,-3.08308944380626,0.00204863570649979,0.00798299619062109
"Zhx3",16.6585705843103,0.974768296884377,0.316271141511072,3.08206525649844,0.00205569766319776,0.00800855045983884
"Cenpe",53.7702363085364,0.632799373437975,0.205491575175405,3.07944193282779,0.00207388793793125,0.00807545531125336
"Pheta2",4.5199902900911,1.76345958819786,0.57265534146373,3.07944318425527,0.00207387922537198,0.00807545531125336
"Angptl4",14.1547163800459,1.10147925105741,0.357702344876314,3.07931794922474,0.00207475129023959,0.00807683747807801
"Bnip1",117.494380020412,-0.387156782597086,0.125759514072851,-3.07854865257201,0.00208011561431404,0.00809573659103557
"Hdac5",159.301776525209,-0.360405479273167,0.117080061307459,-3.07828229032713,0.00208197592771782,0.00810099230067425
"Gm44096",11.2457448160044,1.26776338498057,0.411857484525005,3.07816036521147,0.00208282797984786,0.00810232324090178
"Gm27219",5.44742072634725,1.85388932048591,0.602311955163274,3.077955376103,0.00208426123098035,0.00810591387431697
"Gypa",5.3792330025933,-2.35564965402834,0.765784300003126,-3.07612685976811,0.00209708600765184,0.00815379476347646
"Bclaf1",324.805484859237,0.386639764304191,0.125746763000821,3.07474924266373,0.00210679604629906,0.00818954460179915
"S100a4",228.082919160411,-1.69927403624681,0.552681155365223,-3.07460100593424,0.00210784333602592,0.00819161132080328
"Gm54786",27.1338672138778,2.2509377572619,0.732131055249449,3.07450113080501,0.00210854922113682,0.00819235056889232
"Tcirg1",285.158240714998,0.477611774898713,0.155365630016648,3.07411475013834,0.00211128207684681,0.00820096292294996
"Gm527",2.81497003428809,2.24006120604408,0.728752471153491,3.07382999675932,0.00211329820530681,0.00820678772615723
"Cct6a",675.90245423729,0.298239554850726,0.0970306447735737,3.07366353739774,0.00211447759874175,0.00820936109755869
"Fam118b",66.1860016825271,0.496063072155183,0.161461841077217,3.07232389303642,0.00212399121009842,0.00824428252011573
"Smim11",80.0475146950185,-0.50865729765273,0.16557684346632,-3.07203161386633,0.00212607206747796,0.00824948324250897
"Zfp787",60.8377900317097,0.611552767188761,0.19907382458855,3.07198984322893,0.0021263696026987,0.00824948324250897
"Ppp2r5d",80.0595689843898,0.68483208181348,0.223008499730213,3.07087883485142,0.00213429742166241,0.00827821853953873
"Hccs",66.4792066373904,0.530462614661927,0.172753188497965,3.07063863349866,0.00213601498497437,0.00828285820509833
"Fam133b",52.190469027891,0.679614612589999,0.221367279299243,3.07007708971884,0.0021400352579288,0.00829642268001827
"Uck2",401.118359190183,0.398944251904542,0.129951206174974,3.06995420548371,0.00214091595051507,0.00829781207753912
"Pgam5",107.932865205169,0.525032523568752,0.171073826776307,3.06904062101372,0.00214747389750633,0.00832119946577634
"Tm6sf1",162.361427123717,-0.446469179097228,0.145481103841972,-3.06891525639097,0.00214837523305912,0.0083226621135358
"Rock2",58.640820156363,-0.817705941176304,0.266575134248975,-3.06745017114982,0.00215893451757874,0.00835949126999107
"Trmo",16.3670989324556,1.09084836119584,0.355618599007363,3.06746712416258,0.0021588120607914,0.00835949126999107
"Itgb8",1.84320960723363,-3.28856593230691,1.07218195206329,-3.06717150571173,0.00216094831599975,0.00836524997472905
"Raver1",43.9735161303354,1.1701547315267,0.381536603906705,3.0669527367624,0.00216253047407155,0.00836933535726546
"Mad1l1",42.4808424686208,0.665688117459933,0.217166965209258,3.06532863697058,0.00217430936684636,0.00841287211668003
