"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Control","lfcSE","stat","pvalue","padj"
"Gm45640",14.1408393499059,1.68630957063931,0.489415715815248,3.44555664263932,0.000569884517703377,0.00310108940621929
"Vim",8445.75358478246,0.842564069065315,0.244848252307108,3.44116840175973,0.000579207926790331,0.00314805964349856
"Bub3",276.761898941395,0.640890489659527,0.186249235131483,3.44103689449833,0.000579489511207654,0.00314833676741668
"Kynu",22.2970262470476,1.93615652068868,0.563139424131103,3.43814770858225,0.000585708111608353,0.00317706509645961
"Cycs",70.6035040210855,2.24838182389568,0.654594567641798,3.43477006232355,0.000593056810842328,0.00321054902396126
"Med13",56.4445020495775,1.33156093204424,0.387752521321736,3.43404841702984,0.000594637971552518,0.00321783282822296
"Fxr1",166.159817260805,0.687984379618521,0.200615629196159,3.42936580950939,0.00060499351560597,0.00326739575497164
"Adgrl2",67.0755863241955,1.42441152625587,0.416146962038373,3.42285696206651,0.000619666759088791,0.00334003563436212
"Fam98b",39.8515021492102,1.11091394660648,0.324975368196824,3.41845584411692,0.000629775353935053,0.0033864997665519
"Zfp811",2.94608404331845,4.82478558292099,1.41494200791077,3.4098822113883,0.000649909416215884,0.0034851583894719
"Pacs2",213.662576844753,0.640746427808397,0.1880321367875,3.40764317608388,0.000655265214143942,0.00350836704655186
"Hnrnph1",240.61982496591,0.906786213849651,0.266718196308815,3.39979133931959,0.000674372945183158,0.00360219633043258
"Rab5a",18.2496186997389,1.39026580552785,0.408951951444889,3.39958227516907,0.000674888719808277,0.00360354152973892
"M6pr",1165.46074363201,0.815539351894023,0.239917778784717,3.39924517484726,0.000675721140303711,0.0036065757343888
"C1ra",28.8132264451041,1.41618057553988,0.417351256233077,3.39325820730006,0.000690665021272447,0.00367914535131983
"Ncstn",218.373881018378,0.778630803016366,0.229555656166946,3.39190423802975,0.000694086940364298,0.00369449083695663
"Scaf11",209.596783762413,0.515347272907335,0.151943799369432,3.39169663418994,0.000694613013630989,0.00369585014618234
"Kdm1a",73.3869447963093,0.921088943608097,0.272501082823601,3.38012948082246,0.000724516890186613,0.00383701671905269
"Col4a2",20.7927773043201,2.86544632288216,0.847866268806325,3.37959702880538,0.000725921786841181,0.00384147680455141
"Ngdn",217.02021036062,0.562241366478082,0.166484655914984,3.37713624951235,0.000732447590195065,0.003872374615341
"Ufd1",164.753734978079,0.579664225431255,0.171646845461621,3.37707473663339,0.000732611413713162,0.003872374615341
"Srxn1",885.179814924857,1.16607763752356,0.34536340797525,3.37637865099803,0.000734467629639225,0.0038803072978545
"Npepps",661.830027449996,0.631096509661621,0.187161230302766,3.37194037804044,0.000746406047150404,0.0039362313229714
"Pdss1",18.3314228748145,1.49579167439137,0.443648891006631,3.37156635509095,0.000747420313439408,0.00393997279513059
"Rnf225",2.92649395101783,4.86763106466153,1.44536691110613,3.36774768209988,0.00075784919451633,0.00399340604119315
"Nemp1",23.3191053179459,1.39380260541707,0.414230197506328,3.36480202024813,0.000765986002830649,0.00403161406964027
