"","Naive_CD11c_M4","Naive_CD11c_M2","Naive_CD11c_M1","Naive_CD11c_M3","CD11c_6H_M2","CD11c_6H_M1","CD11c_6H_M3","CD11c_6H_M4","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Nectin1",0.79,0.9,1.25,1.01,0.67,0.85,0.35,0.66,-1.33,-1.68,-1.13,-1.25,0.14,-0.74,-0.5
"Nmb",0.69,1.4,0.63,1.36,0.89,0.84,0.27,0.38,-0.81,-1.03,-1.28,-1.47,0.14,-0.75,-1.24
"Spn",0.78,1.06,1,1.14,1.04,0.5,0.38,0.87,-0.54,-1.56,-1.16,-1.52,-0.76,-0.74,-0.48
"Il16",0.86,1.05,1.07,1.09,0.89,0.71,0.51,0.63,-0.86,-1.6,-1.24,-1.39,-0.27,-0.71,-0.74
"Pecam1",0.68,0.82,0.68,0.83,1.22,0.97,0.96,0.89,-0.83,-1.41,-0.98,-1.1,-0.62,-1.3,-0.81
"Cd6",0.68,1.01,1.14,1.08,0.95,0.85,0.75,0.55,-1.11,-1.1,-1.14,-1.02,-0.53,-1.42,-0.7
"Adam23",1.4,0.91,1.21,0.78,0.88,0.79,0.48,0.44,-1.04,-1.16,-0.99,-1,-0.38,-1.28,-1.06
"Tnfsf14",1.1,0.73,1.1,0.83,0.88,0.64,0.54,1.13,-0.98,-1.41,-0.67,-1.2,-0.46,-0.95,-1.29
"Ltf",1.4,0.92,0.86,0.84,0.65,0.59,0.55,1.12,-0.86,-1.18,-0.95,-1.33,-0.35,-1.15,-1.1
"Hmgb2",1.77,0.48,0.58,0.7,0.61,0.32,0.15,1.62,-0.47,-1.02,-0.42,-0.78,-1.22,-0.69,-1.64
"Rabep2",0.84,0.82,0.76,1.05,1.02,0.85,0.96,0.78,-0.8,-0.61,-0.89,-1.2,-0.9,-1.22,-1.46
"Cd80",0.78,0.51,0.77,0.6,0.94,1.19,1.05,1.18,-0.6,-0.82,-0.88,-1.27,-1.01,-1.2,-1.23
"Nrg1",0.65,1.06,1.24,1.09,0.83,0.76,0.48,0.63,-0.09,-0.7,-1.23,-0.99,-0.85,-1.5,-1.36
"Pdcd1lg2",0.83,0.85,1.18,1.01,0.48,0.78,0.85,0.8,-0.22,-1.12,-1.14,-1.15,-0.39,-1.18,-1.58
"Cd24a",1.36,0.7,0.87,0.82,0.44,0.55,0.66,1.19,-0.64,-1.35,-1.15,-0.85,0.07,-1.22,-1.46
"Camp",1.1,0.73,0.7,0.81,0.69,0.72,0.76,1.39,-0.39,-1.24,-0.77,-0.9,-0.89,-1.17,-1.54
"Pglyrp1",1.66,0.88,0.53,0.74,0.88,0.49,0.71,0.97,-0.68,-1.35,-0.89,-0.97,-0.61,-1.26,-1.1
"Btla",0.93,0.7,0.68,0.77,0.71,1.19,1.29,0.57,-1.11,-1.29,-0.94,-0.34,-0.53,-1.48,-1.15
"Sell",0.56,0.95,0.73,0.76,0.98,0.96,1.09,0.99,-0.76,-1.21,-0.8,-1.07,-0.66,-0.98,-1.55
"Cd2",0.59,1.03,0.83,0.92,1.03,0.98,0.86,0.76,-0.75,-1.63,-0.72,-0.82,-0.85,-0.87,-1.36
"Ltb",0.91,0.93,0.81,0.72,1.16,0.89,0.86,0.74,-0.63,-1.46,-0.81,-0.96,-0.65,-1.05,-1.45
"Tnfrsf11b",-0.66,0.06,1.41,1.06,0.99,1.54,0.75,0.77,-0.46,-1.33,-0.72,-0.73,-0.36,-1.13,-1.21
"Dscam",-0.51,0.83,1.66,0.98,0.38,0.71,1.22,0.93,-0.97,-1.09,-0.65,-1.13,-0.15,-1.21,-1
"Cxcl12",-0.59,1.06,0.97,0.9,1.81,-0.59,1.55,-0.18,-0.47,-0.68,-0.74,-0.31,-0.15,-1.41,-1.17
"Jam3",-0.43,0.67,1.82,0.75,1.73,0.09,0.93,-0.38,-0.2,-1.13,-1.16,-0.49,0.06,-1.24,-1.03
"Nid1",0.51,1.36,0.96,0.59,0.59,1.1,0.92,-0.59,-0.32,-0.65,-0.73,-0.75,0.48,-1.67,-1.79
"Col18a1",0,1.29,0.82,0.85,1.81,0.82,0.87,-0.92,-0.61,-0.48,-0.63,-0.75,-0.54,-1.71,-0.8
"Col4a1",0.64,1.23,0.53,0.62,1.8,0.99,0.87,-0.43,-1.4,-0.55,-0.54,-1.14,-0.68,-1.06,-0.9
"Cadm3",-0.32,0.77,1.58,0.1,1.77,1,1,-0.25,-0.87,-0.97,-0.99,-1,0.13,-1.06,-0.89
"Sema3f",-0.49,1.37,1.32,0.64,1.34,1.4,0.31,0.09,-0.93,-1.05,-1.08,-0.64,-0.15,-1.17,-0.96
"Calcb",0.33,1.13,1.47,0.65,1.49,1.09,0.06,0.17,-0.93,-1.05,-1.08,-1.09,-0.12,-1.16,-0.95
"Cdh5",-0.54,0.74,-0.29,0.7,1.54,1.19,1.8,-0.33,-1.48,-0.13,0.1,-0.5,-0.71,-1.42,-0.67
"Itga4",-0.1,0.45,0.65,0.7,0.92,1.24,1.12,0.7,-0.34,0,-0.09,-0.3,-2.15,-1.41,-1.38
"Clcf1",0.62,0.59,0.76,0.76,0.77,0.71,0.76,0.61,-0.49,0.19,0.14,-0.04,-1.7,-1.59,-2.09
"H2-T23",0.46,-1.59,-1.53,-1.62,1.61,0.67,0.72,0.15,-0.15,0.91,0.75,0.37,0.52,-0.83,-0.44
"Cdh15",-0.26,-1.16,-1.02,-1.27,0.17,0.94,0.95,1.67,0.09,1.59,-0.24,0.42,0.33,-1.19,-1.01
"Ccl20",-0.34,-0.97,-0.82,-1.09,-0.12,2.22,0.7,1.96,-0.17,0.08,0.02,0.33,0.04,-1,-0.82
"Areg",-0.64,-0.87,0.01,-1.12,0.15,0.89,2.17,0.88,0.89,-0.22,0.71,0.08,-0.15,-1.52,-1.26
"Gdf15",-0.63,-1.28,-0.84,-1.06,1.06,1.31,1,1.2,-0.02,0.8,0.86,0.59,-0.69,-1.05,-1.25
"Csf3",-0.61,-1.05,-0.87,-1.08,1.49,1.24,1.42,1.34,0.33,-0.09,0.32,0.21,-0.39,-1.24,-1.04
"Lif",-0.85,-1.26,-0.74,-0.46,0.87,1.58,1.79,1.39,0.26,-0.11,0.18,-0.02,-0.55,-1.06,-1.01
"Ifnb1",-0.53,-1.16,-0.98,-1.31,0.74,1.08,1.9,1.37,0.03,0.71,0.16,0.22,-0.3,-0.95,-0.98
"Dll1",-0.89,-0.71,-0.71,-0.57,0.81,1.43,1.61,1.72,-0.31,0.51,0.37,-0.38,-0.55,-1.12,-1.2
"Fbrs",0.57,-0.62,-0.32,-0.7,0.69,0.68,-0.02,0.55,-0.39,1.32,1.58,0.86,-0.93,-1.51,-1.78
