"","GeneNameA","GeneNameB"
"1973","Hsp90ab1","Ahr"
"1978","Nos2","Ahr"
"1983","Fancd2","Ahr"
"1988","Maf","Ahr"
"1993","Stat1","Ahr"
"1998","Il21","Ahr"
"2003","Arnt","Ahrr"
"2004","Pgls","Ahsg"
"2009","Kcnma1","Ahsg"
"2014","Ywhae","Ahsg"
"2019","Hsd3b4","Ahsg"
"2029","Ywhaz","Ahsg"
"2034","Amelx","Ahsg"
"2039","Hsd3b7","Ahsg"
"2049","Fancd2","Ahsg"
"2059","Pdcd4","Aicda"
"2062","Smarca5","Aicda"
"2065","Ncl","Aicda"
"2068","Irf8","Aicda"
"2071","Nedd4","Aicda"
"2074","Irf8","Aif1"
"2076","Lcp1","Aif1"
"2078","Gnaq","Aip"
"2081","Fancd2","Aip"
"2084","Thrb","Aip"
"2087","Lrp1b","Aip"
"2090","Ahr","Aip"
"2093","Ywhah","Aip"
"2096","Parp1","Aire"
"2099","Trim28","Aire"
"2102","Gcn1","Aire"
"2105","Srsf1","Aire"
"2108","Tlr8","Aire"
"2111","Aire","Aire"
"2114","Pcna","Aire"
"2117","H2bc18","Aire"
"2120","Fbxo32","Ak1"
"2125","Ywhae","Ak1"
"2130","Csf1","Ak1"
"2140","Dmd","Ak1"
"2145","Kcnma1","Ak1"
"2155","Cav3","Ak1"
"2160","Ubc","Ak1"
"2165","Snta1","Ak1"
"2170","Ywhae","Ak2"
"2174","Hsd3b7","Ak2"
"2182","Hsd3b4","Ak2"
"2186","Uvrag","Ak2"
"2194","Pgls","Ak2"
"2198","Hsd3b4","Ak4"
"2199","Ywhae","Ak4"
"2201","Creb1","Akap1"
"2209","Ywhae","Akap1"
"2225","Nphs2","Akap1"
"2233","Siah2","Akap1"
"2241","Ncor1","Akap1"
"2249","Pgls","Akap1"
"2257","Irf8","Akap1"
"2265","Hsd3b7","Akap1"
"2281","Dnm1l","Akap1"
"2294","Cabyr","Akap3"
"2296","Ropn1","Akap3"
"2298","Brap","Akap3"
"2300","Eno4","Akap4"
"2302","Synpo2","Akap4"
"2304","Fsip1","Akap4"
"2306","Cabyr","Akap4"
"2308","Akap3","Akap4"
"2310","Prkar1a","Akap4"
"2312","Fsip2","Akap4"
"2314","Prkar2a","Akap4"
"2316","Htt","Alpl"
"2319","Rabl2","Alpl"
"2322","Ubc","Alpl"
"2325","Foxp3","Akp3"
"2326","Ywhae","Akt1"
"2332","Mapkap1","Akt1"
"2338","Hspb2","Akt1"
"2344","Vhl","Akt1"
"2350","Bad","Akt1"
"2362","Pik3r1","Akt1"
"2368","Mtor","Akt1"
"2374","Ubc","Akt1"
"2380","Akt2","Akt1"
"2386","Traf6","Akt1"
"2392","Stub1","Akt1"
"2398","Akt1","Akt1"
"2404","Ywhab","Akt2"
"2408","Ubc","Akt2"
"2412","Grin1","Akt2"
"2416","Ankrd2","Akt2"
"2420","Grin2b","Akt2"
"2424","Egr1","Alas1"
"2425","Alas2","Alas2"
"2427","Nfe2","Alas2"
"2429","Ywhaz","Alb"
"2436","Foxa1","Alb"
"2443","H2az1","Alb"
"2450","Acta1","Alb"
"2457","Kcnma1","Alb"
"2464","Hsd3b7","Alb"
"2471","Kat5","Alb"
"2478","Nphp1","Alb"
"2492","Fbxo32","Alb"
"2499","Rab32","Alb"
"2506","Smarca4","Alb"
"2513","Rab5c","Alb"
"2520","Fancd2","Alb"
"2527","Ywhae","Alb"
"2534","Foxa2","Alb"
"2555","Eed","Alb"
"2562","Pgls","Alb"
"2569","Hsd3b4","Alb"
"2576","Cd6","Alcam"
"2578","Ywhae","Alcam"
"2582","Ywhae","Abcd1"
"2585","Abcd3","Abcd1"
"2588","Abcd2","Abcd1"
"2594","Irf8","Abcd1"
"2597","Pgls","Aldh1a1"
"2601","Fancd2","Aldh1a1"
"2605","Ywhae","Aldh1a1"
"2609","Ywhab","Aldh1a1"
"2617","Hsd3b7","Aldh1a1"
"2625","Fancd2","Aldh2"
"2633","Rab19","Aldh2"
"2641","Rab1a","Aldh2"
"2649","Rab35","Aldh2"
"2657","Ywhae","Aldh2"
"2673","Sirt3","Aldh2"
"2681","Cav3","Aldh2"
"2689","Kcnh2","Aldh2"
"2697","Pgls","Aldh2"
"2705","Hsd3b4","Aldh2"
"2713","Dlg4","Aldh2"
"2721","Rab3a","Aldh2"
"2729","Rab33b","Aldh2"
"2737","Rab6a","Aldh2"
"2745","Rab21","Aldh2"
"2753","Ywhae","Aldh3a1"
"2755","Ywhae","Aldh3a2"
"2758","Hsd3b7","Aldh3a2"
"2761","Fancd2","Aldh3a2"
"2764","Ywhaz","Aldh3a2"
"2767","Hsd3b4","Aldh3a2"
"2776","Hmga2","Aldoa"
"2783","Stam2","Aldoa"
"2790","Ywhae","Aldoa"
"2797","Snta1","Aldoa"
"2804","Prdx1","Aldoa"
"2811","Abcf1","Aldoa"
"2818","Ywhab","Aldoa"
"2825","Dmd","Aldoa"
"2832","Kcnma1","Aldoa"
"2846","Cav3","Aldoa"
"2853","Isg15","Aldoa"
"2860","Rack1","Aldoa"
"2874","Fancd2","Aldoa"
"2881","Iqcb1","Aldoa"
"2888","Pgls","Aldoa"
"2895","Htt","Aldoa"
"2902","Ywhaz","Aldoa"
"2909","Btk","Aldoa"
"2916","Fbxo32","Aldoa"
"2923","Traf6","Aldoa"
"2930","Chaf1a","Aldoc"
"2934","Ywhab","Aldoc"
"2938","Fbxo32","Aldoc"
"2942","Rpgrip1l","Aldoc"
"2946","Grin2b","Aldoc"
"2950","Dlg4","Aldoc"
"2954","Ywhae","Aldoc"
"2962","Ywhaz","Akr1b1"
"2968","Pgls","Akr1b1"
"2974","Fbxo32","Akr1b1"
"2980","Got1","Akr1b1"
"2986","Ywhae","Akr1b1"
"2992","Fancd2","Akr1b1"
"2998","Prkce","Akr1b1"
"3010","Nphp1","Akr1b1"
"3016","Shc1","Alk"
"3017","Alox5","Alox5ap"
"3018","Ywhae","Gfer"
"3019","Hsd3b4","Gfer"
"3021","Ins1","Alx3"
"3023","Jdp2","Alx3"
"3025","Alx4","Alx4"
"3027","Hoxa11","Alx4"
"3029","Otx2","Alx4"
"3031","Shc1","Amd1"
"3032","Amelx","Amelx"
"3034","Ppp1ca","Amelx"
"3036","Ywhae","Ampd3"
"3039","Kcnq1","Ampd3"
"3045","Cav3","Ampd3"
"3048","App","Mat1a"
"3052","Ywhae","Mat1a"
"3060","Mat1a","Mat1a"
"3064","Mid1ip1","Mat1a"
"3068","Pgls","Mat1a"
"3072","Fancd2","Amy1"
"3074","Ppp1ca","Amy1"
"3076","Ang5","Ang5"
"3077","Tal1","Ank"
"3079","Ywhae","Ank1"
"3082","Atp1b1","Ank1"
"3085","Ywhaz","Ank1"
"3091","Hsd3b4","Ank1"
"3094","Shank3","Ank3"
"3102","Hook1","Ank3"
"3110","Ywhab","Ank3"
"3118","Actg1","Ank3"
"3126","Ywhae","Ank3"
"3134","Camk2d","Ank3"
"3142","Dlg4","Ank3"
"3150","Pik3r1","Ank3"
"3166","Sptbn4","Ank3"
"3174","Tnik","Ank3"
"3182","Hsd3b4","Ank3"
"3190","Agap2","Ank3"
"3198","Fxr1","Ankfy1"
"3200","Eed","Ankfy1"
"3202","Fancd2","Ankfy1"
"3204","Hdac2","Anp32a"
"3209","Ywhae","Anp32a"
"3214","Set","Anp32a"
"3219","Abcf1","Anp32a"
"3224","Ywhah","Anp32a"
"3234","Xpo7","Anp32a"
"3239","Ppp1ca","Slc25a4"
"3246","Nphs2","Slc25a4"
"3253","Lipc","Slc25a4"
"3260","Prkce","Slc25a4"
"3267","Hsd3b4","Slc25a4"
"3274","Ilk","Slc25a4"
"3281","Arl2bp","Slc25a4"
"3288","Grin2b","Slc25a4"
"3295","Grid2","Slc25a4"
"3302","Eed","Slc25a4"
"3309","Dlg4","Slc25a4"
"3316","Ezh2","Slc25a4"
"3323","Ywhae","Slc25a4"
"3330","Fancd2","Slc25a4"
"3337","Ywhab","Slc25a4"
"3351","Dtnbp1","Slc25a4"
"3358","Hspb2","Slc25a5"
"3367","Eed","Slc25a5"
"3376","Sdha","Slc25a5"
"3385","Vdac1","Slc25a5"
"3394","Coq2","Slc25a5"
"3403","Ecsit","Slc25a5"
"3412","Dlg4","Slc25a5"
"3421","Prkce","Slc25a5"
"3430","Ywhaz","Slc25a5"
"3439","Uvrag","Slc25a5"
"3448","Ubc","Slc25a5"
"3457","Dlst","Slc25a5"
"3466","B9d1","Slc25a5"
"3475","Cox15","Slc25a5"
"3484","Hsd3b4","Slc25a5"
"3493","Ywhab","Slc25a5"
"3502","Grid2","Slc25a5"
"3511","Lipc","Slc25a5"
"3520","Cdk1","Slc25a5"
"3529","Ywhae","Slc25a5"
