InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
20416	14784	IntAct, MINT, Biogrid	1	1	14	10748054, 7535773, 17673906, 18273058, 20697350, 7529871, 23452850, 11259577, 7538132, 10995764, 10362356, 7689150, 8479540, 9013573
12483	16331	IntAct	2	2	1	10748054
12570	815	MINT	1	1	1	12223541
12570	87	MINT	1	1	1	12223541
20418	3690	MINT	1	1	1	12606711
3695	20416	MINT	1	1	1	12606711
18222	3693	MINT	1	1	1	12606711
18222	3690	MINT	1	1	1	12606711
18222	3695	MINT	1	1	1	12606711
13131	3695	MINT	1	1	1	12606711
13131	3693	MINT	1	1	1	12606711
13131	3690	MINT	1	1	1	12606711
13131	3688	MINT	1	1	1	12606711
13131	3689	MINT	1	1	1	12606711
13132	3693	MINT	1	1	1	12606711
13132	3690	MINT	1	1	1	12606711
13132	3695	MINT	1	1	1	12606711
3695	13448	MINT	1	1	1	12606711
3693	13448	MINT	1	1	1	12606711
3690	13448	MINT	1	1	1	12606711
3689	13448	MINT	1	1	1	12606711
3695	21894	MINT	1	1	1	12606711
21894	3693	MINT	1	1	1	12606711
3690	21894	MINT, IntAct, DIP	1	1	4	12606711, 17218263, 21134644, 22210111
3689	21894	MINT	1	1	1	12606711
3688	21894	MINT, IntAct, DIP	1	1	3	12606711, 21947080, 21134644
67903	14725	IntAct	1	1	1	10827173
19099	14725	IntAct	1	1	1	10827173
14725	13385	IntAct	1	1	1	10827173
14725	60597	IntAct	1	1	1	10827173
14725	105940408	IntAct	1	1	1	10827173
14725	24071	IntAct	1	1	1	10827173
14725	13131	IntAct	1	1	1	10827173
14725	68999	IntAct	1	1	1	10827173
16971	19099	IntAct	1	1	1	10827173
16971	13385	IntAct, Biogrid	1	1	5	10827173, 19455133, 28671696, 23760271, 27507650
16971	60597	IntAct	1	1	1	10827173
16971	13131	IntAct	1	1	1	10827173
16835	13131	IntAct, Biogrid	1	1	2	10827173, 10380922
22359	13131	IntAct, Biogrid	1	1	3	10827173, 10380922, 15249135
16971	105940408	IntAct	2	2	1	10827173
16971	24071	IntAct	2	2	1	10827173
433759	13433	IntAct	2	2	1	10615135
2241	12387	MINT	1	1	1	12640114
12387	2534	MINT	1	1	1	12640114
12387	6714	MINT	1	1	1	12640114
7525	12387	MINT	1	1	1	12640114
1495	12387	MINT	2	2	1	12640114
12995	12550	MINT	1	1	1	10671552
351	11350	MINT	1	1	1	11279131
12412	21848	IntAct, Biogrid	1	1	2	8978696, 10562550
21848	12419	IntAct, Biogrid	1	1	2	8978696, 10562550
21849	12419	IntAct, Biogrid	1	1	6	8978696, 15342492, 17381543, 10562550, 29955894, 29795351
21848	20181	IntAct, Biogrid	1	1	3	8978696, 7744009, 32325033
21848	19401	IntAct	1	1	1	8978696
21848	13982	IntAct	1	1	1	8978696
21848	22337	IntAct	1	1	1	8978696
21848	18667	IntAct	1	1	1	8978696
20779	14083	MINT, Biogrid	2	2	5	10931187, 18233957, 16966330, 10362356, 32325033
19303	14083	MINT, IntAct, mbinfo, Biogrid	2	2	5	10931187, 16298995, 20308429, 15138291, 21289086
13134	20476	IntAct	2	2	1	12130660
13134	20466	IntAct	2	2	1	12130660
14050	13134	IntAct	2	2	1	14628042
16572	13528	IntAct, MINT	1	1	2	14600269, 22978324
3799	13528	IntAct	2	2	1	14600269
13528	1756	IntAct	2	2	1	14600269
20937	8350	IntAct	1	1	1	10949293
20937	8351	IntAct	1	1	1	10949293
20937	8352	IntAct	1	1	1	10949293
20937	8353	IntAct	1	1	1	10949293
20937	8354	IntAct	1	1	1	10949293
