,Source,Target,capacity
449,Fancd2,Slc25a4,0.668444309035858
450,Ywhab,Slc25a4,0.5491240864717786
451,Dtnbp1,Slc25a4,0.4217509890381874
452,Eed,Slc25a5,0.6393754256132073
453,Sdha,Slc25a5,0.5464001124113852
454,Vdac1,Slc25a5,0.5351314232811673
455,Coq2,Slc25a5,0.43723639463976594
456,Ecsit,Slc25a5,0.5789575993072357
457,Dlg4,Slc25a5,0.4488556628611316
458,Prkce,Slc25a5,0.14840315202595605
459,Ywhaz,Slc25a5,0.6062091577523278
460,Uvrag,Slc25a5,0.1186931607663097
461,Ubc,Slc25a5,0.0736156603981824
462,Dlst,Slc25a5,0.7389818420197345
463,B9d1,Slc25a5,0.4923001103685165
464,Cox15,Slc25a5,0.4605530015201345
465,Ywhab,Slc25a5,0.4701404222387253
466,Lipc,Slc25a5,0.13649098803322168
467,Cdk1,Slc25a5,0.7307989879509018
468,Ywhae,Slc25a5,0.8179225978855054
469,Ilk,Slc25a5,0.6226637519707018
470,Pag1,Slc25a5,0.17310098587545808
471,Fbp1,Slc25a5,0.7499382176765006
472,Ezh2,Slc25a5,0.7650677406087151
473,Cbl,Slc25a5,0.4446005821627403
474,Soat1,Slc25a5,0.3645018774543125
475,Fancd2,Slc25a5,0.5300106868516079
476,Ywhae,Anxa11,0.5271833857499217
477,Ywhae,Anxa3,0.5675814431440434
478,Ywhaz,Anxa3,0.3577864575945657
479,Kcnma1,Anxa3,0.45232113204990504
480,Lmna,Anxa3,0.3940803210574729
481,Cdh17,Anxa4,0.8248130689477755
482,Actg1,Anxa4,0.5587243280125365
483,Pgls,Anxa4,0.18526793268807001
484,Pdia3,Anxa4,0.6028875316045128
485,Ywhae,Anxa4,0.713873366226432
486,Actb,Anxa4,0.3045343584228384
487,Ywhaz,Anxa4,0.28832169704593147
488,Acta1,Anxa4,0.36157042560202346
489,Abcg3,Anxa4,0.3070913570220659
490,Ywhae,Anxa5,0.3971283792277623
491,Kcnma1,Anxa5,0.6649502202234133
492,Dlg4,Anxa5,0.5205495979119885
493,Ywhah,Anxa5,0.36207245520584563
494,Eed,Anxa5,0.5749133173979795
495,Ywhae,Anxa6,0.2216676197957303
496,Ywhaz,Anxa6,0.7066720472502982
497,Pag1,Anxa6,0.6265699144580553
498,Cbl,Anxa6,0.45170235099922107
499,Isg15,Anxa6,0.530516536205367
500,Eed,Anxa7,0.848325198348444
501,Kcnma1,Anxa7,0.4991473379258485
502,Dlg4,Prdx3,0.19406679596622395
503,Fancd2,Prdx3,0.39893161671838506
504,Rab1a,Prdx3,0.42318364955226334
505,Unk,Prdx3,0.6567967278735818
506,Ywhae,Prdx3,0.5000842211500637
507,Pgls,Prdx6,0.542295424043691
508,Snta1,Prdx6,0.424818944123737
509,Ywhae,Prdx6,0.6262274269484664
510,Fancd2,Prdx6,0.6442560040811178
511,Pla2g4a,Prdx6,0.5970663066177573
512,Hsd3b7,Prdx6,0.4411377543912258
513,Gstp1,Prdx6,0.3626699751934772
514,Kcnq1,Prdx6,0.2892929735698322
515,Ncoa3,Prdx6,0.3490254638188135
516,Sufu,Prdx6,0.24957034462615002
517,Ywhaz,Ap1b1,0.6768842815957195
518,Ap1g1,Ap1b1,0.4393482728971999
519,Cyfip1,Ap1b1,0.16386836292015505
520,Agap2,Ap1b1,0.8369747295924359
521,Atp6v1a,Ap1b1,0.1483486560400038
522,Crebbp,Ap1b1,0.3811397503004085
523,Ywhae,Ap1b1,0.15201675134751408
524,Grb2,Ap1b1,0.7930275769713324
525,Foxp3,Ap1b1,0.436857013856822
526,Ywhab,Ap1b1,0.418259014716825
527,Kcnq1,Ap1b1,0.646778529557084
528,Prkce,Ap1b1,0.8064576547240071
529,Rab5a,Ap1g1,0.2969539569329017
530,Unk,Ap1g1,0.6961946126322511
531,Eed,Ap1g1,0.6826720279473507
532,Lamp1,Ap1g1,0.2867907660240261
533,Cltc,Ap1g1,0.6554373710722428
534,Vti1b,Ap1g1,0.6230720105954564
535,Ap1s1,Ap1g2,0.4055569712700476
536,Tal1,Ap1m1,0.7933018990365723
537,Ywhae,Ap1m1,0.21560214316502546
538,Ap1g1,Ap1m1,0.34765689899186386
539,Eed,Ap1m1,0.18473257006979754
540,Ywhaz,Ap1m1,0.6581734722794916
541,Ywhae,Ap1m2,0.23674899179318754
542,Cyfip1,Ap1s1,0.5703236346300036
543,Ywhae,Fabp4,0.04926525505198731
544,Eed,Ap2a1,0.36327858891758136
545,Pip5k1c,Ap2a1,0.8063699269882525
546,Rara,Ap2a1,0.6859250237850393
547,Foxp3,Ap2a1,0.383699429092598
548,Necap1,Ap2a1,0.44955124772888716
549,Dlg4,Ap2a1,0.7498271823004599
550,Agap2,Ap2a1,0.6175217912372354
551,Ubc,Ap2a1,0.3624329424558812
552,Ywhae,Ap2a1,0.5174871005087711
553,Ywhab,Ap2a1,0.27983450637603013
554,Fxr1,Ap2a1,0.30171565588385685
555,Nckap1,Ap2a1,0.16934717645211245
556,Cyfip1,Ap2a1,0.43095202724277626
557,Cyfip2,Ap2a1,0.6975783059371483
558,Atp6v1a,Ap2a1,0.7298235084085962
559,Sgip1,Ap2a1,0.27934221832150413
560,Rab32,Ap2a1,0.7776838077136004
561,Atp1b1,Ap2a1,0.5299180083296117
562,Eps15,Ap2a1,0.14894626386727733
563,Ywhaz,Ap2a1,0.715769414882469
564,Tnik,Ap2a1,0.24100870186700704
565,Ywhaz,Ap2a2,0.7701193251958784
566,Atp6v1a,Ap2a2,0.29790851175273814
567,Rara,Ap2a2,0.9079913625263294
568,Ywhab,Ap2a2,0.35041961367846014
569,Eed,Ap2a2,0.06685041480506754
570,Fxr1,Ap2a2,0.16854789704804923
571,Ywhae,Ap2a2,0.13051942437275316
572,Tnik,Ap2a2,0.617745423386816
573,Ubc,Ap2a2,0.852610841654238
574,Agap2,Ap2a2,0.9344010097017034
575,Ctla4,Ap2m1,0.5995915896631105
576,Ywhae,Ap2m1,0.359005758894819
577,Hsd3b7,Ap2m1,0.4272752506005328
578,Eed,Ap2m1,0.19991602199455877
579,Pgls,Ap2m1,0.881168856714737
580,Rara,Ap2m1,0.795583521099412
581,Atp6v1a,Ap2m1,0.3587793332055451
582,Ywhab,Ap2m1,0.2088485333046644
583,Ubc,Ap2m1,0.6707182692254379
584,Rab32,Ap3b1,0.47908318722564464
585,Ywhae,Ap3b1,0.5927058358897573
586,Eed,Ap3b1,0.6609921115647579
587,Sod1,Ap3d1,0.8264794107234495
588,Ywhae,Ap3d1,0.22878594001945135
589,Ywhab,Ap3d1,0.3709913405506491
590,Pi4kb,Ap3d1,0.559823620388805
591,Eed,Ap3d1,0.22486827653315306
592,Rab37,Ap3d1,0.7467699907922455
593,Ift27,Ap3d1,0.7587123475319244
594,Ap1g1,Ap3d1,0.2327603043174299
595,Dlst,Ap3d1,0.7699526124173814
596,Stat4,Ap3d1,0.22903269392881842
597,Kif3a,Ap3d1,0.6659722947376214
598,Ubc,Ap3d1,0.6505769733492544
599,Dld,Ap3s1,0.7307374655308014
600,Foxp3,Ap3s1,0.27630522611847136
601,Pi4kb,Ap3s1,0.8237718607589529
602,Xpo7,Ap3s1,0.18034571330729215
603,Pi4kb,Ap3s2,0.2399813619500664
604,Ppp1ca,Apaf1,0.506887750517248
605,Prnp,Apbb1,0.6254428993499559
606,Trp53,Apbb1,0.19331332005927282
607,Aplp1,Apbb1,0.521928852594492
608,App,Apbb1,0.5646198425108121
609,Enah,Apbb1,0.3414020170959118
610,Aplp2,Apbb1,0.8326266245810727
611,Mapk8,Apbb2,0.6611507175786109
612,App,Apbb2,0.6735658119888944
613,Ctnna1,Apc,0.6035422858927879
614,Ctnnb1,Apc,0.5507393510184806
615,Fancd2,Speg,0.5152787300953608
616,Ryr2,Speg,0.3704079122978466
617,Pcna,Apex1,0.6749067677555455
618,Ywhae,Apex1,0.8411862298229169
619,Eed,Apex1,0.6845359168680838
620,Sin3a,Apex1,0.5517657087780342
621,Aicda,Apex1,0.3463510929275253
622,Hdac1,Apex1,0.3681741949509037
623,Hdac2,Apex1,0.8736487142402417
624,Ywhae,Atg5,0.26457549137079817
