"","GeneNameA","GeneNameB"
"8289","Kcnma1","Arhgdib"
"8297","Syp","Rnd2"
"8299","Trim59","Arnt"
"8302","Epas1","Arnt"
"8305","Ndn","Arnt"
"8323","Calcoco1","Arnt"
"8329","Npas1","Arnt"
"8332","Ndn","Arnt2"
"8336","Clock","Bmal1"
"8339","Hlf","Bmal1"
"8348","Sirt1","Bmal1"
"8351","Ndn","Bmal1"
"8375","Csnk2a1","Bmal1"
"8378","Ddb1","Bmal1"
"8387","Npas2","Bmal1"
"8396","Csnk2b","Bmal1"
"8411","Csnk1e","Bmal1"
"8423","Rnf14","Bmal1"
"8438","Lmna","Arpc1b"
"8440","Itga2b","Arpc1b"
"8442","Cdh15","Arvcf"
"8443","Cdh1","Arvcf"
"8444","Cdh2","Arvcf"
"8453","Tyr","Rab27a"
"8456","Rph3al","Rab27a"
"8459","Rab27b","Rab27a"
"8472","Keap1","Astn1"
"8475","Mapk9","Atf2"
"8479","Tle1","Atf2"
"8487","Atf2","Atf2"
"8491","Rps6ka5","Atf2"
"8507","Mapk8","Atf2"
"8511","Mapk14","Atf2"
"8519","Jdp2","Atf2"
"8523","Nf1","Atf2"
"8527","Mapk3","Atf2"
"8531","Barx2","Atf2"
"8571","Mapk11","Atf2"
"8575","Pou5f1","Atf2"
"8615","Hsf1","Atf3"
"8617","Trib3","Atf4"
"8620","Abraxas2","Atf4"
"8623","Kpna1","Atf4"
"8626","Gabbr2","Atf4"
"8629","Ercc8","Atf4"
"8632","Kpna6","Atf4"
"8635","Gabbr1","Atf4"
"8638","Dapk3","Atf4"
"8641","Ddit3","Atf4"
"8650","Creb1","Atf4"
"8653","Satb2","Atf4"
"8662","Atf1","Atf4"
"8686","Cbl","Atm"
"8696","Dnmt1","Atm"
"8698","Telo2","Atm"
"8700","Ppp1ca","Atm"
"8714","Runx1t1","Atoh1"
"8715","Tcf3","Atoh1"
"8720","Runx1t1","Neurod4"
"8722","Olig2","Neurog2"
"8724","Dlg4","Atp1a1"
"8727","Snap25","Atp1a1"
"8736","Prnp","Atp1a1"
"8739","Kcnma1","Atp1a1"
"8751","Itgb3","Atp1a1"
"8754","Aph1b","Atp1a1"
"8757","Vamp2","Atp1a1"
"8766","Ppp1r9b","Atp1a1"
"8784","Cacna1d","Atp1a1"
"8787","Aph1a","Atp1a1"
"8793","Slc8a1","Atp1a1"
"8802","Prnp","Atp1b1"
"8803","Aph1a","Atp1b1"
"8806","Aph1b","Atp1b1"
"8808","Tlr9","Atp2a2"
"8811","Ppp1r9b","Atp2a2"
"8817","Lrrk2","Atp2a2"
"8823","Atp2b1","Atp2a2"
"8844","Prnp","Atp2b2"
"8846","Ppp1r9b","Atp2b2"
"8856","Patj","Atp5f1a"
"8859","Ubc","Atp5f1a"
"8868","Kcnma1","Atp5f1a"
"8877","Fbxo32","Atp5f1a"
"8895","Kcnma1","Atp5f1b"
"8898","Patj","Atp5f1b"
"8901","Set","Atp5f1b"
"8904","Fbxo32","Atp5f1b"
"8910","Traf6","Atp5f1b"
"8916","Itga2b","Atp5f1b"
"8945","Lmo2","Atp5f1c"
"8947","Ppp1r9b","Atp5f1c"
"8958","Ubc","Atp5pf"
"8962","Traf6","Atp6v1a"
"8965","Prkaca","Atp6v1a"
"8968","Atp6v1b1","Atp6v1a"
"8989","Atp6v1b1","Atp6v1b2"
"8993","Snap25","Atp6v0d1"
"8995","Vamp2","Atp6v0d1"
"8999","Kcnma1","Atp6v0d1"
"9013","Atp6v1b1","Atp6v1e1"
"9015","Ppp1r9b","Atp6v0a1"
"9017","Atp6v1g1","Atp6v0a1"
"9021","App","Atp6v0a1"
"9029","Atp6v1g2","Atp6v0a1"
