"","GeneNameA","GeneNameB"
"481","Hsd3b7","Akap1"
"482","Nphs2","Akap1"
"483","Creb1","Akap1"
"484","Ywhae","Akap1"
"485","Ropn1","Akap3"
"486","Cabyr","Akap3"
"487","Brap","Akap3"
"488","Prkar1a","Akap4"
"489","Fsip1","Akap4"
"490","Fsip2","Akap4"
"491","Prkar2a","Akap4"
"492","Cabyr","Akap4"
"493","Synpo2","Akap4"
"494","Akap3","Akap4"
"495","Eno4","Akap4"
"496","Rabl2","Alpl"
"497","Ubc","Alpl"
"498","Htt","Alpl"
"499","Foxp3","Akp3"
"500","Mapkap1","Akt1"
"501","Vhl","Akt1"
"502","Ubc","Akt1"
"503","Traf6","Akt1"
"504","Ywhae","Akt1"
"505","Akt2","Akt1"
"506","Mtor","Akt1"
"507","Pik3r1","Akt1"
"508","Bad","Akt1"
"509","Stub1","Akt1"
"510","Akt1","Akt1"
"511","Hspb2","Akt1"
"512","Ankrd2","Akt2"
"513","Ywhab","Akt2"
"514","Grin1","Akt2"
"515","Grin2b","Akt2"
"516","Ubc","Akt2"
"517","Egr1","Alas1"
"518","Alas2","Alas2"
"519","Nfe2","Alas2"
"520","Ywhaz","Alb"
"521","Foxa2","Alb"
"522","Pgls","Alb"
"523","Smarca4","Alb"
"524","Ywhae","Alb"
"525","Acta1","Alb"
"526","H2az1","Alb"
"527","Hsd3b7","Alb"
"528","Fbxo32","Alb"
"529","Foxa1","Alb"
"530","Nphp1","Alb"
"531","Kat5","Alb"
"532","Kcnma1","Alb"
"533","Fancd2","Alb"
"534","Rab32","Alb"
"535","Hsd3b4","Alb"
"536","Rab5c","Alb"
"537","Eed","Alb"
"538","Ywhae","Alcam"
"539","Cd6","Alcam"
"540","Abcd3","Abcd1"
"541","Abcd2","Abcd1"
"542","Irf8","Abcd1"
"543","Ywhae","Abcd1"
"544","Fancd2","Aldh1a1"
"545","Hsd3b7","Aldh1a1"
"546","Ywhab","Aldh1a1"
"547","Ywhae","Aldh1a1"
"548","Pgls","Aldh1a1"
"549","Sirt3","Aldh2"
"550","Rab19","Aldh2"
"551","Kcnh2","Aldh2"
"552","Rab6a","Aldh2"
"553","Rab3a","Aldh2"
"554","Ywhae","Aldh2"
"555","Rab35","Aldh2"
"556","Rab1a","Aldh2"
"557","Rab33b","Aldh2"
"558","Fancd2","Aldh2"
"559","Dlg4","Aldh2"
"560","Rab21","Aldh2"
"561","Cav3","Aldh2"
"562","Hsd3b4","Aldh2"
"563","Pgls","Aldh2"
"564","Ywhae","Aldh3a1"
"565","Hsd3b4","Aldh3a2"
"566","Fancd2","Aldh3a2"
"567","Ywhae","Aldh3a2"
"568","Ywhaz","Aldh3a2"
"569","Hsd3b7","Aldh3a2"
"570","Snta1","Aldoa"
"571","Fbxo32","Aldoa"
"572","Abcf1","Aldoa"
"573","Kcnma1","Aldoa"
"574","Ywhab","Aldoa"
"575","Pgls","Aldoa"
"576","Dmd","Aldoa"
"577","Iqcb1","Aldoa"
"578","Isg15","Aldoa"
"579","Cav3","Aldoa"
"580","Btk","Aldoa"
"581","Prdx1","Aldoa"
"582","Ywhaz","Aldoa"
"583","Hmga2","Aldoa"
"584","Stam2","Aldoa"
"585","Traf6","Aldoa"
"586","Ywhae","Aldoa"
"587","Rack1","Aldoa"
"588","Fancd2","Aldoa"
"589","Htt","Aldoa"
"590","Ywhae","Aldoc"
"591","Grin2b","Aldoc"
"592","Ywhab","Aldoc"
"593","Dlg4","Aldoc"
"594","Fbxo32","Aldoc"
"595","Rpgrip1l","Aldoc"
"596","Chaf1a","Aldoc"
"597","Prkce","Akr1b1"
"598","Ywhae","Akr1b1"
"599","Fancd2","Akr1b1"
"600","Nphp1","Akr1b1"
"601","Pgls","Akr1b1"
"602","Ywhaz","Akr1b1"
"603","Fbxo32","Akr1b1"
"604","Got1","Akr1b1"
"605","Shc1","Alk"
"606","Alox5","Alox5ap"
"607","Ywhae","Gfer"
"608","Hsd3b4","Gfer"
"609","Ins1","Alx3"
"610","Jdp2","Alx3"
"611","Hoxa11","Alx4"
"612","Otx2","Alx4"
"613","Alx4","Alx4"
"614","Shc1","Amd1"
"615","Amelx","Amelx"
"616","Ppp1ca","Amelx"
